id,메모줄,주장 요지,인용 경로,인용 행,판정,실측
C01,19,PitStopServerCLI.exe 를 appSetting PitStop_ExeFileName 으로 잡는다,CRT.Yeolim.ServerProcess/Common/ActionsSetList.cs,19,일치,"ExeFileName = FoxConfigurationManager.AppSettings[\"PitStop_ExeFileName\"]"
C02,19,설정값이 Enfocus PitStop Server 23 경로,CRT.Yeolim.ServerProcess/FoxConfigurationServerProcess.config,20,일치,"value=\"C:\Program Files\Enfocus\Enfocus PitStop Server 23\PitStopServerCLI.exe\""
C03,20,인자는 -config 플래그 하나,CRT.Yeolim.ServerProcess/Program.cs,654-655,일치,"args.Append($\" -config \\\"{configFilePath}\\\"\") — 다른 인자 0"
C04,21,stdout/stderr 리다이렉트·ExitCode·타임아웃 실행기,CRT.Framework.Utils/CommandLine.cs,13-86,일치,Execute(exePath,args,ref outputString,timeoutSecond=300,hiddenWindow) 전문 일치
C05,22,루트 Configuration·네임스페이스 PitStop/22,CRT.Framework.Pitstop/PitStopConfiguration.cs,289,일치,"XmlRoot(ElementName=\"Configuration\", Namespace=\".../PitStop/22/PitStopServerCLI_Configuration.xsd\")"
C06,22,Save() 직렬화,CRT.Framework.Pitstop/PitStopConfiguration.cs,303-315,일치,XmlSerializer + xsi/cf 네임스페이스 2종
C07,23,코드 스키마 22 / VersioningStrategy=BestEffort,CRT.Framework.Pitstop/PitStopConfiguration.cs,16,부분,":16 은 VersioningStrategy=BestEffort 만. 「스키마 22」의 근거는 :289 와 :307 이다(같은 파일 다른 줄)"
C08,25,설정 XML 에 SmartPreflight/VariableSet(.evl) 를 채운다,CRT.Yeolim.ServerProcess/Program.cs,607-649,어긋남,":639 는 //config.Process.SmartPreflight.VariableSet — 주석 처리. 이 블록(PitStop01)은 변수세트를 쓰지 않는다. 실제 대입은 PitStop02 의 :1019 뿐"
C09,25,PreflightProfile 항상 빈 값,CRT.Yeolim.ServerProcess/Program.cs,636,일치,config.Process.Mutators.PreflightProfile = String.Empty
C10,30,운영자가 고른 불리언이 ProcessOptions,CRT.Yeolim.Objects/ProcessOptions.cs,12-58,부분,"ProcessOptions 자체는 컨테이너(CutSize·ArtSize + FontOptions·ChangeColorToCMYK·PageOptions·EtcOptions·WaringOptions 5종). 불리언은 그 중첩 클래스에 있다"
