card,L1_대분류,L2_중분류,process_uid,process_id,process_name,step_no,row_id,기능,시스템,담당자,상태,근거,cross,귀속
t62,회원·인증,가입(원장전용),t62-P01,P01,회원가입(이메일 식별자),1,STD-MEM-022,로그인 식별자 정책(이메일 전용 vs 아이디) 확정·테스트회원 계정 정비,결정(PM·지니),김동학,미착수,https://shopby.huniprinting.co.kr/login 테스트회원 ID 입력 → 「올바른 이메일 형식이 아닙니다」 @ 2026-09-16 21:30,,담당
t62,회원·인증,가입,t62-P01,P01,회원가입(이메일 식별자),2,STD-MEM-002,약관 동의·전체동의,huni-mall,김동학,부분,"[L4b보강] huni-skin-shopby/src/components/auth/signup-form.tsx:24-25,75-76",,담당
t62,회원·인증,가입,t62-P01,P01,회원가입(이메일 식별자),3,STD-MEM-004,14세 미만 가입 제한,huni-mall,김동학,작동,https://shopby.huniprinting.co.kr/signup@2026-09-16 21:27,,담당
t62,회원·인증,가입,t62-P01,P01,회원가입(이메일 식별자),4,STD-MEM-003,휴대전화 본인인증(SMS/PASS),huni-mall → 샵바이,김동학,부분,SB-043 absent(인증 SDK·API 호출 지점 0건) · L2 service-dependency D-17 endpoint='(호출 지점 없음)',,담당
t62,회원·인증,가입,t62-P01,P01,회원가입(이메일 식별자),5,STD-MEM-005,1인 1계정 중복가입 제한,샵바이,김동학,부분,huni-skin-shopby/src/app/api/auth/signup/route.ts:8-33,,담당
t62,회원·인증,가입,t62-P01,P01,회원가입(이메일 식별자),6,STD-MEM-001,회원가입(이메일 식별자),huni-mall → 샵바이,김동학,작동,https://shopby.huniprinting.co.kr/signup@2026-09-16 21:33,,담당
t62,회원·인증,가입(원장전용),t62-P01,P01,회원가입(이메일 식별자),7,STD-MEM-021,가입완료 안내 메일 발송,샵바이,최숙진,미착수,https://shopby.huniprinting.co.kr/signup 2단계(정보입력) @ 2026-09-16 21:33,,담당
t62,회원·인증,가입,t62-P01,P01,회원가입(이메일 식별자),8,STD-MEM-006,가입완료 혜택 자동지급(쿠폰+적립금),샵바이,최숙진,미착수,print-kb/wiki/policy/membership-auth.md#MEM-07 · L4 사유: L2 인벤토리에 가입완료 혜택 지급 행 없음. X-SHOPBY-NATIVE-01 가입완료 메일 native 범위 미확인.,프로모션 P19(쿠폰 발행)와 맞물림 — 같은 카드 t62 안,담당
t62,회원·인증,로그인(원장전용),t62-P02,P02,소셜 로그인 가입·연결,1,STD-MEM-023,소셜 로그인 전제 설정 — 셀러어드민 간편로그인 앱(네이버·카카오·구글) 등록 + 각 개발자센터 Redirect URI `{origin}/oauth/callback` 등록,운영자(셀러어드민·제공자 개발자센터),최숙진,미착수,commit 13ed106 본문 「⚠ 동작 전제(코드 외)」 · huni-skin-shopby/src/components/auth/sns-buttons.tsx:66-67,,담당
t62,회원·인증,로그인,t62-P02,P02,소셜 로그인 가입·연결,2,STD-MEM-010,카카오 소셜 로그인,huni-mall,김동학,부분,SB-041 stub — huni-skin-shopby/src/components/auth/sns-buttons.tsx:74-80 (토스트만·signIn 미호출) · D-16 providers 빈 배열,,담당
t62,회원·인증,로그인,t62-P02,P02,소셜 로그인 가입·연결,3,STD-MEM-011,네이버 소셜 로그인,huni-mall,김동학,부분,SB-041 stub — sns-buttons.tsx:74-80 · D-16,,담당
t62,회원·인증,로그인,t62-P02,P02,소셜 로그인 가입·연결,4,STD-MEM-012,구글/애플 소셜 로그인,huni-mall,김동학,부분,SB-041 stub — sns-buttons.tsx:74-80 · D-16,,담당
t62,회원·인증,로그인(원장전용),t62-P02,P02,소셜 로그인 가입·연결,5,STD-MEM-024,소셜 최초 로그인 가입완료(WAITING→ACTIVE) 추가정보 화면 실검증 — 약관 타입·필수항목이 몰 설정과 맞는지,huni-mall → 샵바이,김동학,미착수,commit 4f33a67 · huni-skin-shopby/src/app/api/auth/social-join/route.ts:1-9 · https://shopby.huniprinting.co.kr/social-join 200 「추가정보 입력」 @ 2026-09-16 22:00,,담당
t62,회원·인증,로그인,t62-P03,P03,로그인·세션 유지·비회원 세션,1,STD-MEM-007,아이디/비밀번호 로그인,huni-mall → 샵바이,김동학,부분,huni-skin-shopby/src/lib/auth/auth.config.ts:12-22 · src/lib/auth/shopby-auth.ts:1,,담당
t62,회원·인증,세션,t62-P03,P03,로그인·세션 유지·비회원 세션,2,STD-MEM-013,로그인 세션 유지·자동 갱신,huni-mall,김동학,부분,SB-040 done — huni-skin-shopby/src/lib/auth/auth.config.ts:18-22 · src/app/api/shop/[...path]/route.ts:20-27,,담당
t62,회원·인증,세션,t62-P03,P03,로그인·세션 유지·비회원 세션,3,STD-MEM-014,비회원 게스트 세션 처리,huni-mall,김동학,작동,https://shopby.huniprinting.co.kr/cart@2026-09-16 21:27,t63 장바구니·주문(비회원 주문),담당
t62,회원·인증,로그인,t62-P04,P04,계정 찾기(아이디·비밀번호),1,STD-MEM-008,아이디 찾기(마스킹),huni-mall → 샵바이,김동학,미착수,SB-042 stub — huni-skin-shopby/src/components/auth/find-id-form.tsx:50-56 (토스트 '준비 중'),,담당
