mat_cd,mat_nm,mat_typ_cd,wire,disposition_rev2,disposition_rev1,changed,canonical_mat_cd,opt_item_ref,근거,돈영향
MAT_000069,양면테입,MAT_TYPE.07,1,REVIVE,BLOCKED-CONFIRM,Y,,YES(OPV_000010),"★적발: option_items(OPV_000010 OPT_REF_DIM.03)가 활성으로 MAT_000069 참조 → 자재만 삭제된 옵션 참조 무결성 깨짐. 가격은 COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE 단가행으로 작동. 자재 부활이 정답(옵션화 미완 아님)",0원(자재 단가행0·가격은 comp 경로)
MAT_000070,끈,MAT_TYPE.07,2,REVIVE,BLOCKED-CONFIRM,Y,,YES(OPV_000014/015/016 ×3),"★적발: option_items 3건이 활성 참조(끈·각목+끈 묶음). 가격은 COMP_..._ADD_STRING_4 단가행 작동. 무결성 복구 위해 REVIVE",0원
MAT_000337,큐방,MAT_TYPE.07,1,REVIVE,BLOCKED-CONFIRM,Y,,YES(OPV_000013),"★적발: option_items 활성 참조. 가격 COMP_..._ADD_QBANG_4 작동. RC-2가 가격/옵션은 이미 구성·자재만 삭제 → REVIVE",0원
MAT_000338,각목,MAT_TYPE.07,1,REVIVE,BLOCKED-CONFIRM,Y,,YES(OPV_000015/016 ×2),"★적발: option_items 2건 활성 참조. 가격 COMP_POPT_BNR_GAKMOK_STR_900_4_GT/LE 작동(RC-2 기구성). Z-4 해소: RC-2는 component/옵션축 처리·자재축은 미정리 → 자재 REVIVE",0원
MAT_000340,봉제사,MAT_TYPE.07,1,REVIVE,BLOCKED-CONFIRM,Y,,YES(OPV_000011),"★적발: option_items 활성 참조. 가격 COMP_..._PROC_BONGSEW(봉미싱) 작동 → REVIVE",0원
MAT_000244,투명커버 유광투명커버,MAT_TYPE.02,1,REVIVE,BLOCKED-CONFIRM,Y,,YES,"★적발: option_items 활성 참조(트윈링책자 투명커버 마감 옵션이 이미 자재 ref). 마감 옵션화는 이미 완료·자재만 삭제 → REVIVE(1차 ''옵션화 의존'' 오판)",0원
MAT_000245,투명커버 무광투명커버,MAT_TYPE.02,1,REVIVE,BLOCKED-CONFIRM,Y,,YES,"★적발: option_items 활성 참조. 244와 동일 → REVIVE",0원
MAT_000154,유포지,MAT_TYPE.11,2,REVIVE,BLOCKED-CONFIRM,Y,,YES,"★적발: option_items 활성 참조. 정본 후보 MAT_000153(유포스티커)는 의미축은 유사하나 별개 항목(옵션 ref가 154를 직접 가리킴)이므로 REWIRE 아닌 REVIVE. Z-5 부분해소. 단 자유형스티커 COMP_STK_PRINT 단가행이 154에 0건=가격 미도달(별도 결함·REVIVE 무관)",0원(154 단가행0)
MAT_000262,무광 75mm,MAT_TYPE.12,2,REVIVE,BLOCKED-CONFIRM,Y,,NO,"Z-5 해소: 틴거울/컴팩트거울 거울 본체 사입자재(dflt_yn=Y). 활성 정본 동일명 부재(틴케이스는 다른 물건). 명칭이 사이즈성이나 실물 사입자재=본질 소재 → REVIVE. opt 참조는 없으나 정본 부재+본질 유효",0원(단가행0)
MAT_000192,투명아크릴,MAT_TYPE.03,2,BLOCKED-CONFIRM,BLOCKED-CONFIRM,N,,NO,"Z-5 유지: 아크릴입체블럭/지비츠 소재. 활성 정본 후보 MAT_000042/043(아크릴투명 1.5/3mm)이 단가행 52/113행 보유 → REWIRE 시 두께 미특정으로 어느 정본 갈지 불명 + 돈변동 위험. 두 상품 공식 미바인딩(현 가격 미도달). 두께 확인 필요 → BLOCKED",0원(현재)·REWIRE시 돈변동위험
