frm_cd,comp_cd,prc_typ_cd,use_dims,use_yn,del_yn,comp_nm
PRF_ACRYL_3DBLOCK_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",Y,N,단가/구성 확인필요 (실무진)
PRF_ACRYL_3DCOROTTO_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",Y,N,단가/구성 확인필요 (실무진)
PRF_ACRYL_BADGE,COMP_ACRYL_BADGE,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000075""]",Y,N,뱃지 부속
PRF_ACRYL_BADGE,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,투명아크릴 인쇄가공비
PRF_ACRYL_BALLPEN,COMP_ACRYL_BALLPEN,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N,아크릴볼펜 본체
PRF_ACRYL_CARABINER,COMP_ACRYL_CARABINER,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N,아크릴카라비너 본체(3T+3T접합)
PRF_ACRYL_CLIP,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,투명아크릴 인쇄가공비
PRF_ACRYL_CLIP,COMP_ACRYL_CLIP,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000076""]",Y,N,집게 부속
PRF_ACRYL_FREESTAND,COMP_ACRYL_FREESTAND,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N,아크릴자유형스탠드 본체
PRF_ACRYL_HAIRBAND,COMP_ACRYL_BLACK_HAIR_BAND,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT-000014""]",Y,N,아크릴 머리끈
PRF_ACRYL_HAIRBAND,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,투명아크릴 인쇄가공비
PRF_ACRYL_KEYRING,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,투명아크릴 인쇄가공비
PRF_ACRYL_KEYRING,COMP_ACRYL_KEYRING,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT-000012""]",Y,N,키링 열쇠고리
PRF_ACRYL_KEYRING,COMP_ACRYL_KEYRING_BALLCHAIN,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000079""]",Y,N,키링 볼체인
PRF_ACRYL_MAGNET,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,투명아크릴 인쇄가공비
PRF_ACRYL_MAGNET,COMP_ACRYL_MAGNET,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000074""]",Y,N,마그넷 자석부착
PRF_ACRYL_MINIPART,COMP_ACRYL_MINIPART_TBD,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N,미니파츠 단가 미정 · 실무진 확인필요 (120x50 가격표 격자밖)
PRF_ACRYL_NAMETAG,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,투명아크릴 인쇄가공비
PRF_ACRYL_NAMETAG,COMP_ACRYL_NAMETAG_PIN,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000078""]",Y,N,명찰 부속
PRF_ACRYL_NAMETAG_GS,COMP_ACRYL_NAMETAG_GS,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N,아크릴명찰(골드실버) 본체
PRF_ACRYL_PHCOROTTO_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",Y,N,단가/구성 확인필요 (실무진)
PRF_ACRYL_SHAKER_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",Y,N,단가/구성 확인필요 (실무진)
PRF_ACRYL_SHCOROTTO_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",Y,N,단가/구성 확인필요 (실무진)
PRF_ACRYL_SMARTTOK,COMP_ACRYL_CLEAR3T,PRICE_TYPE.02,"[""mat_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,투명아크릴 인쇄가공비
PRF_ACRYL_SMARTTOK,COMP_ACRYL_SMARTTOK,PRICE_TYPE.01,"[""opt_cd"", ""min_qty"", ""opt_grp:OPT_000077""]",Y,N,스마트톡 바디
PRF_ACRYL_ZIBITZ2_TBD,COMP_ACRYL_PENDING_TBD,PRICE_TYPE.02,"[""min_qty""]",Y,N,단가/구성 확인필요 (실무진)
PRF_BIND_MUSEON,COMP_BIND_MUSEON,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비 무선
PRF_BIND_MUSEON_FOIL,COMP_BIND_MUSEON,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비 무선
PRF_BIND_MUSEON_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(대형·특수박)
PRF_BIND_MUSEON_FOIL,COMP_FOIL_PROC_LARGE_STD,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(대형·일반박)
PRF_BIND_MUSEON_FOIL,COMP_FOIL_SETUP_LARGE,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height""]",Y,N,박·형압 동판셋업비(대형)
PRF_BIND_PUR,COMP_BIND_PUR,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비 PUR
PRF_BIND_PUR_FOIL,COMP_BIND_PUR,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비 PUR
PRF_BIND_PUR_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(대형·특수박)
PRF_BIND_PUR_FOIL,COMP_FOIL_PROC_LARGE_STD,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height"", ""min_qty""]",Y,N,박 가공비(대형·일반박)
PRF_BIND_PUR_FOIL,COMP_FOIL_SETUP_LARGE,PRICE_TYPE.03,"[""proc_cd"", ""siz_width"", ""siz_height""]",Y,N,박·형압 동판셋업비(대형)
PRF_BIND_SUM,COMP_BIND_JUNGCHEOL,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비 중철
PRF_BIND_TWINRING,COMP_BIND_TWINRING,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000017""]",Y,N,제본비
PRF_BOOK_COVER,COMP_COAT_MATTE,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""coat_side_cnt"", ""min_qty"", ""proc_grp:PROC_000013""]",Y,N,무광코팅비
PRF_BOOK_COVER,COMP_PAPER,PRICE_TYPE.01,"[""plt_siz_cd"", ""mat_cd""]",Y,N,용지비(종이별 절가)
