prd_cd,proc_cd,excl_grp_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000173,PROC_000023,,Y,1,2026-06-05 00:00:00,,"L1:만년다이어리(하드커버) 제본사양=""하드커버(면지?)"" → PROC_000023 하드커버무선제본 (R1, ref-processes 마스터 직접매핑)"
PRD_000174,PROC_000023,,Y,1,2026-06-05 00:00:00,,"L1:만년다이어리(레더하드커버) 제본사양=""하드커버(면지?)"" → PROC_000023 하드커버무선제본 (R1, ref-processes 마스터 직접매핑)"
PRD_000177,PROC_000021,,Y,1,2026-06-05 00:00:00,,"L1:스프링노트 제본사양=""트윈링제본(좌철+실버링)"" → PROC_000021 트윈링제본(좌철) (R1, ref-processes 마스터 직접매핑)"
PRD_000178,PROC_000021,,Y,1,2026-06-05 00:00:00,,"L1:스프링수첩 제본사양=""트윈링제본(상철+실버링)"" → PROC_000021 트윈링제본(상철) (R1, ref-processes 마스터 직접매핑)"
PRD_000179,PROC_000022,,Y,1,2026-06-05 00:00:00,,"L1:메모패드 제본사양=""떡제본"" → PROC_000022 떡제본 (R1, ref-processes 마스터 직접매핑)"
PRD_000181,PROC_000018,,Y,1,2026-06-05 00:00:00,,"L1:중철노트 제본사양=""중철제본"" → PROC_000018 중철제본 (R1, ref-processes 마스터 직접매핑)"
PRD_000172,PROC_000015,,N,5,2026-06-05 00:00:00,,"L1:만년다이어리(소프트커버) 표지사양=""아트250 + 무광코팅"" → 코팅공정 분리 PROC_000015 무광 (R2/G-ST-4, 자재 swap은 D-ST-4 보류)"
PRD_000173,PROC_000015,,N,5,2026-06-05 00:00:00,,"L1:만년다이어리(하드커버) 표지사양=""아트250 + 무광코팅"" → 코팅공정 분리 PROC_000015 무광 (R2/G-ST-4, 자재 swap은 D-ST-4 보류)"
PRD_000176,PROC_000015,,N,5,2026-06-05 00:00:00,,"L1:먼슬리플래너 표지사양=""아트250 + 무광코팅"" → 코팅공정 분리 PROC_000015 무광 (R2/G-ST-4, 자재 swap은 D-ST-4 보류)"
PRD_000177,PROC_000015,,N,5,2026-06-05 00:00:00,,"L1:스프링노트 표지사양=""아트250 + 무광코팅"" → 코팅공정 분리 PROC_000015 무광 (R2/G-ST-4, 자재 swap은 D-ST-4 보류)"
PRD_000178,PROC_000015,,N,5,2026-06-05 00:00:00,,"L1:스프링수첩 표지사양=""아트250 + 무광코팅"" → 코팅공정 분리 PROC_000015 무광 (R2/G-ST-4, 자재 swap은 D-ST-4 보류)"
PRD_000179,PROC_000015,,N,5,2026-06-05 00:00:00,,"L1:메모패드 표지사양=""아트250 + 무광코팅"" → 코팅공정 분리 PROC_000015 무광 (R2/G-ST-4, 자재 swap은 D-ST-4 보류)"
PRD_000181,PROC_000015,,N,5,2026-06-05 00:00:00,,"L1:중철노트 표지사양=""아트250 + 무광코팅"" → 코팅공정 분리 PROC_000015 무광 (R2/G-ST-4, 자재 swap은 D-ST-4 보류)"
