출처	항목	어디로	사유
price-setup STATUS-260901 §5①	셋트 제본비 미청구(위젯이 셋트 공정 미전송)	X 트랙(코드부채·돈)	기능행 STD-OPT-051(셋트 합산 가격 계산)이 이미 있다. 없는 기능이 아니라 있는 기능이 틀린 것
price-setup STATUS-260901 §5②	셋트 구성원에 선택 크기가 안 내려감	X 트랙(코드부채·돈)	같은 이유 — STD-OPT-051 의 구현 결함
price-setup STATUS-260901 §5③	품목사이즈 전용 판형 자동 미선택	X 트랙(코드부채·돈)	기능행 STD-OPT-052(판걸이수 기반 판형 원가)의 구현 결함
price-setup STATUS-260901 §5④	550x375 판형 미배선 잔여	P 트랙(상품데이터)	기능이 아니라 배선 데이터 점검
price-setup STATUS-260902 §6	아크릴 할인 스코프 8종 과소청구(합 −5,000,000)	P 트랙(상품데이터·돈)	기능이 아니라 할인 연결 데이터. 금액이 오르므로 건별 승인 필요
price-setup STATUS-260902 §7	권위에 있는데 라이브에 없는 것 4건	P 트랙(상품데이터·확인요청)	판단 요청이지 기능이 아니다
N3 §10 A-3	폴백 견적기 가격 하드코딩	X 트랙(코드부채)	존치 여부 결정 후 제거 — 새 기능 아님
N3 §10 A-4	Redis 미설정 → 요청제한 상한이 뚫림	X 트랙(인프라)	설정 항목
N3 §10 A-5	Prisma 23모델 사문	X 트랙(코드부채)	정리 대상
N3 §10 A-6	DB 테이블 수 불일치	X 트랙(해소)	O3 가 이번에 실측으로 닫았다 — L5/O3/db-table-count.md
N3 §10 A-7	MES 인계 관이 없다	기존행 귀속	STD-MFG-013(MES-1 주문 접수 전송·WCF)이 그 기능행이다
N3 §10 A-8	MES 품목코드 매핑 15/269	X 트랙(외부계약·차단)	상대 시스템 회신에 달렸다. 기능행은 STD-MFG-010
N3 §10 A-10	공정라우트가 데이터가 아니다	기존행 귀속	STD-MFG-084·085·086 이 그 기능행이다
N3 §10 A-11	SF-1·원고승격 실사용 0건	X 트랙(검증잔여·미실행)	미구현이 아니라 미실행
N3 §10 A-12	프리플라이트 미구현·PitStop 미도입	기존행 귀속 + PM 결정	기능행 STD-ART-016 · 도입 결정은 D 팩 (5)
N3 §10 A-14	주문수량 반올림이 서버 가드를 무력화	X 트랙(코드부채·돈)	있는 기능의 결함
N3 §10 A-16	자사몰이 라이브 DB 를 직접 조회	X 트랙(정책결정)	아키텍처 결정
N3 §10 A-17	게시 위젯 없는 판매 상품 77건	P 트랙(상품데이터·77건)	데이터 상태
N3 §10 A-18	부속 색상 컴포넌트 배치 0건	P 트랙(상품데이터)	배치 필요 여부 자체가 미확인(U-19)
N3 §10 A-19	셋트 요약 라벨 3종이 전부 「디지털인쇄」로 표시	X 트랙(코드부채·주문)	표시 결함 — 셀러어드민까지 그대로 나간다
N3 §10 A-20	운영정책 260827 이 금지 기능을 공지	X 트랙(정책결정)	문구 정정 — 시스템 개발 0. D 팩 (2)
N3 §10 A-21	세금계산서·현금영수증 수량 표기	X 트랙(외부계약·차단)	대응책이 어디에도 없다. D 팩 (4)
N3 §10 A-22	STD-ADO-015 JDF/XJDF 재판정	원장 안에서 처리	lead 결정 5 로 비고에 「후니 미채택」 표기
N1 open-questions D	PM 결정 5건(+D-6)	X 트랙(정책결정)	결정이지 기능이 아니다. D 팩
N1 open-questions F	사내 확인 3건	X 트랙(내부확인)	확인이지 기능이 아니다. F 팩
카드 §O3 재료 「M1 §10」	위젯 없는 77상품·부속색상·셋트 요약 라벨	카드 참조 정정	실제 출처는 M1 §10 이 아니라 N3 ARCHITECTURE-v2 §10 A-17·A-18·A-19 다. M1 §10 은 위젯 자체의 미확인 7건
