구분,대상원장,키,제안,근거,근거요지
A.status정정,t49(widget),t49:318,status 미확인 → 완료,raw/webadmin/webadmin/catalog/widget_views.py:858,widget_preview_presign 구현 실재 — 런타임과 같은 _check_files·PRESIGN_MAX_BATCH·PREVIEW- 키 격리까지
A.status정정,t49(widget),t49:319,status 미확인 → 완료,raw/webadmin/webadmin/catalog/widget_views.py:924,widget_preview_multipart 구현 실재 — 런타임과 같은 wapi._multipart_dispatch 재사용
A.status정정,t49(widget),t49:215,status 미확인 → 미착수 · function 에 「등록 화면·도구 부재(직접 DB UPDATE)」 명기,raw/webadmin/webadmin/catalog/admin.py(TWgtSites 미등록) · raw/webadmin/tools/issue_site_key.py:35 · raw/webadmin/docs/widget-builder-design.html:587,TWgtSites admin 등록 0건 · issue_site_key.py 는 site_key 만 UPDATE · allow_domains 편집 도구 0 · 설계에는 관리 화면이 Phase13 으로 예정돼 있었다
B.재연결만,t49(widget),STD-ART-003,t49:247 에 plan_row_id 추가 연결(현재 STD-ART-001 단독),raw/webadmin/webadmin/catalog/static/catalog/widget.js:812,onProgress 로 진행률 보고 구현 — 「진행률」 부분은 이미 t49:247 이 덮는다(「실패 재시도」는 별도 C행 참조)
B.재연결만,t50(pitstop),STD-ART-018,t50:129(PS-22)·t50:135(PS-30) 에 plan_row_id 추가 연결,_workspace/huni-launch-runway/08_system-screen/t51/merged.csv (row_uid t50:129·t50:135),재업로드 요청 알림톡 발송 행이 이미 존재(자동=PS-22 · 담당자발=PS-30) — plan_row_id 가 STD-MFG-054/049 로만 걸려 미수록으로 보였다
B.재연결만,t50(pitstop),STD-ADO-009,t50:129(PS-22)·t50:135(PS-30) 에 plan_row_id 추가 연결,_workspace/huni-launch-runway/08_system-screen/t51/merged.csv (row_uid t50:129·t50:135),STD-ART-018 과 같은 안건(재업로드 요청 발송)의 중복 계획행 — 같은 원장 행으로 연결
B.재연결만,t50(mes),STD-ART-028,t50:74 에 plan_row_id 추가 연결 · 단 「승격→MES 전달」 본체는 C행(STD-MFG-013),_workspace/huni-launch-runway/08_system-screen/t51/merged.csv (row_uid t50:74),MES-ITF-DesignFile-CopyToNas(접수파일 사내 NAS 복사) 가 생산용 원고 전달의 일부를 덮는다 — 계획행 상태 「부분」과 일치
B.재연결만,t49(webadmin),STD-MFG-099,t49:208 에 plan_row_id 추가 연결 · 분해 규칙 확정은 D행,raw/webadmin/webadmin/catalog/widget_api.py:4646 · :4660,서명 payload 에 set(셋트 본문)·case_cnt(건수)가 실려 MES 분해 재료는 이미 전달된다 — 분해 규칙 자체는 미결(설계 ★12-11)
C.빠진일,t49(webadmin),STD-MFG-004,행 추가 — 원고 승격 tmp→order CopyObject(work_type=build · status=완료),raw/webadmin/webadmin/catalog/artwork_promote.py,CopyObject + head_object 실존·크기 실측 + tmp 에 promoted=true 태깅 구현 실재. 747행 어디에도 대응 행이 없다
C.빠진일,t49(webadmin),STD-MFG-008,행 추가 — 원고 키 회차 r{n} 규약·누적 보관(build · 완료),raw/webadmin/webadmin/catalog/artwork_promote.py · raw/webadmin/webadmin/catalog/s3_artwork.py:149,build_order_key 회차 세그먼트 규약 구현 실재(주문항목 단위 폴더 분리 주석) · 원장 행 0
C.빠진일,t49(webadmin),STD-MFG-009,행 추가 — MES 넘길 파일 목록 산출(t_ord_artworks 최신 회차)(build · 완료),raw/webadmin/webadmin/catalog/artwork_promote.py:320,최신 회차 승격 결과 조회 함수 실재 — 「MES 에 넘길 파일 목록의 출처」라고 주석이 명시 · 원장 행 0
C.빠진일,t49(webadmin),STD-MFG-011,행 추가 — MES 품목코드 중복 검증(build · 완료),raw/webadmin/webadmin/catalog/admin.py:2710,clean_mes_item_cd 가 부분 유니크 인덱스의 삭제상품 점유까지 명시하는 폼 검증 구현 · 원장 행 0
C.빠진일,t49(webadmin),STD-MFG-012,행 추가 — MES 품목코드 매핑 현황 목록 노출(build · 미착수),raw/webadmin/webadmin/catalog/admin.py:2666 · raw/webadmin/docs/order-to-mes-process.md:679,_drop 집합이 목록 컬럼에서 mes_item_cd 를 제거한다 → 현황 파악 불가. 설계도 미착수로 적고 있다(docs/order-to-mes-process.md:684)
C.빠진일,t49(webadmin),STD-MFG-013,행 추가 — MES-1 주문 접수 전송(WCF)(integrate · counterpart=mes · owner_side=webadmin · 미착수),raw/webadmin/ 전수 grep: wcf|mes_send|send_to_mes|mes_client → 0건 · raw/webadmin/docs/order-to-mes-process.md:472 · docs/order-to-mes-process.md:685,전송 코드 부재. MES_SENT 는 tests/test_artwork_promote.py:400 의 가드 상수로만 존재
C.빠진일,t49(webadmin),STD-MFG-014,행 추가 — MES 중복 전송 방지 도장(build · 미착수),raw/webadmin/docs/order-to-mes-process.md:615 · docs/order-to-mes-process.md:685,설계 2단계 미체크 항목 · 코드 0
C.빠진일,t49(webadmin),STD-MFG-015,행 추가 — MES-2 주문 취소 통보(integrate · counterpart=mes · 미착수),raw/webadmin/docs/order-to-mes-process.md:473,설계 §8.3 MES-2 · 코드 0
C.빠진일,t49(webadmin),STD-MFG-016,행 추가 — MES-3 원고 교체 통보(integrate · counterpart=mes · 미착수),raw/webadmin/docs/order-to-mes-process.md:474,설계 §8.3 MES-3 · 코드 0
C.빠진일,t49(webadmin),STD-MFG-017,행 추가 — MES-4 배송지·수령자 변경 통보(integrate · counterpart=mes · 미착수),raw/webadmin/docs/order-to-mes-process.md:475,설계 §8.3 MES-4(출고 전 한정) · 코드 0
