sheet,key,change_type,column,before,after,cell_ref,target_entity,target_column,live_prd_cd,apply_class,confidence,note
아크릴,14636,MODIFIED,상품명,아크릴코롯토,,아크릴!B140,t_prd_product_sizes (+ 변형행),상품명,PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx18]
아크릴,14636,MODIFIED,소재(필수),투명아크릴(8T),,아크릴!B140,t_prd_product_sizes (+ 변형행),소재(필수),PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx18]
아크릴,14636,MODIFIED,사이즈(필수),사용자입력,,아크릴!B141,t_prd_product_sizes (+ 변형행),사이즈(필수),PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx19]
아크릴,14636,MODIFIED,상품명,아크릴입체코롯토,,아크릴!B143,t_prd_product_sizes (+ 변형행),상품명,PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx20]
아크릴,14636,MODIFIED,사이즈(필수),사용자입력,,아크릴!B144,t_prd_product_sizes (+ 변형행),사이즈(필수),PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx21]
아크릴,14636,MODIFIED,사이즈(필수),80*80,,아크릴!B146,t_prd_product_sizes (+ 변형행),사이즈(필수),PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx22]
아크릴,14636,MODIFIED,상품명,아크릴입체블럭,,아크릴!B146,t_prd_product_sizes (+ 변형행),상품명,PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx22]
아크릴,14636,MODIFIED,소재(필수),투명아크릴라미(10T),,아크릴!B146,t_prd_product_sizes (+ 변형행),소재(필수),PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx22]
아크릴,14636,MODIFIED,사이즈(필수),100*150,,아크릴!B147,t_prd_product_sizes (+ 변형행),사이즈(필수),PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx23]
아크릴,14636,MODIFIED,가격,20000,,아크릴!B152,t_prd_product_sizes (+ 변형행),가격,PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx24]
아크릴,14636,MODIFIED,가공(옵션)_가공,파츠(없음),,아크릴!B152,t_prd_product_sizes (+ 변형행),가공(옵션)_가공,PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx24]
아크릴,14636,MODIFIED,사이즈(필수),50 x 50 mm,,아크릴!B152,t_prd_product_sizes (+ 변형행),사이즈(필수),PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx24]
아크릴,14636,MODIFIED,상품명,아크릴쉐이커★,,아크릴!B152,t_prd_product_sizes (+ 변형행),상품명,PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx24]
아크릴,14636,MODIFIED,제작수량(필수)_최소,●,,아크릴!B152,t_prd_product_sizes (+ 변형행),제작수량(필수)_최소,PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx24]
아크릴,14636,MODIFIED,가공(옵션)_가공,파츠(디자인A),,아크릴!B153,t_prd_product_sizes (+ 변형행),가공(옵션)_가공,PRD_000163,ESCALATE,LOW,아크릴미니파츠 변형행 -16(34->18). 위치정렬 LOW 신뢰(tail-shift 유령 가능). 라이브 size 1행뿐. 변형행 감축은 사람 판단(논리삭제 후보). [prd_nm=아크릴미니파츠 vidx25]
