# 레더 링바인더 소재+인쇄비 격자 verbatim
# ★CONFLICT: 실무진이 지목한 "출력소재관리 > 하드커버전용 > 레더링바인더 A4" 행은
#   후니프린팅_인쇄상품_가격표_260702.xlsx > 출력소재(IMPORT) sheet 에 존재하지 않음.
#   해당 하드커버전용 섹션(r99~r101)에 실제 존재하는 것은 "레더하드커버 A4"뿐.
#   (레더하드커버 = 표지 532×355 기준 / 레더 링바인더 = 표지 611×374 — 사이즈 다름)
# 값 단위 = 소재비(원), IMPORT sheet note 컬럼상 "소재비"로만 명시(인쇄비 포함 여부 미기재)
# 260527 대비 드리프트: 레더하드커버 A5=4000·A4=7000 값 동일 (변경 없음). 레더링바인더 A4 행 여전히 부재.
source,section,item_nm,coat,mat_basis,size_basis,unit_price,note,src_row
후니_가격표_260702,출력소재(IMPORT)_하드커버전용,하드커버전용지+무광코팅,X,아트150,,계산식,계산식(정액아님),r99
후니_가격표_260702,출력소재(IMPORT)_하드커버전용,레더하드커버 A5,X,레더,390x268,4000,A5 하드커버 표지사이즈 기준 390x268기준 소재비,r100
후니_가격표_260702,출력소재(IMPORT)_하드커버전용,레더하드커버 A4,X,레더,532x355,7000,A4 하드커버 표지사이즈 기준 532*355기준 소재비,r101
후니_가격표_260702,출력소재(IMPORT)_하드커버전용,레더링바인더 A4,,,,MISSING,★실무진 지목 행 부재(CONFLICT),-
# --- 참고: 레더 인쇄비 대안 후보(레더아트프린트, 포스터사인 sheet) — 실무진 미지목 경로 ---
# 표지 펼침 611×374 → 세로374(≤600행) × 가로611(≤800열) 밴드 → 19000원/장
# ★단 실무진은 소재+인쇄비를 "출력소재관리 하드커버전용"에서 단일값으로 지목 → 아래는 리서치 대안일 뿐
후니_가격표_260702,포스터사인_레더아트프린트,레더아트프린트 600x600,,레더,600x600,19000,면적매트릭스[세로행][가로열],r139
후니_가격표_260702,포스터사인_레더아트프린트,레더아트프린트 600x800,,레더,세로600x가로800,19000,611x374 커버가 드는 밴드,r139
후니_가격표_260702,포스터사인_레더아트프린트,레더아트프린트 800x600,,레더,세로800x가로600,19000,,r140
