prd_cd,prd_nm,current_qty_unit_typ_cd,target_qty_unit_typ_cd,use_yn,_provenance
PRD_000068,중철책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000069,무선책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000070,PUR책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000071,트윈링책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000072,하드커버책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000077,레더 하드커버책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000082,하드커버 링책자,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000088,레더 링바인더,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000094,엽서북,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000097,떡메모지,NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
PRD_000100,포토북 [디자인명],NULL,QTY_UNIT.03,Y,C-4 책자→권(QTY_UNIT.03). 라이브 현재 NULL(272 글로벌 NULL 갭 G-BK-7). (R6)
