std_id,대분류,중분류,기능,상태,오픈차단여부,매핑legacy_id,매핑asis_id,돈여부,주문여부,근거,비고,담당,sub_track,배정근거,done_criteria
STD-CAT-001,상품·카탈로그,카테고리,대분류/중분류/소분류 다단 카테고리 트리 노출,new,작업 항목,,SB-004;SB-003,N,N,huni-skin-shopby/src/lib/api/server/catalog.ts:1-20 (MULTI_LEVEL 트리 조회 done),R1 · L4 판정 승계,쇼핑개발,web,규칙:260616 01_역할정의 「쇼핑몰 사용자 전반」 · 카탈로그 노출은 샵바이 스토어프론트,"「대분류/중분류/소분류 다단 카테고리 트리 노출」을 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-CAT-002,상품·카탈로그,카테고리,카테고리별 상품 리스팅(정렬·페이징),new,작업 항목,,SB-005;SB-006,N,N,huni-skin-shopby/src/lib/api/server/catalog.ts:5 · src/components/shop/shop-list.tsx:18-24,R1 · L4 판정 승계,쇼핑개발,web,규칙:260616 01_역할정의 「쇼핑몰 사용자 전반」 · 카탈로그 노출은 샵바이 스토어프론트,"「카테고리별 상품 리스팅(정렬·페이징)」을 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-CAT-003,상품·카탈로그,카테고리,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),todo,작업 항목,F-088;IA-088;SCOPE-088,,N,N,F-088/SCOPE-088/IA-088 랜딩페이지 5종(종이·제본·캘린더·파우치·스티커) 미착수,R1 · L4 판정 승계,쇼핑개발,web,규칙:260616 01_역할정의 「쇼핑몰 사용자 전반」 · 카탈로그 노출은 샵바이 스토어프론트,라이브 스토어프론트 화면 에서 「상품군 전용 랜딩(출력/책자/실사/패키지/굿즈)」가 1회 관측된다
STD-CAT-004,상품·카탈로그,검색,상품명 통합검색,partial,작업 항목,F-154;SCOPE-154,SB-008;SB-005,N,N,huni-skin-shopby/src/app/(main)/search/page.tsx:1 (검색 페이지 존재) · 인기검색어 src/lib/api/hooks/use-search.ts:13,R1 · L4 판정 승계 · 안 되는 부분: 미확인 — 근거·비고 어디에도 결손 표기가 없다 · 라이브 스토어프론트 화면 1회 점검으로 닫는다,쇼핑개발,web,규칙:260616 01_역할정의 「쇼핑몰 사용자 전반」 · 카탈로그 노출은 샵바이 스토어프론트,"이미 되는 부분은 확인되고, 남은 부분(미확인 — 결손 표기 없음)이 「상품명 통합검색」이 1회 관측된다"
STD-CAT-005,상품·카탈로그,검색,종이/소재명 기준 검색(아트지·스노우지 등),todo,작업 항목,F-154;SCOPE-154,,N,N,SCOPE-154 상품 검색·필터 엔진 PARTIAL,R1 · L4 판정 승계,쇼핑개발,web,규칙:260616 01_역할정의 「쇼핑몰 사용자 전반」 · 카탈로그 노출은 샵바이 스토어프론트,라이브 스토어프론트 화면 에서 「종이/소재명 기준 검색(아트지·스노우지 등)」이 1회 관측된다
STD-CAT-006,상품·카탈로그,검색,검색어 자동완성·인기검색어,partial,작업 항목,F-154;SCOPE-154,SB-008,N,N,huni-skin-shopby/src/app/(main)/search/page.tsx:1 · 인기검색어 src/lib/api/hooks/use-search.ts:13,R1 · L4 판정 승계 · 안 되는 부분: 미확인 — 근거·비고 어디에도 결손 표기가 없다 · 라이브 스토어프론트 화면 1회 점검으로 닫는다,쇼핑개발,web,규칙:260616 01_역할정의 「쇼핑몰 사용자 전반」 · 카탈로그 노출은 샵바이 스토어프론트,"이미 되는 부분은 확인되고, 남은 부분(미확인 — 결손 표기 없음)이 「검색어 자동완성·인기검색어」가 1회 관측된다"
STD-CAT-007,상품·카탈로그,상품상세,상품 상세페이지 본문(이미지·설명 블록),done,작업 항목,IA-066;SCOPE-066,SB-007;SB-016;SB-017,N,N,huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:42-47 · :51-56 · src/components/product/product-sections.tsx:1,R1 · L4 판정 승계,쇼핑개발,builder,규칙:260616 01_역할정의 「상세페이지 빌더」 · Phase1 G1 상세빌더,"/page.tsx:42-47 에 구현이 있고, 라이브 스토어프론트 화면 에서 「상품 상세페이지 본문(이미지·설명 블록)」이 1회 관측된다"
STD-CAT-008,상품·카탈로그,상품상세,동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등),new,작업 항목,,,N,N,print-story/02_capture/order-flow-steps.md §A-0 레드프린팅 상품 분할 전략,R1 · L4 판정 승계,쇼핑개발,builder,규칙:260616 01_역할정의 「상세페이지 빌더」 · Phase1 G1 상세빌더,"「동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등…」을 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-CAT-009,상품·카탈로그,상품상세,후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이),new,작업 항목,,,N,N,print-story/02_capture/order-flow-steps.md §E-4 3사 용어 불일치,R1 · L4 판정 승계,쇼핑개발,builder,규칙:260616 01_역할정의 「상세페이지 빌더」 · Phase1 G1 상세빌더,"「후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이)」를 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-CAT-010,상품·카탈로그,상품상세,재단사이즈 vs 작업사이즈 설명 가이드,todo,작업 항목,IA-060;SCOPE-060,,N,N,SCOPE-060/IA-060 E4 작업/재단/블리드 사이즈 안내 PARTIAL·미착수,R1 · L4 판정 승계,쇼핑개발,builder,규칙:260616 01_역할정의 「상세페이지 빌더」 · Phase1 G1 상세빌더,라이브 스토어프론트 화면 에서 「재단사이즈 vs 작업사이즈 설명 가이드」가 1회 관측된다
STD-CAT-011,상품·카탈로그,상품상세,상품별 제작 소요일/출고 기준 안내,new,작업 항목,,,N,N,print-story/02_capture/order-flow-steps.md §C-6 출고 옵션,R1 · L4 판정 승계,쇼핑개발,builder,규칙:260616 01_역할정의 「상세페이지 빌더」 · Phase1 G1 상세빌더,"「상품별 제작 소요일/출고 기준 안내」를 담을 그릇(테이블·모듈·화면)이 생기고, 라이브 스토어프론트 화면 에서 그 동작이 1회 관측된다"
STD-CAT-012,상품·카탈로그,상품상세,재작업 불가 사항 고지(폰트 아웃라인 등),partial,작업 항목,F-087;IA-087;SCOPE-087,SB-055,N,N,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202 (대부분 '준비중' 스텁)","R1 · L4 판정 승계 · 안 되는 부분: huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202 (대부분 '준비중' 스텁) (출처 근거)",쇼핑개발,builder,규칙:260616 01_역할정의 「상세페이지 빌더」 · Phase1 G1 상세빌더,"이미 되는 부분은 확인되고, 남은 부분(huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202 (대부분 '준비중' 스텁))이 「재작업 불가 사항 고지(폰트 아웃라인 등)」이 1회 관측된다"
STD-CAT-013,상품·카탈로그,상품상세,상품 Q&A 게시,todo,작업 항목,IA-069;SCOPE-069,SB-056,N,N,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),R1 · L4 판정 승계,쇼핑개발,web,예외:샵바이 표준 상품문의 기능 — 빌더 산출물이 아니라 스토어프론트 기능,라이브 스토어프론트 화면 에서 「상품 Q&A 게시」가 1회 관측된다
