track,item_mat_cd,mat_nm,mat_typ_cd,variant_axis,target_prd_cd,target_prd_nm,wired_usage,dflt_yn,existing_opt_group,existing_dim_row,price_rows,disposition,note
T1-면지,MAT_000001,화이트면지,MAT_TYPE.02,색축,PRD_000072,하드커버책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,면지색옵션값·자재행유지(ref_dim.03)·트리거OK
T1-면지,MAT_000002,블랙면지,MAT_TYPE.02,색축,PRD_000072,하드커버책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000003,그레이면지,MAT_TYPE.02,색축,PRD_000072,하드커버책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000001,화이트면지,MAT_TYPE.02,색축,PRD_000077,레더 하드커버책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000002,블랙면지,MAT_TYPE.02,색축,PRD_000077,레더 하드커버책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000003,그레이면지,MAT_TYPE.02,색축,PRD_000077,레더 하드커버책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000001,화이트면지,MAT_TYPE.02,색축,PRD_000082,하드커버 링책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000002,블랙면지,MAT_TYPE.02,색축,PRD_000082,하드커버 링책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000003,그레이면지,MAT_TYPE.02,색축,PRD_000082,하드커버 링책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000004,인쇄면지,MAT_TYPE.01,색축(인쇄),PRD_000082,하드커버 링책자,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1(stock유지),인쇄면지=실stock변형·옵션값으로도노출·자재행유지
T1-면지,MAT_000001,화이트면지,MAT_TYPE.02,색축,PRD_000088,레더 링바인더,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000002,블랙면지,MAT_TYPE.02,색축,PRD_000088,레더 링바인더,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000003,그레이면지,MAT_TYPE.02,색축,PRD_000088,레더 링바인더,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T1-면지,MAT_000004,인쇄면지,MAT_TYPE.01,색축(인쇄),PRD_000088,레더 링바인더,USAGE.03,Y,NONE,materials(OK),0,OPTIONIZE-색택1(stock유지),동일
T2-굿즈,MAT_000143,투명,MAT_TYPE.01,투명도축,PRD_000193,머그컵,USAGE.07,Y,NONE,materials(OK·dim siz=0),0,OPTIONIZE-투명도택1,투명/반투명=정당선택옵션·root(자식 PET 260/350g)·자재행유지
T2-굿즈,MAT_000146,반투명,MAT_TYPE.01,투명도축,PRD_000193,머그컵,USAGE.07,Y,NONE,materials(OK),0,OPTIONIZE-투명도택1,동일·머그컵에 투명/반투명/화이트(.08)/화이트머그(.12)혼재
T2-굿즈,MAT_000146,반투명,MAT_TYPE.01,투명도축,PRD_000227,미니우치와키링,USAGE.07,Y,NONE,materials(OK),0,CONFIRM,반투명만단독배선=택1불성립(투명대안부재)·실무진 옵션여부확인
T3-색,MAT_000255,화이트,MAT_TYPE.08,색축,PRD_000140,무광시트커팅,USAGE.07,Y,NONE,materials(OK),0,OPTIONIZE-색택1,실사색라벨·자재행유지
T3-색,MAT_000256,블랙,MAT_TYPE.08,색축,PRD_000140,무광시트커팅,USAGE.07,Y,NONE,materials(OK),0,OPTIONIZE-색택1,동일
T3-소재효과,MAT_000257,홀로그램,MAT_TYPE.08,소재효과축?,PRD_000141,홀로그램 시트커팅,USAGE.07,Y,NONE,materials(OK·물성NULL),0,CONFIRM,단독배선·평량NULL=소재여부불명·codex 소재축분리 제안
T3-소재효과,MAT_000258,골드,MAT_TYPE.08,소재효과축?,PRD_000143,미러아크릴스티커,USAGE.07,Y,NONE,materials(OK·물성NULL),0,CONFIRM,미러필름색?·평량NULL·실무진확인
T3-소재효과,MAT_000259,실버,MAT_TYPE.08,소재효과축?,PRD_000143,미러아크릴스티커,USAGE.07,Y,NONE,materials(OK·물성NULL),0,CONFIRM,동일
T3-형상,MAT_000263,원형 90mm,MAT_TYPE.09,형상사이즈축,PRD_000188,레더코스터,USAGE.07,Y,NONE,materials(OK·siz dim=0),0,BLOCKED-needs-L1,siz차원행부재·siz신규적재 선행필요
