product,prd_cd,defect_type,siz_cd,mat_cd,qty_band,authority_value,live_state,money_impact,repro_sql,route
반칼 자유형 홀로그램스티커,PRD_000054,미적재셀+차원누락,SIZ_000170/172/196,MAT_000163,전구간,홀로그램 grp3 단가행(투명/홀로 동일가),mat163 단가행=siz{059/060/518/519}만·054 바인딩siz{170/172/196}×mat163=0행,견적불가(no_match·active),"SELECT count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000163' AND siz_cd IN('SIZ_000170','SIZ_000172','SIZ_000196'); -- =0",dbm-load-execution: mat163 단가행 170/172 적재(가격표 verbatim) OR 058/059/060 재바인딩
반칼 자유형 투명스티커,PRD_000053,미적재셀,SIZ_000170/196,MAT_000162,전구간,투명 grp3 단가행,mat162 × siz{170/196}=0행(172만 6단 적재),견적불가(170/196 no_match),"SELECT siz_cd,count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000162' AND siz_cd IN('SIZ_000170','SIZ_000172','SIZ_000196') GROUP BY siz_cd; -- 172만",dbm-axis-staged-load: 053 반칼siz(059/060/520) 재바인딩 OR 170/196 mat162 적재
반칼 자유형 스티커,PRD_000052,정합불일치(저청구·siz collision),SIZ_000172→SIZ_000520,MAT_000153,1(전구간),반칼 A4=SIZ_520 qty1=5000,052 A4가 SIZ_172(낱장키) 바인딩→mat153 qty1=4000,저청구(-1000/장),"SELECT siz_cd,unit_price FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000153' AND siz_cd IN('SIZ_000172','SIZ_000520') AND min_qty=1; -- 172=4000,520=5000",dbm-axis-staged-load: 052 A4 바인딩 SIZ_172→SIZ_520(D04 동시해소)
반칼 자유형 스티커,PRD_000052,미적재셀+차원누락,SIZ_000172,MAT_000084/155/156/242,전구간,반칼 A4 5소재 전부(SIZ_520에 084=5000·153=5000·155=6000·156=6000·242=5000),SIZ_172엔 mat{153/162}만·084/155/156/242=0행,견적불가(A4 5소재 중 4 no_match),"SELECT mat_cd FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND siz_cd='SIZ_000172' GROUP BY mat_cd; -- {153,162}",dbm-axis-staged-load: 052 A4를 SIZ_520(5소재 36단 완비) 재바인딩
낱장 자유형 스티커,PRD_000055,정합불일치(자재 오바인딩)+차원누락,SIZ_000172/174/197+SIZ_000514/515,MAT_000154→MAT_000153,전구간,낱장 유포 단가축=mat153·B02 5사이즈(A4/B4/A3/B3/A2),상품자재=MAT154인데 단가행 mat154=0행·055 바인딩=A4/A3/A2만(B4/B3 미바인딩),견적불가(전건 no_match·active),"SELECT count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000154'; -- =0",dbm-correctness-audit: 055 자재 MAT154→MAT153 재바인딩 + B4(515)/B3(514) 사이즈 바인딩 추가
낱장 자유형 투명스티커,PRD_000056,정합불일치(자재 오바인딩)+차원누락,SIZ_000172/174/197+SIZ_000514/515,MAT_000243→MAT_000162,전구간,낱장 투명 단가축=mat162·B03 5사이즈,상품자재=MAT243인데 단가행 mat243=0행·056 바인딩=A4/A3/A2만,견적불가(전건 no_match·active),"SELECT count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000243'; -- =0",dbm-correctness-audit: 056 자재 MAT243→MAT162 재바인딩 + B4/B3 바인딩 추가(Q-STK-5 확인)
대형 자유형 스티커,PRD_000057,정합불일치(자재 오바인딩),SIZ_000199,MAT_000154→MAT_000153,전구간,대형 유포 단가축=mat153(SIZ_199 mat153 qty1=16000),상품자재=MAT154인데 SIZ_199엔 mat153만·mat154=0행,견적불가(no_match·active),"SELECT mat_cd,unit_price FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND siz_cd='SIZ_000199' AND min_qty=1; -- mat153=16000",dbm-correctness-audit: 057 자재 MAT154→MAT153 재바인딩
반칼팬시스티커,PRD_000062,차원누락(권위 부재),SIZ_000058,5소재,전구간,PENDING(100x140 가격표 단가 권위 부재),SIZ_058=COMP_STK_PRINT 0행(059/060만 OK),견적불가(100x140 no_match),"SELECT count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND siz_cd='SIZ_000058'; -- =0",확인필요(Q-STK-7): 100x140 출처 컨펌 OR 058 바인딩 제거(임의단가 금지)
반칼팬시투명스티커,PRD_000063,차원누락(권위 부재),SIZ_000058,MAT_000162,전구간,PENDING(100x140 권위 부재),SIZ_058 0행,견적불가(no_match),"동 SIZ_058 repro",확인필요(Q-STK-7): 100x140 컨펌 후 처리
합판도무송스티커,PRD_000066,차원누락(자재 미오퍼),37형상,MAT_000155/156/170/171,전구간,grpA단가(084)=155/156·grpB단가(153)=170/171 동일가,COMP_GANGPAN_PRINT mat={084/153}만·상품 6소재 오퍼·155/156/170/171=0행,견적불가(4소재 선택시 각37형상 no_match),"SELECT mat_cd,count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_GANGPAN_PRINT' AND mat_cd IN('MAT_000155','MAT_000156','MAT_000170','MAT_000171') GROUP BY mat_cd; -- 0행",dbm-load-execution: 084단가→155/156·153단가→170/171 동일가 복제(verbatim) OR 오퍼 2소재 축소(실무 컨펌)
반칼 자유형 스티커,PRD_000052,차원누락(권위 부재),SIZ_000196,5소재,전구간,PENDING(A6 가격표 단가 권위 부재),SIZ_196=0행(전건),견적불가(A6 no_match),"SELECT count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND siz_cd='SIZ_000196'; -- =0",확인필요(Q-STK-7): A6 출처 컨펌 OR 바인딩 제거(임의단가 금지)
반칼 자유형 투명스티커,PRD_000053,차원누락(권위 부재),SIZ_000196,MAT_000162,전구간,PENDING(A6 권위 부재),SIZ_196 0행,견적불가(no_match),"동 SIZ_196 repro",확인필요(Q-STK-7): A6 컨펌 후 처리
반칼 자유형 홀로그램스티커,PRD_000054,차원누락(권위 부재),SIZ_000196,MAT_000163,전구간,PENDING(A6 권위 부재),SIZ_196 0행,견적불가(no_match),"동 SIZ_196 repro",확인필요(Q-STK-7): A6 컨펌 후 처리
타투스티커,PRD_000067,값존재·의미미확정,SIZ_000060,MAT_000167,기본가,2000(B80 격자 실재·발명 아님),COMP_STK_TATTOO=1행(min3·4000)만·기본가2000 미반영,불명(3장미만 최소가 미반영시 저청구 가능),"SELECT * FROM t_prc_component_prices WHERE comp_cd='COMP_STK_TATTOO'; -- min3·4000만",확인필요(Q-STK-1): 기본가2000 base/최소가 의미 컨펌 후 반영(권위값 실재)
