comp_cd,block,auth_garo_w,auth_sero_h,auth_price,issue,blanket_swap_effect
COMP_POSTER_ARTPRINT_PHOTO,B01,600,1800,21600,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_ARTPAPER_MATTE,B02,600,1800,21600,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_ARTPAPER_MATTE,B02,900,1200,21600,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_WATERPROOF_PET,B03,600,1800,21600,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_ADH_WATERPROOF_PVC,B04,600,1800,21600,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_ADH_CLEAR_PVC,B05,600,1800,59400,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_ARTFABRIC_GRAPHIC,B06,600,1800,21600,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_LINEN_FABRIC,B07,600,1800,32400,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_CANVAS_FABRIC,B08,600,1800,37800,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_LEATHER_ARTPRINT,B09,600,1800,37800,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_TYVEK_PRINT,B10,600,1800,37800,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_MESH_PRINT,B11,600,1800,37800,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_BANNER_NORMAL,B26,900,1200,8640,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_BANNER_NORMAL,B26,900,5000,36000,genuine-missing-both,no-effect(stays missing)
COMP_POSTER_BANNER_MESH,B27,900,1200,21600,already-correct-DIRECT,BREAKS(blanket swap moves it away)
COMP_POSTER_BANNER_MESH,B27,900,5000,90000,genuine-missing-both,no-effect(stays missing)
