scn_id,등급,게이트,단계,전제,조작,기대결과,확인처,PG승인전가능,근거,미확인분기,실행일
P0-01,P0,G3,1 상품 보기,위젯이 게시된 판매상품 1종(예: 무선책자),자사몰 상품 목록 → 해당 상품 상세로 들어간다,"목록에 시작가가 보이고, 상세에서 위젯이 그려지며 브라우저 콘솔에 huni:state 이벤트가 1회 이상 찍힌다",브라우저 화면 + 개발자도구 콘솔(huni:state),Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/customer-journey.md,,2026-09-22
P0-02,P0,G3,1 상품 보기,판매중 269 · 게시 위젯 193 (M1 실측),판매중 상품 전건을 훑어 위젯 없는 77종이 어떻게 보이는지 센다,77종이 「준비중」으로 보이거나 목록에서 빠져 있다. 주문 버튼이 눌리는 상품이 0건이다,자사몰 상품 목록 화면 + 상품별 위젯 게시여부,Y,_workspace/huni-launch-runway/07_rebaseline/STRATEGY-D34.md,77종을 오픈에 넣을지 뺄지는 PM 결정(범위 U-17/18),2026-09-22
P0-03,P0,G3,2 옵션 고르기(위젯),무선책자 위젯 · 아무것도 고르지 않은 초기 상태,위젯을 열고 huni:state 의 reasons 배열을 읽는다,"reasons 에 「사이즈 선택」「내지종이 선택」「제작물 제목 입력」「내지 원고 파일 업로드」「표지 원고 파일 업로드」「가격 계산 대기/불가」가 들어 있고, canOrder=false 이며 담기 버튼이 눌리지 않는다",콘솔 huni:state.reasons · 담기 버튼 disabled 속성,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/customer-journey.md,,2026-09-22
P0-04,P0,G3,2 옵션 고르기(위젯),필수 공정이 있는 상품 · 컨트롤이 숨겨진 항목이 있는 상품,"필수 후가공을 해제해 보고, 숨김 항목이 payload 에 실리는지 담기 직전 state 로 확인한다",필수 후가공은 해제되지 않는다. 화면에 없는 숨김 항목도 기본값이 그대로 실린다,위젯 화면 + huni:state 의 selections,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/customer-journey.md,,2026-09-22
P0-05,P0,G2,3 실시간 견적,사양을 전부 고른 상태,사이즈를 한 번 바꾸고 0.5초 기다린다,"POST /api/w/v1/price 가 200 으로 1회 돌고, 표시가가 0원이 아니며 10원 배수다",개발자도구 네트워크 탭(/api/w/v1/price) · 위젯 가격 표시,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/customer-journey.md,,2026-09-18
P0-06,P0,G2,3 실시간 견적,수량규칙 min=2 · incr=1 인 셋트 상품,규칙에 맞지 않는 수량(예: 1)을 넣고 담기를 시도한다,bad_qty 로 막히고 사유가 화면에 나온다. 유효 수량은 min + incr×n 이지 min~max 아무 값이 아니다,위젯 오류 문구 · POST /handoff 응답 code,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/customer-journey.md,,2026-09-18
P0-07,P0,G3,4 원고 올리기/편집,파일 업로드 컴포넌트가 있는 상품,원고 PDF 1개를 올리고 전송이 끝날 때까지 기다린다,"presign 발급 후 S3 로 직접 PUT 되고, 업로드가 끝나면 reasons 에서 원고 항목이 사라진다. 전송 중에는 「원고 업로드가 끝나기를 기다리는 중입니다」가 남아 있다",네트워크 탭(/upload/presign · S3 PUT) · huni:state.reasons,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/customer-journey.md,,2026-09-22
P0-08,P0,G3,4 원고 올리기/편집,편집기(Edicus) 컴포넌트가 있는 상품,편집기를 열고 저장하지 않고 닫는다 → 다시 열어 저장한다,"닫기만 하면 원고 미충족이 유지되고, 저장한 뒤에야 reasons 에서 사라진다",위젯 reasons · /editor/resolve 응답,Y,_workspace/huni-launch-runway/07_rebaseline/L0/M1/customer-journey.md,,2026-09-22
P0-09,P0,G2,5 장바구니,담기 가능 상태(canOrder=true),「장바구니 담기」를 누른다,"POST /handoff 가 200 으로 서명 토큰을 주고, 자사몰이 그 토큰으로 POST /cart/items 를 불러 item_id 를 받은 뒤 샵바이 장바구니에 담는다. 장바구니 줄에 optionInputs 2칸(huni_item·huni_order)이 있고 orderCnt = 총액÷10 이다",네트워크 탭(/handoff · /cart/items) · 샵바이 장바구니 화면 · 셀러어드민 주문 상세,Y,_workspace/huni-launch-runway/07_rebaseline/L0/N3/ARCHITECTURE-v2.md,현행 자사몰은 /cart/items 를 한 번도 부르지 않는다(grep 0건) — 배선 전에는 레거시 /handoff/requote 경로로만 돈다,2026-09-18
P0-10,P0,G2,5 장바구니,장바구니에 담은 뒤 수량을 바꾸지 않고 1시간 넘게 둔다,결제하기를 누른다,결제 직전 PUT /cart/items/{item_id}(수량 생략) 가 돌아 토큰이 갱신되고 결제가 진행된다. 이 호출이 없으면 토큰 TTL 3600초가 지나 결제가 막힌다,네트워크 탭(PUT /cart/items) · 결제 진행 여부,Y,_workspace/huni-launch-runway/07_rebaseline/L0/N3/ARCHITECTURE-v2.md,현행 cart-page.tsx 는 onCheckout 에서 재견적 없이 createOrderSheet 를 바로 부른다 — 이 시나리오는 지금 실패하는 것이 정상,2026-09-18
