no,시스템,영역,기능,우선순위,phase,구분,담당,규모,선행조건,비고,launch_flag
1,쇼핑몰,로그인,일반 로그인,P0,1차(W1-3),사이트내부,쇼핑개발,S,,,LAUNCH
2,쇼핑몰,로그인,아이디 찾기 (이메일 발송),P0,1차(W1-3),사이트내부,쇼핑개발,S,,,LAUNCH
3,쇼핑몰,로그인,비밀번호 찾기 (휴대폰 임시PW),P1,2차(W11~20),외부연동,쇼핑개발,M,알림톡 서비스 계약 먼저 (PM),알림톡 서비스 계약 필요,LAUNCH
4,쇼핑몰,회원가입,약관동의,P0,1차(W1-3),사이트내부,쇼핑개발,S,,,LAUNCH
5,쇼핑몰,회원가입,정보입력,P0,1차(W1-3),사이트내부,쇼핑개발,M,,,LAUNCH
6,쇼핑몰,회원가입,이메일 중복확인,P0,1차(W1-3),사이트내부,쇼핑개발,S,,,LAUNCH
7,쇼핑몰,회원가입,휴대전화 인증,P1,2차(W11~20),외부연동,쇼핑개발,M,휴대폰 인증·문자 서비스 계약 먼저 (PM),이슈사항에 추가,LAUNCH
8,쇼핑몰,회원가입,가입완료 메일 발송,P0,1차(W1-3),사이트내부,쇼핑개발,S,,,LAUNCH
9,쇼핑몰,마이페이지,주문조회,P0,1차(W7-9),사이트내부,쇼핑개발,M,,,LAUNCH
10,쇼핑몰,마이페이지,주문상세조회(편집상품 미리보기),P0,1차(W7-9),사이트내부,쇼핑개발,L,,,LAUNCH
11,쇼핑몰,마이페이지,옵션보관함 (저장된 인쇄옵션),P1,2차(W11~20),사이트내부,쇼핑개발,M,,재주문시 옵션 불러오기,LAUNCH
12,쇼핑몰,마이페이지,쿠폰관리 ,P1,2차(W11~20),사이트내부,쇼핑개발,S,,,LAUNCH
13,쇼핑몰,마이페이지,쿠폰등록,P1,2차(W11~20),사이트내부,쇼핑개발,S,,로그인한 상태에서만 등록가능/등록후 결과,LAUNCH
14,쇼핑몰,마이페이지,프린팅머니,P1,2차(W11~20),외부연동,쇼핑개발,M,결제대행(PG) 연동 먼저 (PM),PG 연동 필요,LAUNCH
15,쇼핑몰,마이페이지,머니충전,P1,2차(W11~20),외부연동,쇼핑개발,M,결제대행(PG) 연동 먼저 (PM),결제가 가능해야함,LAUNCH
16,쇼핑몰,마이페이지,나의 상품Q&A + 문의하기,P1,2차(W11~20),사이트내부,쇼핑개발,M,,,LAUNCH
17,쇼핑몰,마이페이지,나의 리뷰,P2,3차(W21~),사이트내부,쇼핑개발,M,,배송완료건에 한해 리뷰쓰면 즉시노출 / 쿠폰자동발행으로 쿠폰지급,LAUNCH
18,쇼핑몰,마이페이지,리뷰쓰기(사진업로드) 수정/삭제,P2,3차(W21~),사이트내부,쇼핑개발,M,,삭제시에도 쿠폰자동회수,LAUNCH
19,쇼핑몰,마이페이지,나의 체험단 활동내역 + 후기,P2,3차(W21~),사이트내부,쇼핑개발,M,,당첨자만 후기등록 활성화,LAUNCH
20,쇼핑몰,마이페이지,1:1문의 + 문의하기,P1,2차(W11~20),사이트내부,쇼핑개발,M,,,LAUNCH
21,쇼핑몰,마이페이지,회원정보수정,P0,1차(W1-3),사이트내부,쇼핑개발,M,,,LAUNCH
22,쇼핑몰,마이페이지,회원정보수정_비밀번호입력,P0,1차(W1-3),사이트내부,쇼핑개발,S,,정보수정전 비밀번호 입력후 페이지전환,LAUNCH
23,쇼핑몰,마이페이지,비밀번호변경,P0,1차(W1-3),사이트내부,쇼핑개발,S,비밀번호 변경 시 본인확인 방법 결정 필요 (PM),변경전 인증방법은?,LAUNCH
24,쇼핑몰,마이페이지,회원탈퇴,P0,1차(W1-3),사이트내부,쇼핑개발,S,회원탈퇴 시 본인확인 방법 결정 필요 (PM),탈퇴전 인증방법은?,LAUNCH
25,쇼핑몰,마이페이지,증빙서류발급내역 (현금영수증+세금계산서),P1,2차(W11~20),사이트내부,쇼핑개발,M,증빙서류 발급 규칙 결정 필요 (PM),신청가능/완료/불가/신용카드 4상태 / 발행내역 / 신청완료시 발급상태 / 미발행건 발급가능?,LAUNCH
26,쇼핑몰,마이페이지,사업자정보(목록),P1,2차(W11~20),사이트내부,쇼핑개발,S,,,LAUNCH
27,쇼핑몰,마이페이지,사업자정보등록(쓰기),P1,2차(W11~20),사이트내부,쇼핑개발,M,,,LAUNCH
28,쇼핑몰,마이페이지,현금영수증정보,P1,2차(W11~20),사이트내부,쇼핑개발,M,현금영수증 정보 수집 여부 결정 필요 (PM),필요여부 확인해야함,LAUNCH
