영역,shopby기능,제공수준,근거,비고
회원/인증,OAuth2 로그인(토큰 발급/갱신/만료),표준제공,auth.mdx:629-660 post/put/delete-oauth2-token(인증서비스 auth-shop),신규 권장=Shop-By-Authorization Bearer 헤더
회원/인증,아이디 찾기/비밀번호 찾기,표준제공,member-shop:post-profile-find-id·post-profile-find-password·put-profile-password-sending-email-with-url,
회원/인증,회원가입(프로필 등록)·이메일/휴대폰 중복확인·본인인증,표준제공,member-shop:post-profile·get-profile-email-exist·get-profile-mobile-exist; auth.mdx:60-130 SendAuthenticationNumber/get-authentications,
회원/인증,소셜/간편 로그인(네이버/카카오/페이코/애플/구글 등),표준제공,auth.mdx:146-256 get-oauth-login-url·post-oauth-openid; provider enum auth.mdx:200-230,
회원/인증,회원정보수정·비밀번호변경·회원탈퇴,표준제공,member-shop:put-profile·post-profile-change-password-after-cert·put-profile-expel·get-profile-dormancy(휴면),
회원/인증,회원등급 조회(등급가),표준제공,member-shop:get-profile-grade·get-profile-next-grade·get-member-grades,등급별 가격은 Shopby memberGrade 도메인(후니 grade_cd와 별개)
회원/인증,post-oauth2-token requestBody(아이디/비밀번호) shape,미확인,auth.mdx 표에 헤더만 기재·body schema 미기재(Q-AUTH-1),인증서비스 yml이 레포에 부재
장바구니,회원 장바구니 등록/수정/조회/삭제(서버 영속 cartNo),표준제공,order-shop:post-cart(679)·put-cart(615)·get-cart(443)·delete-cart(752),
장바구니,선택 라인 금액계산(서버 권위 단가),표준제공,order-shop:get-cart-calculate(820) 응답 buyAmt/standardAmt/discountAmt/totalAmt,돈확정1 지점·클라 단가 미수신
장바구니,구매가능 검증(sanity 게이트),표준제공,order-shop:get-cart-validate(1138) {result:bool},SB2 게이트는 validate 사용(purchasable은 우선구매권한이라 오용 금지)
장바구니,비회원 장바구니 계산(stateless·영속 안 함),표준제공,order-shop:post-guest-cart(1272) 매 호출 body 라인 전달,
장바구니,카트 라인에 동적 계산가(임의 단가) 직접 주입,미제공,order-shop post-cart schema cart-1115878954(32025-32070)에 가격 입력 필드 0건·6 yml 전수 customPrice/orderPrice/priceOverride 0건,가격은 salePrice+addPrice 서버 재산출(M-RECOMPUTE-1)·동기화(P-A/P-B)로만 생존
주문서,주문서 작성(장바구니경유+바로구매 단일 엔드포인트),표준제공,order-shop:post-order-sheet(3789) products[]+cartNos[],cartNos[] 채우면 카트경유·비우면 direct
주문서,주문서 조회(결제수단·주소·금액),표준제공,order-shop:get-order-sheet(3870) availablePayTypes 포함,
주문서,쿠폰·적립금·배송지 반영 최종 금액계산,표준제공,order-shop:post-order-sheets-orderSheetNo-calculate(4063) paymentInfo.paymentAmt,돈확정2(최종)·결제검증 기준값
주문서,적립금 사용/적립 계산,표준제공,order calculate accumulationUseAmt(입력)·paymentInfo.accumulationAmt(적립),
결제,주문 예약(reserve)·결제수단/PG 선택,표준제공,order-shop:post-payments-reserve(4703) payType/pgType enum(33132-33293),PG: KCP/INICIS/TOSS/NAVER_PAY 등
결제,결제 직전 금액 위변조 검증(anti-tamper),표준제공,reserve paymentAmtForVerification(33398-33401) 서버 재계산 대조,
결제,무통장입금·현금영수증·약관동의,표준제공,reserve bankAccountToDeposit/applyCashReceipt(33294-33297)·agreementTermsAgrees[],
결제,네이버페이 경로(별도 mini-ordersheet),표준제공,order-shop:post-payments-naver-ordersheet(4815),표준 cart→ordersheet→reserve와 분기·1차 후순위
결제,결제완료 후 주문확정 전용 POST(PG 콜백 흐름),미확인,order-shop 스펙에 결제확정 전용 POST 부재·PG↔Shopby 서버콜백 추정(Q-PAY-1),reserve returnUrl/confirmUrl·NCPPay 결제편의모듈 의존
주문관리,관리자 주문 목록/상세/상태변경,표준제공(NATIVE),admin-analysis/feature-matrix.md:44-48 주문관리 NATIVE,주문상태변경 일부 갭(SPEC-SKIN-006)
주문관리,취소/반품/교환(클레임),표준제공(NATIVE),feature-matrix.md:47-48·claim-shop/server yml 존재,
주문관리,마이페이지 주문조회/주문상세,표준제공,order-shop:get-profile-orders·get-profile-orders-order-no·get-previous-orders,
