mat_cd,mat_nm,mat_typ_cd,classification,rationale,price_ref,used_as_usage,used_in_products,remediation,routing
MAT_000004,인쇄면지,MAT_TYPE.01,용도오염(면지=옵션값),면지=권위 제본(옵션)_면지(옵션) 택1 옵션값·치수/평량 NULL·계층 NULL·가격참조0·usage_cd=면지로 이미 용도표현됨(이중),NO,면지,2,면지자재 논리삭제 → product_materials는 usage_cd=면지 유지·면지 색상은 CPQ 옵션(option_items)으로 표현·mat_cd는 실 종이로 교체 or NULL허용,basecode(자재 마스터 수술)+dbmap(셋트 배선 재설계)·인간 승인
MAT_000002,블랙면지,MAT_TYPE.02,용도오염(면지=옵션값),면지=권위 제본(옵션)_면지(옵션) 택1 옵션값·치수/평량 NULL·계층 NULL·가격참조0·usage_cd=면지로 이미 용도표현됨(이중),NO,면지,4,면지자재 논리삭제 → product_materials는 usage_cd=면지 유지·면지 색상은 CPQ 옵션(option_items)으로 표현·mat_cd는 실 종이로 교체 or NULL허용,basecode(자재 마스터 수술)+dbmap(셋트 배선 재설계)·인간 승인
MAT_000003,그레이면지,MAT_TYPE.02,용도오염(면지=옵션값),면지=권위 제본(옵션)_면지(옵션) 택1 옵션값·치수/평량 NULL·계층 NULL·가격참조0·usage_cd=면지로 이미 용도표현됨(이중),NO,면지,4,면지자재 논리삭제 → product_materials는 usage_cd=면지 유지·면지 색상은 CPQ 옵션(option_items)으로 표현·mat_cd는 실 종이로 교체 or NULL허용,basecode(자재 마스터 수술)+dbmap(셋트 배선 재설계)·인간 승인
MAT_000001,화이트면지,MAT_TYPE.02,용도오염(면지=옵션값),면지=권위 제본(옵션)_면지(옵션) 택1 옵션값·치수/평량 NULL·계층 NULL·가격참조0·usage_cd=면지로 이미 용도표현됨(이중),NO,면지,4,면지자재 논리삭제 → product_materials는 usage_cd=면지 유지·면지 색상은 CPQ 옵션(option_items)으로 표현·mat_cd는 실 종이로 교체 or NULL허용,basecode(자재 마스터 수술)+dbmap(셋트 배선 재설계)·인간 승인
MAT_000172,하드커버전용지+무광코팅,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000072,백색모조지 100g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,9,유지(조치 불요),-
MAT_000086,스노우지 100g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,3,유지(조치 불요),-
MAT_000104,몽블랑 100g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,5,유지(조치 불요),-
MAT_000076,아트지 100g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,3,유지(조치 불요),-
MAT_000095,앙상블 100g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,4,유지(조치 불요),-
MAT_000151,팬시크라프트 120g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),(미사용),0,유지(조치 불요),-
MAT_000073,백색모조지 120g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,7,유지(조치 불요),-
MAT_000087,스노우지 120g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,5,유지(조치 불요),-
MAT_000077,아트지 120g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,5,유지(조치 불요),-
MAT_000105,몽블랑 130g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,9,유지(조치 불요),-
MAT_000096,앙상블 130g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,4,유지(조치 불요),-
MAT_000110,몽블랑 130g (3절),MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000088,스노우지 150g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,5,유지(조치 불요),-
MAT_000078,아트지 150g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,6,유지(조치 불요),-
MAT_000083,아트지 150g (3절),MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,(미사용),0,유지(조치 불요),-
MAT_000106,몽블랑 160g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,4,유지(조치 불요),-
MAT_000097,앙상블 160g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,4,유지(조치 불요),-
MAT_000125,한지 170g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,8,유지(조치 불요),-
MAT_000089,스노우지 180g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,5,유지(조치 불요),-
MAT_000079,아트지 180g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,5,유지(조치 불요),-
MAT_000107,몽블랑 190g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,13,유지(조치 불요),-
MAT_000098,앙상블 190g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/표지,5,유지(조치 불요),-
MAT_000111,몽블랑 190g (3절),MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000123,띤또레또 200g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,10,유지(조치 불요),-
MAT_000090,스노우지 200g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,9,유지(조치 불요),-
MAT_000080,아트지 200g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,6,유지(조치 불요),-
MAT_000108,몽블랑 210g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/표지,8,유지(조치 불요),-
MAT_000099,앙상블 210g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/표지,5,유지(조치 불요),-
MAT_000116,린넨커버 216g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,11,유지(조치 불요),-
MAT_000074,백색모조지 220g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(3행),공통/표지,11,유지(조치 불요),-
MAT_000126,스코트랜드 220g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,4,유지(조치 불요),-
MAT_000115,매쉬멜로우 233g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,11,유지(조치 불요),-
MAT_000117,스타화이트(하이테크) 238g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,4,유지(조치 불요),-
MAT_000114,리사이클러스 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,11,유지(조치 불요),-
MAT_000127,스타드림(다이아몬드) 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(3행),공통,7,유지(조치 불요),-
MAT_000130,스타드림(로즈쿼츠) 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(3행),공통,3,유지(조치 불요),-
MAT_000241,스타드림(로츠쿼츠) 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,2,유지(조치 불요),-
MAT_000240,스타드림(다이아) 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,2,유지(조치 불요),-
MAT_000129,스타드림(골드) 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,5,유지(조치 불요),-
MAT_000128,스타드림(실버) 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,5,유지(조치 불요),-
MAT_000109,몽블랑 240g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/내지/표지,17,유지(조치 불요),-
MAT_000112,몽블랑 240g (3절),MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,공통,1,유지(조치 불요),-
MAT_000250,아트250+무광코팅,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),NO,표지,1,유지(조치 불요),-
MAT_000150,뉴크라프트 250g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),(미사용),0,유지(조치 불요),-
MAT_000124,띤또레또 250g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,4,유지(조치 불요),-
MAT_000091,스노우지 250g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통/표지,14,유지(조치 불요),-
MAT_000120,매직터치(백색) 250g,MAT_TYPE.01,스톡(실재고),치수/규격/개수 단위로 재고관리 가능한 실 스톡(부자재·악세사리·실사천·종이 등),YES(1행),공통,3,유지(조치 불요),-
