siz_cd,work_width,work_height,impos_yn,total_plate_refs,plate_refs_in_corr,prodsize_refs,price_refs,disposition,reason
SIZ_000023,274.00,139.00,Y,1,1,0,0,ORPHAN,교정후 무참조(plate1=corr1,prodsize0,price0)
SIZ_000024,139.00,274.00,Y,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000112,75.00,100.00,N,2,2,0,0,ORPHAN,교정후 무참조
SIZ_000116,97.00,212.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000117,112.00,172.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000118,150.00,212.00,N,6,6,0,0,ORPHAN,교정후 무참조
SIZ_000120,57.00,88.00,N,2,2,0,0,ORPHAN,교정후 무참조
SIZ_000121,302.00,102.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000122,402.00,147.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000123,202.00,152.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000125,152.00,202.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000128,224.00,174.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000130,174.00,224.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000131,92.00,104.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000134,88.00,106.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000136,300.00,152.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000138,152.00,300.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000140,407.00,139.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000141,139.00,407.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000142,604.00,154.00,N,1,1,0,0,ORPHAN,지그재그엽서 작업사이즈 교정후 무참조
SIZ_000143,154.00,604.00,N,1,1,0,0,ORPHAN,지그재그엽서 작업사이즈 교정후 무참조
SIZ_000144,92.00,52.00,N,7,7,0,0,ORPHAN,명함류 작업사이즈 교정후 무참조
SIZ_000145,92.00,57.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000146,88.00,54.00,N,3,3,0,0,ORPHAN,교정후 무참조
SIZ_000149,152.00,72.00,N,2,2,0,0,ORPHAN,교정후 무참조
SIZ_000150,152.00,79.00,N,2,2,0,0,ORPHAN,교정후 무참조
SIZ_000151,80.00,104.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000152,86.00,110.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000153,80.00,124.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000154,86.00,130.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000155,90.00,124.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000156,96.00,130.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000158,66.00,184.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000159,72.00,190.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000160,115.00,170.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000161,78.00,78.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000162,78.00,152.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000163,78.00,113.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000164,78.00,222.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000165,84.00,84.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000166,114.00,84.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000167,144.00,84.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000168,164.00,84.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000169,35.00,120.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000177,306.00,446.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000178,214.00,152.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000182,425.00,303.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000184,424.00,303.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000186,635.00,303.00,N,1,1,0,0,ORPHAN,와이드접지 작업사이즈 교정후 무참조
SIZ_000188,644.00,303.00,N,1,1,0,0,ORPHAN,와이드접지 작업사이즈 교정후 무참조
SIZ_000190,646.00,303.00,N,1,1,0,0,ORPHAN,와이드접지 작업사이즈 교정후 무참조
SIZ_000282,224.00,149.00,N,2,2,0,0,ORPHAN,교정후 무참조
SIZ_000283,134.00,224.00,N,2,2,0,0,ORPHAN,교정후 무참조
SIZ_000284,94.00,104.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000285,152.00,64.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000286,149.00,149.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000287,224.00,134.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000288,149.00,304.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000289,214.00,301.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000290,214.00,424.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000291,304.00,424.00,N,1,1,0,0,ORPHAN,교정후 무참조
SIZ_000292,304.00,629.00,N,1,1,0,0,ORPHAN,와이드벽걸이캘린더 작업사이즈 교정후 무참조
SIZ_000002,100.00,100.00,Y,1,1,7,0,PRESERVE_OTHER_REF,prodsize 7행 RESTRICT 참조(보존)
SIZ_000113,100.00,100.00,N,11,7,0,3,PRESERVE_SHARED+PRICE,비교정 plate 4행 공유+가격3행(별색엽서 가격, 별 트랙)
SIZ_000132,50.00,90.00,N,1,1,1,3,PRESERVE_OTHER_REF,prodsize1+price3 참조(보존)
SIZ_000147,100.00,60.00,N,2,1,0,3,PRESERVE_SHARED+PRICE,비교정 plate 1행 공유+가격3행(보존)
SIZ_000148,60.00,60.00,N,4,2,5,3,PRESERVE_OTHER_REF,prodsize5+price3+비교정 plate공유(보존)
SIZ_000114,102.00,152.00,N,7,6,0,0,PRESERVE_SHARED,비교정 plate 1행 공유(교정후 plate_refs>0)
