prd_cd,prd_nm,press_sheet,target_siz,siz_status,output_paper_typ_cd,current_plate_rows,plate_action
PRD_000030,지그재그엽서,330x660,SIZ_PROPOSE_3JEOL,PROPOSE-NEW,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000049,와이드 접지리플렛,330x660,SIZ_PROPOSE_3JEOL,PROPOSE-NEW,OUTPUT_PAPER_TYPE.01,3,COLLAPSE→전지1행
PRD_000112,와이드벽걸이캘린더,330x660,SIZ_PROPOSE_3JEOL,PROPOSE-NEW,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000016,프리미엄엽서,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,KEEP(이미정답)
PRD_000017,코팅엽서,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,7,COLLAPSE→전지1행
PRD_000018,스탠다드엽서,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,5,COLLAPSE→전지1행
PRD_000019,투명엽서,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000020,화이트인쇄엽서,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000021,핑크별색엽서,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000022,금은별색엽서,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,4,COLLAPSE→전지1행
PRD_000024,포토카드,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000025,투명포토카드,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,1,COLLAPSE→전지1행
PRD_000026,종이슬로건,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,2,COLLAPSE→전지1행
PRD_000027,2단접지카드,316x467,SIZ_000499,REUSE,OUTPUT_PAPER_TYPE.01,6,COLLAPSE→전지1행
