표준용어,물리의미,후니엑셀표기,확정도,PDF페이지근거,DB코드_lead종합용_빈칸
인쇄방식(Print method),상품의 최상위 분류축_1상품=1방식이 가능공정·파일포맷·가격구조 결정,인쇄타입(자체제작/외주제작),✅PDF근거,주문프로세스 p3 §03·p8 §03-1,
디지털인쇄(Digital print),무판 토너 출력_소량·가변(VDP) 가능_후니 현재 주력,디지털출력/디지털인쇄(접수파일 PDF),✅PDF근거,주문프로세스 p3·p8·공정관리 p1 Case1,
옵셋(Offset),평판 판→블랭킷→종이 전사_대량·판비발생,(PDF 인쇄타입 리스트 미등장),🔴PDF미수록,DB ref-processes만(PROC_000003),
실크(Silk screen),공판 인쇄_특수소재/굿즈,(PDF 인쇄타입 리스트 미등장),🔴PDF미수록,DB ref-processes만(PROC_000005),
실사출력(Large-format inkjet),대형 잉크젯_비규격 가로세로_현수막/배너/사인,실사출력(접수파일 JPG),✅PDF근거,주문프로세스 p3·p8·공정관리 p1 Case6,
UV평판인쇄(UV flatbed),UV 경화 평판출력_특수 변형(투명/배면양면),UV평판출력/UV인쇄(접수파일 PDF),✅PDF근거,주문프로세스 p3·p8·공정관리 p1 Case10-12,
화이트인쇄(White/Latex),라텍스 화이트잉크 출력_투명소재 배경,라텍스(화이트)출력/화이트인쇄(쿠마샵 외주),✅PDF근거,주문프로세스 p3·p7 Case7·p8,
패브릭인쇄(Fabric print),천 소재 출력_봉제 동반,패브릭출력(쿠마샵 외주_JPG),✅PDF근거,주문프로세스 p3·공정관리 p1 Case9,
전사인쇄(Transfer print),전사지 열전사 인쇄,전사인쇄(쿠마샵 외주_JPG),✅PDF근거,주문프로세스 p3·공정관리 p1 Case13,
출력사이즈(Work/output size),작업물 실제 출력 치수 가로x세로,출력사이즈(파일명 2번째 토큰 예 92x57),✅PDF근거,주문프로세스 p6 §06 파일명규약,
전지(Press sheet/원판),재단 전 원장_여러 작업물 판걸이로 앉힘,(아크릴원판 396x480 등 조판 맥락),🟡추정,주문프로세스 p5 §05 조판 아크릴원판,
작업사이즈(Work size),재단+블리드 포함 작업영역,(출력사이즈와 동일 토큰_3축 분해는 가격표 판걸이수),🟡추정,주문프로세스 p6(출력사이즈만_분해 미수록),
재단사이즈(Cut size),완성품 최종 재단 치수,(상품마스터 E 재단치수_B규칙),🟡추정,PDF미수록_B-rules R-SIZE-2,
블리드(Bleed/여백),재단여유 도련,(파일명 미표기_가격표 판걸이수 C),🔴PDF미수록,PDF미수록_가격표 판걸이수 브리지,
판걸이(Imposition count),원판당 앉히는 작업물 개수,판걸이/건수/수량에 따른 조판,✅PDF근거,주문프로세스 p5 §05 다도안 조판,
조판(Imposition/Layout),작업물을 원판에 배치+돔보(가늠표)넣기,조판(판걸이+아이마크 출력PDF),✅PDF근거,주문프로세스 p5 §05·p9 수동조판,
돔보(Tombo/가늠표),조판시 재단기준 마크,돔보넣음/아이마크,✅PDF근거,주문프로세스 p5 §05·p6,
도수(Color count),인쇄 잉크 색수_CMYK 4도+별색 추가,4도/5도/9도(출력사이즈 인접),🟡추정,주문프로세스 p5 5도9도·p6 메모,
양단면(Single/Double side),단면(S)/양면(D) 인쇄,양단면 토큰 D/S,✅PDF근거,주문프로세스 p6 §06 파일명규약,
소재명(Material),디지털용지/소재 약어,소재명 토큰(랑240/몽240/린넨/인화지/PVC/PET/폼보드),✅PDF근거,주문프로세스 p6 §06,
별색인쇄(Spot color),CMYK 외 별도잉크 후공정_화이트/클리어/핑크/금/은_다중,별색 5컬럼(인쇄옵션 위치),✅PDF근거,주문프로세스 p5 5도9도(공정=DB note Decision12),
오시(Crease/누름선),접지 전 압선_종이 갈라짐 방지_줄수0-3,오시(없음/1줄/2줄/3줄),✅PDF근거,공정관리 p1 Case3·주문프로세스 p3,
미싱(Perforation/절취선),점선 천공_손절취(티켓쿠폰)_줄수0-3,미싱/봉제미싱/미싱가공(없음/1줄~3줄),✅PDF근거,공정관리 p1 Case9·주문프로세스 p3,
귀돌이(Corner rounding),모서리 둥근재단_직각(default)/둥근(R),귀돌이(직각/둥근),✅PDF근거,공정관리 p1 Case3·주문프로세스 p3,
박(Foil),금형 박색상 압착_금은홀로그램 16종_크기mm_외주,박/박작업(있음 색상별),✅PDF근거,공정관리 p1 Case15·주문프로세스 p3 외주공정,
형압(Embossing),압형 양각(돋움)/음각(눌림)_크기mm,형압(박/형압군),🟡추정,주문프로세스 p3(직접명시 약함)·DB note,
완칼(Die cut),종이+후지 모두 자름_모양,완칼커팅,✅PDF근거,주문프로세스 p3·p8·공정관리 p1 Case2,
반칼(Kiss cut),종이만 자름(스티커)_모양+조각수,반칼커팅/반칼자유형스티커,✅PDF근거,주문프로세스 p3·p6·공정관리 p1 Case2,
도무송(Thomson/톰슨),칼선 자유모형 컷팅,수동도무송/톰슨도무송(선택적외주),🟡추정,주문프로세스 p3(완반칼 관계 미수록),
코팅(Coating/Lamination),출력후 표면처리_유광무광UV_면단양면_다중,코팅/라미네이팅코팅/쿨코팅/콜코팅,✅PDF근거,공정관리 p1 全Case(점선)·주문프로세스 p3,
접지(Folding),종이 접기_가로세로2-8단병풍롤 16종,접지(오시/접지),✅PDF근거,공정관리 p1 Case3·주문프로세스 p3,
타공(Punching),구멍뚫기_구수1-8개,타공,✅PDF근거,주문프로세스 p3·공정관리 p1 Case3,
제본(Binding),책묶기_중철무선PUR트윈링떡하드커버_필수단일택일,제본(중철/PUR/떡/링/싸바리),✅PDF근거,공정관리 p1 Case4-5b·주문프로세스 p3,
중철제본(Saddle stitch),가운데 철심 제본,중철제본(선택적외주),✅PDF근거,공정관리 p1 Case5·주문프로세스 p3,
무선제본(Perfect/PUR),등풀칠 제본_PUR=강력풀,PUR제본/무선제본,✅PDF근거,공정관리 p1 Case5·주문프로세스 p3,
떡제본(Padding),낱장 풀칠 메모지형(50/100장1권),떡제본/떡메모지,✅PDF근거,공정관리 p1 Case5·주문프로세스 p6 떡메모지,
링제본(Twin-ring),트윈링 고리 제본,링제본/트윈링제본,✅PDF근거,공정관리 p1 Case4·주문프로세스 p3,
싸바리(Case making),커버/클립보드 제작(레더+싸바리),싸바리,✅PDF근거,공정관리 p1 Case5b·주문프로세스 p3,
VDP가변텍스트(Variable text),가변 텍스트 데이터인쇄_개수0-3_디지털전용,(파일명 캘린더/떡메모지 메모),🟡추정,주문프로세스 p6 메모(물리정의 미수록),
VDP가변이미지(Variable image),가변 이미지 데이터인쇄_개수0-3_디지털전용,(미명시),🔴PDF미수록,DB ref-processes만(PROC_000032),
봉제(Sewing),패브릭 가장자리 처리_오버로크/말아박기/봉미싱_폭mm,봉제미싱(쿠마샵/봉제가공),✅PDF근거,공정관리 p1 Case9·주문프로세스 p3,
부착(Attaching),라벨/맥세이프/끈/테입 부착,조립/가공(부착 직접명시 약함),🟡추정,주문프로세스 p3(부착 enum 미수록),
족자제작(Scroll making),사각/원형 족자_실사전용,(실사 후가공 직접명시 약함),🟡추정,공정관리 p1 Case6(족자 자체 미수록),
에폭시(Epoxy),굿즈파우치 표면 에폭시코팅,(미명시),🔴PDF미수록,DB ref-processes만(PROC_000083),
1차포장(Primary packing),제품 1차 수축/낱개/묶음 포장,1차포장(수축/낱개/묶음),✅PDF근거,공정관리 p1 全Case·주문프로세스 p4,
박스포장(Box packing),실사/투명실사 박스포장_송장출력,1차포장+박스포장,✅PDF근거,공정관리 p1 Case6-8·주문프로세스 p4,
아크릴가공(Acrylic processing),UV출력+레이저커팅 후 아크릴 조립,아크릴가공,✅PDF근거,공정관리 p1 Case12·주문프로세스 p1,
시트커팅(Sheet cutting),시트 형태 커팅,시트커팅,✅PDF근거,주문프로세스 p3·p8·공정관리 p1 Case8,
