prd_cd,상품명,상품군,종이류,D10,calc,사유,다음한걸음
PRD_000070,PUR책자,책자,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000077,레더 하드커버책자,책자,Y,WARN,BLOCKED-미바인딩,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
(미등록),링바인더 (보류중),책자,Y,FAIL,,미등록,상품·구성요소 라이브 등록(엑셀-only)
PRD_000069,무선책자,책자,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000109,미니탁상형캘린더,캘린더,Y,WARN,UNBOUND-PRICE-IN-SHEET,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000111,벽걸이캘린더,캘린더,Y,WARN,UNBOUND-PRICE-IN-SHEET,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000050,봉투제작,디지털인쇄,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000033,스탠다드명함,디지털인쇄,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000051,썬캡,디지털인쇄,Y,FAIL,PRICED-0,PRICED-0(판형 미/오매핑 의심),PRICED-0 결함 교정(단가행/판형 적재·§26/§7)
PRD_000110,엽서캘린더,캘린더,Y,WARN,UNBOUND-PRICE-IN-SHEET,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000037,오리지널박명함,디지털인쇄,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000112,와이드벽걸이캘린더,캘린더,Y,WARN,UNBOUND-PRICE-IN-SHEET,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000049,와이드 접지리플렛,디지털인쇄,Y,WARN,UNBOUND-NO-PRICE,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000048,접지리플렛,디지털인쇄,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000068,중철책자,책자,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000030,지그재그엽서,디지털인쇄,Y,WARN,UNBOUND-NO-PRICE,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000032,코팅명함,디지털인쇄,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000108,탁상형캘린더,캘린더,Y,WARN,UNBOUND-PRICE-IN-SHEET,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000071,트윈링책자,책자,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000034,펄명함,디지털인쇄,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000031,프리미엄명함,디지털인쇄,Y,WARN,UNSCORED-축미탑재,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000082,하드커버 링책자,책자,Y,WARN,BLOCKED-미바인딩,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000066,합판도무송스티커,스티커,Y,WARN,OFFGRID-격자밖,공식미바인딩·판형 미확인,골든 불일치 조사(판수/단가 대조)
PRD_000038,형압명함,디지털인쇄,Y,WARN,UNBOUND-NO-PRICE,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
PRD_000040,화이트인쇄명함,디지털인쇄,Y,WARN,UNBOUND-NO-PRICE,공식미바인딩·판형 미확인,가격공식 바인딩(§18 설계→§7 적재)
