row_id,daebun,jungbun,track,step,title,status,owner,in_canon
STD-CAT-001,상품·카탈로그,카테고리,T2,A4,대분류/중분류/소분류 다단 카테고리 트리 노출,작동,김동학,Y
STD-CAT-002,상품·카탈로그,카테고리,T2,A4,카테고리별 상품 리스팅(정렬·페이징),부분,김동학,Y
STD-CAT-003,상품·카탈로그,카테고리,T2,A4,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),미착수,김동학,Y
STD-CAT-004,상품·카탈로그,검색,T3,B1,상품명 통합검색,작동,김동학,Y
STD-CAT-005,상품·카탈로그,검색,T3,B1,종이/소재명 기준 검색(아트지·스노우지 등),미착수,김동학,Y
STD-CAT-006,상품·카탈로그,검색,T3,B1,검색어 자동완성·인기검색어,부분,김동학,Y
STD-CAT-007,상품·카탈로그,상품상세,T3,A5,상품 상세페이지 본문(이미지·설명 블록),부분,김동학+최숙진,Y
STD-CAT-008,상품·카탈로그,상품상세,T3,A5,동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등),미착수,김동학,Y
STD-CAT-009,상품·카탈로그,상품상세,T3,A5,후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이),미착수,김동학+최숙진,Y
STD-CAT-010,상품·카탈로그,상품상세,T3,A5,재단사이즈 vs 작업사이즈 설명 가이드,작동,김동학,Y
STD-CAT-011,상품·카탈로그,상품상세,T3,A5,상품별 제작 소요일/출고 기준 안내,미착수,김동학+서희항,Y
STD-CAT-012,상품·카탈로그,상품상세,T3,A5,재작업 불가 사항 고지(폰트 아웃라인 등),부분,김동학+최숙진,Y
STD-CAT-013,상품·카탈로그,상품상세,T3,A5,상품 Q&A 게시,미착수,김동학,Y
STD-CAT-014,상품·카탈로그,상품상세,T3,A5,상품 리뷰 목록·평점 노출,작동,김동학+최숙진,Y
STD-CAT-015,상품·카탈로그,상품상세,T3,A5,사진 리뷰 갤러리,부분,김동학,Y
STD-CAT-016,상품·카탈로그,상품상세,T3,A5,관련상품/함께 주문한 상품 추천,미착수,김동학,Y
STD-CAT-017,상품·카탈로그,상품상세,T3,A5,최근 본 상품,미착수,김동학,Y
STD-CAT-018,상품·카탈로그,상품상세,T3,A5,찜/관심상품,미착수,김동학,Y
STD-CAT-021,상품·카탈로그,콘텐츠,T3,A5,메인 기획전/배너 영역,부분,김동학,Y
STD-CAT-022,상품·카탈로그,전시,T2,A4,품절/판매중지 상품 표시 및 대체 안내,미착수,김동학,Y
STD-CAT-023,,,T2,A1,상품 기본정보 세팅·로드(상품코드·주문가능여부·회원전용 노출 게이팅),작동,김동학,N
STD-CAT-024,,,T2,A1,포장재 상품군 주문 경로(전용 옵션·주문 흐름),부분,김동학,N
STD-CAT-025,,,T2,A1,굿즈 상품군 주문 경로(파우치·백 포함),부분,김동학,N
STD-CAT-026,,,T2,A1,수작 상품 메인·상품페이지 경로,미착수,김동학,N
STD-CAT-027,,,T3,A5,홈 더미 콘텐츠 정리(BEST 8종 /product/1 404 · 프로모션 ZONE·새소식 영문 문구),미착수,김동학,N
STD-CAT-028,,,T2,A2,목록·검색 시작가 「10원~」 표시(샵바이 salePrice 더미),미착수,김동학,N
STD-CAT-029,,,T3,A5,메뉴 슬러그형 목업 상세(/product/calendar 등) 잔존 — 「(44 Reviews)」·더미 옵션,미착수,김동학,N
STD-CAT-030,,,T2,A4,상품 0개 중분류(스티커 팩 0 등) 노출 정리,미착수,최숙진,N
STD-CAT-031,,,T2,A1,캘린더 4종 1차 오픈 포함 확정,부분,최숙진+신우진,N
STD-CAT-032,,,T2,A1,포토앨범 1차 오픈 제외 — 전달·문의 멘트 통일,부분,최숙진,N
STD-CAT-033,,,T2,A1,디자인 상품 화면 구조 — 카테고리 → 디자인 목록 → 상세 페이지,미착수,서희항,N
STD-CAT-034,,,T3,A5,상세페이지 탭 6종 자동 등록(디자인가이드·디자인보기 포함),부분,김동학+서희항+최숙진,N
STD-CAT-035,,,T2,A1,디자인 식별 규약 — PS코드 1개 + 템플릿 경로(이름) 구분·정사각형 공용 템플릿,미착수,서희항,N
STD-CAT-036,,,T2,A1,디자인 목록 API — webadmin 등록분을 신규몰이 불러오는 연동,미착수,서희항,N
STD-CAT-037,,,T2,A1,디자인 그룹핑 기준(태그·그룹·복수 그룹 등록·노출 순서),미착수,최숙진,N
STD-CAT-038,,,T2,A1,디자인 목록용 API·어드민 기능 개발자 협의,미착수,신우진,N
STD-CAT-039,,,T2,A1,목록 시작가 자동 계산(위젯 기본값) — 오리지널 명함만 수기 입력,부분,서희항,N
STD-CAT-040,,,T2,A1,시작가가 API 로 샵바이에 내려가는데 쇼핑몰에 반영되지 않는 원인 확인,미착수,서희항·최숙진,N
STD-CAT-041,,,T2,A1,판매중 상품 수 3갈래(대시보드 291·상품목록 판매중 297/검색 291·API ONSALE 226) 기준 정리,미착수,최숙진,N
STD-CAT-042,,,T3,A5,레거시 mock 훅 제거 — legacy-data 참조 17파일(configurator 11종·홈 뉴스/프로모·포인트 모달),미착수,김동학,N
STD-CAT-043,,,T2,A4,목록·검색 시작가를 webadmin `GET /api/w/v1/catalog`(게시 위젯+시작가) 로 이관 — 「10원~」 더미 대체 개발안,미착수,김동학+서희항,N
STD-CAT-019,상품·카탈로그,콘텐츠,T3,A5,인쇄 가이드 콘텐츠(11종),부분,최숙진+김동학,Y
STD-CAT-020,상품·카탈로그,콘텐츠,T3,A5,템플릿/샘플 다운로드 제공,미실측,미정,Y
STD-OPT-001,옵션·견적,옵션위젯,T2,A3,상품 상세 내 주문옵션 위젯 마운트(격리 렌더),작동,서희항,Y
STD-OPT-002,옵션·견적,옵션위젯,T2,A3,정규화 옵션 데이터 계약 기반 위젯 구동,작동,서희항,Y
STD-OPT-003,옵션·견적,옵션위젯,T2,A3,옵션 컴포넌트 타입 다형 렌더(셀렉트·라디오·체크·수치입력·이미지선택),작동,서희항,Y
STD-OPT-004,옵션·견적,옵션위젯,T2,A3,옵션 선택 캐스케이드(상위 선택이 하위 목록 갱신),부분,서희항,Y
STD-OPT-005,옵션·견적,옵션위젯,T2,A3,토글형 후가공 섹션(켜야 하위 선택지 노출),부분,서희항,Y
STD-OPT-006,옵션·견적,옵션위젯,T2,A3,옵션 그룹 접기/펼치기·진행 스텝 표시,부분,서희항,Y
STD-OPT-007,옵션·견적,옵션위젯,T2,A3,선택 요약 패널(현재 사양 한눈에),작동,서희항,Y
STD-OPT-008,옵션·견적,옵션축,T2,B2,용지(자재) 선택,작동,서희항,Y
