프로세스,프로세스명,종류,row_id,내용,진단,제안 담당,선행
P01,카테고리로 상품 찾기,가 원장에 행 없음,,카테고리 트리 ↔ webadmin 상품군의 매핑 규약,몰 카테고리와 webadmin 상품군을 무엇으로 잇는지 규약이 원장에 없다,김동학+서희항,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-002,카테고리별 상품 리스팅(정렬·페이징),서버가 shopby 카탈로그를 정렬순으로 내려주고 shop-list.tsx 가 정렬(신상품-리뷰순-인기순)-페이지네이션(PER=8)을 클라이언트에서 처리. 부분=정렬 옵션이 3종뿐.,김동학,코드는 있는데 원장 상태가 「부분」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-030,상품 0개 중분류(스티커 팩 0 등) 노출 정리,337-341,최숙진,코드는 있는데 원장 상태가 「미착수」다
P01,카테고리로 상품 찾기,나 행은 있는데 코드 0,STD-CAT-003,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),상품군 전용 랜딩페이지 5종 미구현. 카테고리 목록으로만 진입 가능.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-021,메인 기획전/배너 영역,351,김동학,코드는 있는데 원장 상태가 「부분」다
P01,카테고리로 상품 찾기,나 행은 있는데 코드 0,STD-CAT-027,홈 더미 콘텐츠 정리(BEST 8종 /product/1 404 · 프로모션 ZONE·새소식 영문 문구),BEST 8종-프로모션 ZONE 관련 홈 콘텐츠가 코드 주석상 레거시-빈 목록으로 표시돼 더미 상태임을 코드에서도 뒷받침. /product/1 404-새소식 영문 문구는 라이브 화면 이슈라 코드 evidence 미확인.,김동학,코드·명세를 뒤졌으나 구현을 찾지 못했다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-022,품절/판매중지 상품 표시 및 대체 안내,1351(isSoldOut),김동학,코드는 있는데 원장 상태가 「미착수」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-039,목록 시작가 자동 계산(위젯 기본값) — 오리지널 명함만 수기 입력,5991-5993,서희항,코드는 있는데 원장 상태가 「부분」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-028,목록·검색 시작가 「10원~」 표시(샵바이 salePrice 더미),30,김동학,코드는 있는데 원장 상태가 「미착수」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-043,목록·검색 시작가를 webadmin `GET /api/w/v1/catalog`(게시 위젯+시작가) 로 이관 — 「10원~」 더미 대체 개발안,GET /api/w/v1/catalog(api_catalog)가 게시 위젯+카테고리+start_price 를 이미 제공하나(widget_api.py:5844-5872) huni-mall 은 이 엔드포인트를 호출하지 않고 shopby 원본 salePrice(catalog.ts:86)를 계속 쓴다 - 이관 미착수 상태가 코드로 확인됨.,김동학+서희항,코드는 있는데 원장 상태가 「미착수」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-040,시작가가 API 로 샵바이에 내려가는데 쇼핑몰에 반영되지 않는 원인 확인,shopby_sync.py 전체를 확인한 결과 sync 대상은 main_images(118-224행)와 front_display 여부(260-378행)뿐 - salePrice/start_price 를 Shopby 상품 필드로 밀어넣는 함수가 코드에 없다(grep price 0건). 반면 huni-mall 은 shopby 원본 salePrice 를 그대로 읽는다(catalog.ts:86). 즉 시작가가 API로 내려간다는 전제 자체가 코드상 확인되지 않고 실제로는 webadmin에서 Shopby로의 가격 동기화 배선이 없는 것이 원인으로 보인다.,서희항·최숙진,코드는 있는데 원장 상태가 「미착수」다
P01,카테고리로 상품 찾기,라 결정 미정,STD-CAT-041,판매중 상품 수 3갈래(대시보드 291·상품목록 판매중 297/검색 291·API ONSALE 226) 기준 정리,판매중 상품 수 불일치는 코드 근거 1건으로 환원되지 않는 데이터 정합성 이슈 - 별도 심층조사 필요.,최숙진,사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-024,포장재 상품군 주문 경로(전용 옵션·주문 흐름),포장재 상품군 전용 주문 경로 코드 없음. 일반 카테고리로 흡수됐는지 여부도 코드상 확인 불가.,김동학,코드는 있는데 원장 상태가 「부분」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-025,굿즈 상품군 주문 경로(파우치·백 포함),92,김동학,코드는 있는데 원장 상태가 「부분」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-026,수작 상품 메인·상품페이지 경로,수작 상품 메인-상품페이지 경로 코드 없음.,김동학,코드는 있는데 원장 상태가 「미착수」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-031,캘린더 4종 1차 오픈 포함 확정,28,최숙진+신우진,코드는 있는데 원장 상태가 「부분」다
P01,카테고리로 상품 찾기,다 코드는 있는데 연결 안 됨,STD-CAT-032,포토앨범 1차 오픈 제외 — 전달·문의 멘트 통일,photobook 메뉴 슬러그가 코드에 등록-존재. 1차 오픈 제외 결정이 내려졌다면 코드에서 아직 반영(제거)되지 않은 상태 - 결정과 코드가 어긋남.,최숙진,코드는 있는데 원장 상태가 「부분」다
P02,검색으로 상품 찾기,가 원장에 행 없음,,검색 결과 0건 안내 화면,결과 없음일 때 무엇을 보여 주는지 원장에 행이 없다,김동학,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다
