L0,L1_대분류,L2_중분류,L3_프로세스,L3_프로세스명,L4_순번,row_id,기능,시스템,담당자,상태,근거,cross
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,1,STD-CAT-023,상품 기본정보 세팅·로드(상품코드·주문가능여부·회원전용 노출 게이팅),huni-mall,김동학,작동,huni-skin-shopby/src/lib/api/server/catalog.ts:8,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,2,STD-CAT-001,대분류/중분류/소분류 다단 카테고리 트리 노출,huni-mall,김동학,작동,huni-skin-shopby/src/lib/api/server/catalog.ts:6 · huni-skin-shopby/src/lib/api/server/catalog.ts · huni-skin-shopby/src/components/layout/header.tsx:280-288 · huni-skin-shopby/src/components/layout/mobile-nav.tsx:118-160,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,3,STD-CAT-002,카테고리별 상품 리스팅(정렬·페이징),huni-mall,김동학,부분,huni-skin-shopby/src/lib/api/server/catalog.ts:337-344 · huni-skin-shopby/src/components/shop/shop-list.tsx:14-24,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,4,STD-CAT-030,상품 0개 중분류(스티커 팩 0 등) 노출 정리,huni-mall,최숙진,미착수,huni-skin-shopby/src/lib/api/server/catalog.ts:314,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,5,STD-CAT-003,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),huni-mall,김동학,미착수,「미확인」 — 찾지못했다 huni-skin-shopby app main 하위 상품군 전용 랜딩 라우트 grep 0건,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,6,STD-CAT-021,메인 기획전/배너 영역,huni-mall,김동학,부분,huni-skin-shopby/src/app/(main)/page.tsx:1-9,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,7,STD-CAT-027,홈 더미 콘텐츠 정리(BEST 8종 /product/1 404 · 프로모션 ZONE·새소식 영문 문구),huni-mall,김동학,미착수,「미확인」 — 찾지못했다 코드 저장소 기준 조사 - 라이브 사이트 실측은 이번 읽기전용 코드조사 범위를 벗어나 재확인하지 않음. home-content.ts:59(BEST 상품(홈) - 레거시. 현재 빈 목록) 및 351(홈 기획전 배너(레거시) - 빈 목록) 주석은 코드상 확인,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,8,STD-CAT-022,품절/판매중지 상품 표시 및 대체 안내,webadmin + shopby,김동학,미착수,raw/webadmin/webadmin/catalog/widget_api.py:5904-5993,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,9,STD-CAT-039,목록 시작가 자동 계산(위젯 기본값) — 오리지널 명함만 수기 입력,webadmin,서희항,부분,raw/webadmin/webadmin/catalog/widget_api.py:5955-5958,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
t63 프로세스 정리 B — 탐색~결제,상품·카탈로그,카테고리 · 전시,P01,카테고리로 상품 찾기,10,STD-CAT-028,목록·검색 시작가 「10원~」 표시(샵바이 salePrice 더미),huni-mall,김동학,미착수,huni-skin-shopby/src/lib/api/server/catalog.ts:86 · huni-skin-shopby/src/lib/api/widget-order.ts:22-23,t65 — 상품·가격 등록 운영(STD-ADP)이 이 목록의 원천을 채운다
