prd_cd,prd_nm,source_prices,family,blocked_reason,target_route
PRD_000186,사각손거울,5000;5500;6000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000187,블랙사각손거울,6000;7500;9000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000193,머그컵,6500;7500,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000194,워터북보틀,9000;9300,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000195,벨벳쿠션,15000;16000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000198,피크닉매트,40000;60000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000200,핀버튼,900;1000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000201,레더스트랩키링,3000;3500,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000202,키캡키링,8000;10000;12000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000203,LED투명키캡키링,6000;8000;10000;12000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000215,클립보드,8000;10000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000216,투명클립보드,9000;15000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000217,만년스탬프,9000;12000;13500;19500;20500;22500;23000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000220,폰스트랩,4500;6000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000226,아크릴쉐이커코롯토,7500;9000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000229,이미지피켓,12000;15000,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000230,레더 플랫 파우치,8600;9800,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000231,레더 슬림 파우치,8600;10200,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000232,레더 삼각 파우치,11000;12500,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
PRD_000233,레더 볼륨 파우치,10800;11500,F1-goods,"옵션변형 다중가격 → PK(prd_cd,apply_ymd) 충돌",Phase-0 DDL 후: 본체색=재질 합성(.03 mat_cd) | 용량=비치수 size | 잉크색=CPQ option_item 가격
