prd_cd,prd_nm,family,blocked_reason
PRD_000199,투명부채,F1-goods,가격 공란(품절/준비중 그레이밴딩) → 후니 input 필요
PRD_000204,미니CD앨범,F1-goods,가격 공란(품절/준비중 그레이밴딩) → 후니 input 필요
PRD_000207,극세사타월,F1-goods,가격 공란(품절/준비중 그레이밴딩) → 후니 input 필요
PRD_000218,타이벡북커버,F1-goods,가격 공란(품절/준비중 그레이밴딩) → 후니 input 필요
PRD_000222,말랑증사홀더,F1-goods,가격 공란(품절/준비중 그레이밴딩) → 후니 input 필요
,블랙젤리,F1-goods(미등록),라이브 prd_cd 부재(미등록 상품). source price=13000 → 상품 등록 후 적재
,임팩트 젤하드,F1-goods(미등록),라이브 prd_cd 부재(미등록 상품). source price=12000 → 상품 등록 후 적재
,에어팟케이스★,F1-goods(미등록),라이브 prd_cd 부재(미등록 상품). source price=11000 → 상품 등록 후 적재
,버즈케이스★,F1-goods(미등록),라이브 prd_cd 부재(미등록 상품). source price=11000 → 상품 등록 후 적재
,슬림하드 폰케이스,F1-goods(미등록),라이브 prd_cd 부재 + 옵션변형 다중가(11000;13500;20000) → 등록+DDL 후
PRD_000172,만년다이어리(소프트커버),F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000173,만년다이어리(하드커버),F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000174,만년다이어리(레더하드커버),F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000175,만년다이어리(레더소프트커버),F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000176,먼슬리플래너,F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000177,스프링노트,F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000178,스프링수첩,F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000179,메모패드,F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000180,메모패드(내지커스텀) 준비중,F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
PRD_000181,중철노트,F1-노트/플래너,본 슬라이스 source(goods-pouch/accessory) 밖 — 노트/플래너 마스터 시트 별도 추출 필요(out-of-source)
