scenario,golden_file,productCode,price_gbn,option_tuple,calls,golden_PRICE_result_sum,sanity_normalPathZeroCount,notes
G-RP,captures/golden_AIPPCUT_real.json,AIPPCUT,real_price,"MTRL=PXPLP001;CUT=300x340;DOSU=SID_X(CLR0);PCS[SUB_MTR/EC001 ATTB=1,CUT_ZUN/ZDFRM,BON_SHT/SHECO];ORD1;PRN1",2,3300 (EC002변형=4400),0,SizeMatrix2D 베이스라인. SUB_MTR ATTB=1 고정. b1_AIPPCUT seed 일치
G-FU,captures/golden_STPADPN_fixed.json,STPADPN,vTmpl_price,"MTRL=PXPUF003;CUT=140x200(A4)/210x297;DOSU=SID_S;PCS[CUT_DFT,PRT_WHT];ORD1;PRN1",3,4000 (210x297=8000),0,FixedUnit. incomplete(ORD/PRN부재)=0 결함재현가드 1건(정상아님)
G-TD,captures/golden_GSTGMIC_tiered.json,GSTGMIC,tiered_price,"MTRL=RXBVW300;CUT=351x291(네임택L);DOSU=SID_S(CLR4);PCS[WRK_MTR/TG003 ATTB=PRN,COT_DFT,PDT_WRK,PAK_POL,THO_CUT];PRN_CNT스윕1/2/5/10/30/100",6,7000/13600/33400/66200/194200/631800,0,TieredDiscount PRN_CNT 단조증가(메타모픽). per-line=PRT_DFT 외 0
G-TM,captures/golden_GSPUFBC_tmpl.json,GSPUFBC,tmpl_price,"MTRL=PXFBW010;CUT=230x288(11in세로);DOSU=SID_S(CLR4);PCS[CUT_DFT,PDT_WRK/PUBOK,FLX_ZIP/ZPH01];ORD100/1/10;PRN1",4,2850000 (ORD1=28500;ORD10=285000),0,tmpl_price 선형(할인0). incomplete=0 결함재현가드 1건(정상아님)
G-BK,captures/golden_PRBKYPR_book.json,PRBKYPR,book2025_price,"CUT=148x210(A5);PRN1;ORD1;PAGE_CNT스윕24/48/100;CVR_CLR=4;INN_CLR=1/4;CVR_MTRL=RXART300;INN_MTRL=RXYWM080;PCS_INFO=[]",3,6100/6800/8300,0,PriceTable3D 표지/내지 분리. PAGE_CNT↑⇒PRICE↑. book_info.DLVR_AMT=3500
G-ATTB,captures/golden_GSNTSPR_attb.json,GSNTSPR,tmpl_price,"MTRL=RIBVW350;CUT=182x257;DOSU=SID_S(CLR4);PCS[COT_DFT,CUT_DFT,INN_DFT/INNON,RIN_DFT/BPLFT ATTB=링색,ROU_DFT x4 ATTB=반경];qty스윕+ATTB차등",9,6300 (qty불변군;ORD/PRN스윕=31300/31500/63000),0,D-L1 입증: ATTB(링색BLK/WHT/GLD/SIL·반경0/4/8) 가격불변·qty(ORD/PRN)가 운반. ATTB=echo전용
NF-ORDCNT,captures/new-fields-260623/NF-ORDCNT_NCCDDFT.json,NCCDDFT,offset2023_price,"MTRL=RXSNO250;CUT=148x100;DOSU=SID_S(CLR4);ADD_CLR_YN=N;REAM_CNT=0;PCS[CUT_DFT];PRN500;ORD_CNT스윕1/2/5",3,12700/25400/63500,0,신규필드 ORD_CNT 선형 multiplier(디자인수/건수). qty↑⇒price↑
NF-PRNCNT-modelB,captures/new-fields-260623/NF-PRNCNT-modelB_NCCDDFT.json,NCCDDFT,offset2023_price,"MTRL=RXSNO250;CUT=148x100;SID_S(CLR4);PCS[CUT_DFT];ORD1;PRN_CNT스윕500/1000/2000",3,12700/23900/43100,0,수량모델B(offset2023 행기반) 단조증가·규모할인 체감
NF-REAMCNT,captures/new-fields-260623/NF-REAMCNT_NCCDDFT.json,NCCDDFT,offset2023_price,"MTRL=RXSNO250;CUT=148x100;SID_S;PCS[CUT_DFT];PRN500;REAM_CNT스윕0/1/2",3,12700/12700/12700,0,신규필드 REAM_CNT 엔진수용(retCode200)·PRN_CNT가 수량권위라 단독 무영향(연단위 대체모드)
NF-ADDCLR,captures/new-fields-260623/NF-ADDCLR_NCCDDFT.json,NCCDDFT,offset2023_price,"MTRL=RXSNO250;CUT=148x100;PCS[CUT_DFT];PRN500;ADD_CLR_YN N/Y × SID_S(4)/SID_D(8)",4,12700/12700/15900/15900,0,신규필드 ADD_CLR_YN 자재조건부 무변화(SID_S+SID_D 둘 다)·R2 deeper 입증(negative). 도수자체는 +3200 발현
