# NO-LOAD (추적용 reference, 적재 금지) — 라이브 t_siz_sizes work/cut은 이미 77/77 채워짐(numeric(8,2) NOT NULL). 75행 무의미·cm 2건 회귀. 권위=라이브 DB. 근거: 03_validation/.../correction-validation-report.md. 상세=t_siz_sizes_dims.SKIP.md
# 경고: SIZ_000399/402(피크닉매트)의 아래 work/cut 값(100/70·100/150)은 cm 원본 보존값으로 *틀림*. 라이브 정확값=1000/700·1000/1500(mm 환산). 적재 시 회귀.
siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,_note
SIZ_000078,70x200mm(50장),70,200,70,200,
SIZ_000079,80x100mm(50장),80,100,80,100,
SIZ_000080,80x120mm(50장),80,120,80,120,
SIZ_000081,80x180mm(50장),80,180,80,180,
SIZ_000082,90x120mm(50장),90,120,90,120,
SIZ_000083,100x100mm(50장),100,100,100,100,
SIZ_000084,100x200mm(50장),100,200,100,200,
SIZ_000085,110x160mm(50장),110,160,110,160,
SIZ_000086,130x200mm(50장),130,200,130,200,
SIZ_000087,160x230mm(50장),160,230,160,230,
SIZ_000088,230x350mm(50장),230,350,230,350,
SIZ_000089,60x90mm(20장),60,90,60,90,
SIZ_000090,60x90mm(50장),60,90,60,90,
SIZ_000091,110x250mm(50장),110,250,110,250,
SIZ_000092,140x180mm(50장),140,180,140,180,
SIZ_000093,140x200mm(50장),140,200,140,200,
SIZ_000094,150x150mm(50장),150,150,150,150,
SIZ_000095,160x250mm(50장),160,250,160,250,
SIZ_000096,160x110mm(20장),160,110,160,110,
SIZ_000097,160x110mm(40장),160,110,160,110,
SIZ_000098,160x110mm(100장),160,110,160,110,
SIZ_000099,100x100mm(20장),100,100,100,100,
SIZ_000100,100x100mm(40장),100,100,100,100,
SIZ_000101,100x100mm(100장),100,100,100,100,
SIZ_000102,70x100mm(30장),70,100,70,100,
SIZ_000103,70x100mm(100장),70,100,70,100,
SIZ_000104,화이트165x115mm(10장),165,115,165,115,명칭 접두=화이트 (색상/자재 mat_cd 분리 대상)
SIZ_000105,블랙165x115mm(10장),165,115,165,115,명칭 접두=블랙 (색상/자재 mat_cd 분리 대상)
SIZ_000106,240x230mm(10장),240,230,240,230,
SIZ_000107,150x310mm(10장),150,310,150,310,
SIZ_000108,PP투명케이스42x57x20mm(10개),42,57,42,57,"3D 원본 depth=20mm (work/cut에 depth 슬롯 없음, 미반영)"
SIZ_000109,PP투명케이스75x75x15mm(10개),75,75,75,75,"3D 원본 depth=15mm (work/cut에 depth 슬롯 없음, 미반영)"
SIZ_000110,PP투명케이스75x110x15mm(10개),75,110,75,110,"3D 원본 depth=15mm (work/cut에 depth 슬롯 없음, 미반영)"
SIZ_000111,20x20(20개입),20,20,20,20,"원본 단위 미표기: 20x20 (mm 가정, 확인필요)"
SIZ_000212,정사각10x10mm(8EA),10,10,10,10,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000213,정사각15x15mm(8EA),15,15,15,15,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000214,정사각20x20mm(6EA),20,20,20,20,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000215,정사각25x25mm(3EA),25,25,25,25,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000216,정사각30x30mm(2EA),30,30,30,30,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000217,정사각35x35mm(2EA),35,35,35,35,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000218,정사각40x40mm(2EA),40,40,40,40,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000219,정사각45x45mm(1EA),45,45,45,45,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000220,정사각50x50mm(1EA),50,50,50,50,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000221,정사각55x55mm(1EA),55,55,55,55,모양=정사각 (옵션/규격 귀속 확인필요)
SIZ_000222,정사각60x60mm(1EA),60,60,60,60,모양=정사각 (옵션/규격 귀속 확인필요)
