prd_cd,proc_cd,excl_grp_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000146,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴키링 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000146,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴키링 인쇄사양=배면양면 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000147,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴마그넷 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000147,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴마그넷 인쇄사양=풀빼다 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000147,PROC_000081,,N,19,2026-06-05 00:00:00,,"L1:아크릴마그넷 가공=자석부착 → 부착 PROC_000081 (대상 param, G-AC-4/C-6)"
PRD_000148,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴뱃지 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000148,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴뱃지 인쇄사양=풀빼다 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000149,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴집게 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000149,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴집게 인쇄사양=풀빼다 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000150,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴스마트톡 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000150,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴스마트톡 인쇄사양=투명테두리 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000151,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 맥세이프 스마트톡 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000151,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:맥세이프 스마트톡 인쇄사양=투명테두리 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000152,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴명찰 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000152,PROC_000002,,Y,5,2026-06-05 00:00:00,,"L1:아크릴명찰 인쇄사양=풀빼다 → UV PROC_000002 변형 enum (print_side 오적재 정정, G-AC-5/§3)"
PRD_000154,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴 머리끈 → 완칼 PROC_000053 (모양 param=사용자입력형)"
PRD_000155,PROC_000053,,Y,12,2026-06-05 00:00:00,,"도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴볼펜 → 완칼 PROC_000053 (모양 param=사용자입력형)"
