prd_cd,current_print_side_values,action,target_print_side,use_yn,_provenance
PRD_000146,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴키링 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000147,풀빼다 | 투명테두리 | 단면인쇄,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴마그넷 print_side=풀빼다/투명테두리/단면인쇄 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000148,풀빼다 | 투명테두리,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴뱃지 print_side=풀빼다/투명테두리 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000149,풀빼다 | 투명테두리,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴집게 print_side=풀빼다/투명테두리 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000150,투명테두리,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴스마트톡 print_side=투명테두리 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000151,투명테두리,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:맥세이프 스마트톡 print_side=투명테두리 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000152,풀빼다,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴명찰 print_side=풀빼다 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000153,풀빼다,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),N,라이브 print_options:아크릴명찰(골드실버) print_side=풀빼다 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000155,풀빼다,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴볼펜 print_side=풀빼다 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000156,풀빼다,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),N,라이브 print_options:아크릴지비츠 print_side=풀빼다 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000157,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴네임택 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000158,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴 포카키링 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000159,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),N,라이브 print_options:아크릴 코스터 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000160,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴자유형스탠드 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000161,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:판아크릴 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000162,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴포카스탠드 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000163,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),Y,라이브 print_options:아크릴미니파츠 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000164,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),N,라이브 print_options:아크릴코롯토 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000165,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),N,라이브 print_options:포카코롯토 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
PRD_000166,배면양면,"UV변형→PROC_000002 이동, print_side 정정필요",(실 단/양면 미상 — 컨펌 D-AC-3),N,라이브 print_options:아크릴카라비너 print_side=배면양면 = UV변형(인쇄면 아님) → process 이동(G-AC-5)
