defect_id,defect_type,severity,prd_cd,prd_nm,dim_combo,authority_value,live_value,money_impact,repro_sql,routing
STK-D01,차원누락+미적재셀,critical,PRD_000054,반칼 자유형 홀로그램스티커,siz{170/172/196}×mat163 전건,"홀로그램 단가행(grp3=투명/홀로 동일단가)",mat163 단가행=siz{059/060/518/519}만 존재·바인딩 siz 170/172/196 전건 0행,견적불가(no_match·active 상품),"SELECT siz_cd FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000163'; -- {059,060,518,519} only. 054 binds 170/172/196 → all no_match",dbm-load-execution: mat163 단가행을 siz 170/172/196에 적재 OR 058/059/060로 바인딩 재정렬(가격표 verbatim·Q-STK-7 출처 컨펌)
STK-D02,미적재셀+정합불일치,high,PRD_000053,반칼 자유형 투명스티커,siz{170/196}×mat162,"투명 단가행(grp3)",mat162 단가행이 SIZ_172(6단·낱장)에만 매칭·SIZ_170/196 0행,"견적불가(170/196) + 저청구(172=낱장 7000 오청구)","SELECT siz_cd,min_qty,unit_price FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000162' AND siz_cd IN('SIZ_000170','SIZ_000172','SIZ_000196'); -- 170/196 없음·172=낱장6단",dbm-axis-staged-load(사이즈): 053을 반칼 siz(059/060/520)로 재바인딩 OR 170/196에 mat162 36단 적재
STK-D03,정합불일치(siz collision·저청구),critical,PRD_000052,반칼 자유형 스티커,SIZ_172 A4×mat153,"반칼 A4 = SIZ_520 → 5000(qty1)",SIZ_172×mat153 = 4000(낱장 완칼 단가)·052는 반칼이나 낱장행 매칭,저청구(4000 vs 정답 5000·장당 -1000),"SELECT siz_cd,min_qty,unit_price,note FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND siz_cd='SIZ_000172' AND mat_cd='MAT_000153' AND min_qty=1; -- 4000(낱장)·반칼 SIZ_520=5000",dbm-axis-staged-load(사이즈): 052 A4 바인딩을 SIZ_172→SIZ_520 교체(낱장↔반칼 collision 해소)
STK-D04,차원누락+미적재셀,critical,PRD_000052,반칼 자유형 스티커,SIZ_172×mat{084/155/156/242},"반칼 A4 5소재 전부(grp1/grp2 단가)",SIZ_172엔 mat{153/162}만(6단)·084/155/156/242 0행,견적불가(A4 5소재 중 4소재 no_match),"SELECT mat_cd FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND siz_cd='SIZ_000172' GROUP BY mat_cd; -- {153,162}만",dbm-axis-staged-load(사이즈): D03과 동반 — 052 A4를 SIZ_520(5소재 36단 완비)로 재바인딩하면 동시 해소
STK-D05,미적재셀(전 사이즈 0행),critical,PRD_000052,반칼 자유형 스티커,SIZ_196 A6×5소재,"반칼 A6 단가(가격표 출처 미확정)",SIZ_196 = COMP_STK_PRINT 0행(전건 부재),견적불가(A6 전건 no_match),"SELECT count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND siz_cd='SIZ_000196'; -- 0",확인필요(Q-STK-7): A6 가격표 단가 부재→바인딩 제거 OR 출처 컨펌 후 적재(추측 적재 금지)
STK-D06,차원누락(전 사이즈),critical,PRD_000053,반칼 자유형 투명스티커,SIZ_196 A6×mat162,"투명 A6",SIZ_196 0행,견적불가(no_match),"동 STK-D05 siz_196",확인필요(Q-STK-7): A6 출처 컨펌 후 처리
STK-D07,차원누락(전 사이즈),critical,PRD_000054,반칼 자유형 홀로그램스티커,SIZ_196 A6×mat163,"홀로 A6",SIZ_196 0행,견적불가(no_match),"동 STK-D05 siz_196",확인필요(Q-STK-7): A6 출처 컨펌 후 처리
STK-D08,정합불일치(자재 코드 오바인딩),critical,PRD_000055,낱장 자유형 스티커,siz{172/174/197}×mat154,"낱장 유포지 단가(B02)",상품자재=MAT154(유포지)이나 COMP_STK_PRINT엔 mat154 0행(153/084/242만)·전 사이즈 no_match,견적불가(전건 no_match·active),"SELECT count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000154'; -- 0. 055 binds mat154",dbm-correctness-audit: 055 상품자재 MAT154→MAT153(유포스티커) 재바인딩(낱장행 172/174/197×153 실재·4000/8000/16000)
STK-D09,정합불일치(자재 코드 오바인딩),critical,PRD_000056,낱장 자유형 투명스티커,siz{172/174/197}×mat243,"낱장 투명 단가(B03)",상품자재=MAT243(투명커버)이나 COMP_STK_PRINT엔 mat243 0행(투명=162)·전 사이즈 no_match,견적불가(전건 no_match·active),"SELECT count(*) FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND mat_cd='MAT_000243'; -- 0. 056 binds mat243",dbm-correctness-audit: 056 상품자재 MAT243→MAT162(투명스티커) 재바인딩(172/174/197×162 실재·7000/14000/28000)·Q-STK-5
STK-D10,정합불일치(자재 코드 오바인딩),high,PRD_000057,대형 자유형 스티커,SIZ_199×mat154,"대형 유포지(B04·400x600)",상품자재=MAT154이나 SIZ_199엔 mat153만(16000)·mat154 0행,견적불가(no_match·active),"SELECT mat_cd,unit_price FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT' AND siz_cd='SIZ_000199' AND min_qty=1; -- mat153=16000만",dbm-correctness-audit: 057 상품자재 MAT154→MAT153 재바인딩
