new_code,axis,label,codes,note
POSTER_WOODPANEL_PRINT,siz_cd,A1,SIZ_000294,상품뷰어 미등록 — 권위 verbatim 적재·묻는 건
POSTER_FORMBOARD_PRINT,siz_cd,A1,SIZ_000294,상품뷰어 미등록 — 권위 verbatim 적재·묻는 건
POSTER_FOAMEX_PRINT,siz_cd,A1,SIZ_000294,상품뷰어 미등록 — 권위 verbatim 적재·묻는 건
POSTER_FORMBOARD_PRINT,opt_cd,화이트보드,OPV_000991,
POSTER_FORMBOARD_PRINT,opt_cd,블랙보드,OPV_000992,
POSTER_FOAMEX_PRINT,opt_cd,화이트포맥스(3mm),OPV_000993,
POSTER_FOAMEX_PRINT,opt_cd,화이트포맥스(5mm),OPV_000994,
POSTER_HANGINGSCROLL_PRINT,siz_cd,300*600,SIZ_000319,
POSTER_HANGINGSCROLL_PRINT,siz_cd,900*1200,SIZ_000320,
POSTER_PETBANNER_PRINT,siz_cd,600x1800 mm,SIZ_000321,
POSTER_MESHBANNER_PRINT,siz_cd,600x1800 mm,SIZ_000321,
POSTER_MINIBANNER_FINAL,siz_cd,150x300 mm,SIZ_000028,
POSTER_MINIBANNER_FINAL,siz_cd,180x420 mm,SIZ_000328,
POSTER_ACRYLICSTICKER_FINAL,siz_cd,290 x 90 mm,SIZ_000324,
POSTER_ACRYLICSTICKER_FINAL,siz_cd,290 x 190 mm,SIZ_000325,
POSTER_ACRYLICSTICKER_FINAL,siz_cd,390 x 290 mm,SIZ_000326,
POSTER_ACRYLICSTICKER_FINAL,siz_cd,590 x 390 mm,SIZ_000327,
POSTER_ACRYLICSTICKER_FINAL,mat_cd,미러 (골드/실버),MAT_000377|MAT_000378,동가 묶음 전개
POSTER_ACRYLICSTICKER_FINAL,mat_cd,유광 (화이트 / 블랙),MAT_000375|MAT_000376,동가 묶음 전개
POSTER_SHEETCUT_FINAL,siz_cd,A4,SIZ_000258,중복코드 172/174/197 불채택
POSTER_SHEETCUT_FINAL,siz_cd,A3,SIZ_000315,중복코드 불채택
POSTER_SHEETCUT_FINAL,siz_cd,A2,SIZ_000198,중복코드 불채택
POSTER_SHEETCUT_FINAL,mat_cd,무광(화이트/블랙),MAT_000388|MAT_000389,동가 묶음 전개
POSTER_SHEETCUT_FINAL,mat_cd,홀로그램,MAT_000390,
STK_CUT_LARGE_PRINT,siz_cd,400x600,SIZ_000199,
STK_TATTOO_SETUP,siz_cd,90x190,SIZ_000612,
STK_TATTOO_PRINT,siz_cd,90x190,SIZ_000612,
STK_CUT_PRINT,siz_cd,A4,SIZ_000258,
STK_CUT_PRINT,siz_cd,A3,SIZ_000315,
STK_CUT_PRINT,siz_cd,A2,SIZ_000198,
STK_CUT_CLEAR_PRINT,siz_cd,A4,SIZ_000258,
STK_CUT_CLEAR_PRINT,siz_cd,A3,SIZ_000315,
STK_CUT_CLEAR_PRINT,siz_cd,A2,SIZ_000198,
ACRYLIC_CARABINER_FINAL,siz_cd,사각자물쇠 (자물쇠변형) 40x69,SIZ_000366,
ACRYLIC_CARABINER_FINAL,siz_cd,하트자물쇠 (하트A) 43x71,SIZ_000367,
ACRYLIC_CARABINER_FINAL,siz_cd,하트 (하트B) 59x54,SIZ_000368,
ACRYLIC_CARABINER_FINAL,siz_cd,원형 (원형B) 68x70,SIZ_000369,
POSTER_PLACARD_FINISHING,opt_cd,열재단,OPV_000006,
POSTER_PLACARD_FINISHING,opt_cd,타공(4개),OPV_000007,권위「타공(4개)」= 라이브「아일렛(4구)」
POSTER_PLACARD_FINISHING,opt_cd,타공(6개),OPV_000008,권위「타공(6개)」= 라이브「아일렛(6구)」
POSTER_PLACARD_FINISHING,opt_cd,타공(8개),OPV_000009,권위「타공(8개)」= 라이브「아일렛(8구)」
POSTER_PLACARD_FINISHING,opt_cd,양면테잎,OPV_000010,권위「테잎」= 라이브「테입」
POSTER_PLACARD_FINISHING,opt_cd,봉미싱,OPV_000011,
POSTER_PLACARD_FINISHING,opt_cd,재단만,OPV_000006,D-2 재단만 0원 행 — 열재단 코드에 0원
POSTER_PLACARD_ADDON,opt_cd,추가없음,,행 생략 — 옵션 미선택 시 구성요소 제외
POSTER_PLACARD_ADDON,opt_cd,큐방(4개) 추가,OPV_000013,
POSTER_PLACARD_ADDON,opt_cd,끈(4개) 추가,OPV_000014,
POSTER_PLACARD_ADDON,opt_cd,각목(900mm이하)+끈(4개) 추가,OPV_000015,
POSTER_PLACARD_ADDON,opt_cd,각목(900mm 초과)+끈(4개) 추가,OPV_000016,
POSTER_HANGINGCANVAS_ADDON,opt_cd,출력만,,행 생략 — 0원·옵션 미선택 시 제외
POSTER_HANGINGLINEN_ADDON,opt_cd,출력만,,행 생략 — 0원·옵션 미선택 시 제외
POSTER_HANGINGCANVAS_ADDON,opt_cd,우드행거+면끈,OPV_000995,라이브 이름 「우드행거+면끈 포함」
POSTER_HANGINGLINEN_ADDON,opt_cd,우드봉+면끈,OPV_000953,라이브 이름 「우드봉+면끈 포함」
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 하늘,OPV_000928,라이브 이름 「스카이블루」
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 연노랑,,상품에 미등록(7색만 등록) — 행 생략·묻는 건
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 주황,,상품에 미등록 — 행 생략·묻는 건
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 초록,,상품에 미등록 — 행 생략·묻는 건
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴집게 / 투명집게,OPV_001023,라이브 「투명집게(일반형)」 — 자석형과 구분
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴볼펜 / 바디칼라,,상품에 옵션 미등록 — 행 생략·묻는 건
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 실버,OPV_000922,권위 표기 「카리비너」= 라이브 상품 「아크릴카라비너」
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 골드,OPV_000923,
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 화이트,OPV_000924,
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 블랙,OPV_000925,
ACRYLIC_TOTAL_FINISHING,opt_cd,아크릴카리비너(고리) / 레드,OPV_000926,
