asis_id,시스템,영역,기능,상태,근거 file:line
SB-001,shopby,홈,메인 히어로/why/프로모/뉴스 섹션 렌더,partial,huni-skin-shopby/src/app/(main)/page.tsx:1 · 뉴스·프로모 데이터원 legacy mock 빈배열 src/lib/legacy-data/hooks.ts:352-360
SB-002,shopby,홈,BEST 상품 큐레이션,stub,huni-skin-shopby/src/lib/legacy-data/hooks.ts:60 (useBestSellers → 빈 배열 고정)
SB-003,shopby,홈,GNB/메가메뉴,partial,huni-skin-shopby/src/lib/legacy-data/hooks.ts:43 (정적 mock-data.GNB/MEGA 상수)
SB-004,shopby,카탈로그,카테고리 트리 조회(shop-api MULTI_LEVEL),done,huni-skin-shopby/src/lib/api/server/catalog.ts:1-20
SB-005,shopby,카탈로그,상품 목록/검색(products/search),done,huni-skin-shopby/src/lib/api/server/catalog.ts:5 · src/app/(main)/shop/[categoryNo]/page.tsx:1
SB-006,shopby,카탈로그,SHOP 정렬/페이지네이션,partial,huni-skin-shopby/src/components/shop/shop-list.tsx:18-24 (클라이언트 로컬 정렬·8건 페이지)
SB-007,shopby,카탈로그,상품 상세 조회(products/{no}),done,huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:42-47
SB-008,shopby,카탈로그,통합검색 페이지,partial,huni-skin-shopby/src/app/(main)/search/page.tsx:1 · 인기검색어 src/lib/api/hooks/use-search.ts:13
SB-009,shopby,카탈로그,최근검색어(localStorage),done,huni-skin-shopby/src/lib/recent-searches.ts:1
SB-010,shopby,상품상세,Printly 주문위젯 임베드(<huni-widget>),done,huni-skin-shopby/src/components/product/huni-widget.tsx:312-313 · 해석 src/lib/printly/widget.ts:60-90
SB-011,shopby,상품상세,위젯 실시간 견적 수신(huni:priced),done,huni-skin-shopby/src/components/product/huni-widget.tsx:162-176
SB-012,shopby,상품상세,위젯 견적가 → shopby 금액 적재(10원×orderCnt),done,huni-skin-shopby/src/lib/api/widget-order.ts:26-35 · huni-widget.tsx:257-265
SB-013,shopby,상품상세,위젯 미매핑 시 폴백 Configurator,partial,huni-skin-shopby/src/components/product/configurator.tsx:45-52 (가격 하드코딩 a4=75000 등 · 견적엔진 미연결)
SB-014,shopby,상품상세,메뉴슬러그별 전용 컨피규레이터 11종,stub,huni-skin-shopby/src/components/product/configurators/index.ts:22-33 · 담기 no-op src/lib/legacy-data/hooks.ts:121-136
SB-015,shopby,상품상세,shopby↔Printly 상품코드 매핑,partial,huni-skin-shopby/src/lib/printly/product-code-map.ts:41-49 (수동 7건만 등록)
SB-016,shopby,상품상세,Pie Canvas 발행 상세탭 조회,done,huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:51-56 · src/lib/printly/publications.ts:1
SB-017,shopby,상품상세,상세 정적 섹션(차별점/유의사항/포장배송),done,huni-skin-shopby/src/components/product/product-sections.tsx:1
SB-018,shopby,상품상세,상품 리뷰 목록(shop-api),done,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41
SB-019,shopby,상품상세,PDF 원고 직접 업로드,stub,huni-skin-shopby/src/components/product/configurator-actions.tsx:74-86 (버튼 라벨만 업로드·실동작은 장바구니 담기 · 파일 선택/presign 없음)
SB-020,shopby,상품상세,에디터로 디자인하기 버튼,stub,huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176 (onClick 없음 · 데드 버튼)
SB-021,shopby,장바구니,회원 장바구니 조회/수량/삭제(shop-api /cart),done,huni-skin-shopby/src/lib/api/hooks/use-cart.ts:130-230
SB-022,shopby,장바구니,장바구니 담기,done,huni-skin-shopby/src/lib/api/hooks/use-cart.ts:201 · 호출 src/components/product/configurator-actions.tsx:15
SB-023,shopby,장바구니,비회원 게스트 장바구니(localStorage),done,huni-skin-shopby/src/lib/guest-cart.ts:1-31
SB-024,shopby,장바구니,장바구니 배지 카운트,done,huni-skin-shopby/src/lib/api/hooks/use-cart.ts:170
SB-025,shopby,장바구니,위젯 주문 재견적(수량 변경 시),done,huni-skin-shopby/src/app/api/printly/requote/route.ts:16-50
SB-026,shopby,주문,주문서 생성(order-sheets),done,huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:40
SB-027,shopby,주문,주문서 조회/금액계산,done,huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:177,252
SB-028,shopby,주문,배송지 선택/주소 검색 모달,done,huni-skin-shopby/src/components/checkout/address-modal.tsx:1 · src/lib/daum-postcode.ts:10
SB-029,shopby,주문,주문 쿠폰 적용/최대할인,done,huni-skin-shopby/src/lib/api/hooks/use-order-coupons.ts:34,69,102
SB-030,shopby,주문,포인트 사용,partial,huni-skin-shopby/src/components/checkout/checkout-form.tsx:52 (조회는 실API · 적립/충전은 mock)
SB-031,shopby,결제,무통장입금(ACCOUNT) 결제,done,huni-skin-shopby/src/components/checkout/checkout-form.tsx:157-158 · guest-checkout-form.tsx:100-101
SB-032,shopby,결제,카드/실시간계좌이체 등 PG 결제,absent,huni-skin-shopby/src/components/checkout/checkout-form.tsx:8-9 (주석 명시 "PG 연동은 후속 — 현재는 무통장만 동작")
SB-033,shopby,결제,NCPPay SDK 로더/설정,done,huni-skin-shopby/src/lib/payments/ncp-pay.ts:47-70 · 설정 src/app/api/pay-config/route.ts:8
SB-034,shopby,결제,비회원 결제(게스트 주문서),done,huni-skin-shopby/src/components/checkout/guest-checkout-form.tsx:9-10
SB-035,shopby,주문,주문완료 화면,done,huni-skin-shopby/src/components/order/order-complete-view.tsx:1
SB-036,shopby,주문,비회원 주문조회(주문번호+비밀번호),done,huni-skin-shopby/src/components/order/guest-order-lookup.tsx:4-9
SB-037,shopby,회원,이메일 로그인(shopby Credentials),done,huni-skin-shopby/src/lib/auth/auth.config.ts:12-22 · src/lib/auth/shopby-auth.ts:1
SB-038,shopby,회원,회원가입(POST /profile),done,huni-skin-shopby/src/app/api/auth/signup/route.ts:8-33
SB-039,shopby,회원,로그아웃 + shopby 토큰 폐기,done,huni-skin-shopby/src/app/api/auth/shopby-logout/route.ts:17-40
SB-040,shopby,회원,세션 토큰 자동 갱신(refresh 회전),done,huni-skin-shopby/src/lib/auth/auth.config.ts:18-22 · src/app/api/shop/[...path]/route.ts:20-27
SB-041,shopby,회원,SNS 간편로그인(카카오/네이버/구글),stub,huni-skin-shopby/src/components/auth/sns-buttons.tsx:74-80 (토스트 안내만 · signIn 미호출)
SB-042,shopby,회원,아이디 찾기 / 비밀번호 재설정,stub,huni-skin-shopby/src/components/auth/find-id-form.tsx:50-56 (토스트 "준비 중")
SB-043,shopby,회원,본인인증(휴대폰/아이핀),absent,코드 전역 검색 결과 인증 SDK·API 호출 지점 없음(grep https:// src/ 결과에 인증사 호스트 부재)
SB-044,shopby,마이페이지,대시보드 요약,done,huni-skin-shopby/src/components/mypage/dashboard-section.tsx:17-59
SB-045,shopby,마이페이지,주문내역 목록/상세,done,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,354
SB-046,shopby,마이페이지,회원정보 수정/비밀번호 변경,done,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,66,128
SB-047,shopby,마이페이지,회원탈퇴,done,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:112 · src/components/mypage/withdraw-section.tsx:4
SB-048,shopby,마이페이지,배송지 관리(CRUD·기본배송지),done,huni-skin-shopby/src/lib/api/hooks/use-shipping-address.ts:65-125
SB-049,shopby,마이페이지,쿠폰 조회/등록,done,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71,96
SB-050,shopby,마이페이지,포인트 잔액/내역 조회,done,huni-skin-shopby/src/lib/api/hooks/use-points.ts:22,62
SB-051,shopby,마이페이지,포인트(프린트머니) 충전,stub,huni-skin-shopby/src/components/mypage/point-section.tsx:11-14 → src/lib/legacy-data/hooks.ts:423-432 (no-op)
SB-052,shopby,마이페이지,리뷰 작성/수정/삭제,done,huni-skin-shopby/src/lib/api/hooks/use-review-write.ts:38,90 · use-my-reviews.ts:84,106
SB-053,shopby,마이페이지,증빙서류 발급(세금계산서/현금영수증),stub,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (정적 표 UI만 · API 호출 없음)
SB-054,shopby,고객지원,공지사항 목록/상세(shopby 게시판),done,huni-skin-shopby/src/app/(main)/notice/page.tsx:1-27 · src/lib/api/server/board.ts:1
SB-055,shopby,고객지원,이용가이드(파일/책자/후가공/주문/편집기),partial,huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202 (대부분 "준비중" 스텁 글)
