prd_cd,prd_nm,current_qty_unit_typ_cd,target_qty_unit_typ_cd,use_yn,_provenance,_sheet
PRD_000016,프리미엄엽서,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000017,코팅엽서,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000018,스탠다드엽서,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000019,투명엽서,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000020,화이트인쇄엽서,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000021,핑크별색엽서,NULL,QTY_UNIT.02,N,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000022,금은별색엽서,NULL,QTY_UNIT.02,N,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000023,모양엽서,NULL,QTY_UNIT.02,N,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000024,포토카드,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000025,투명포토카드,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000026,종이슬로건,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000027,2단접지카드,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000028,미니접지카드,NULL,QTY_UNIT.02,N,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000029,3단접지카드,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
PRD_000030,지그재그엽서,NULL,QTY_UNIT.02,Y,C-4 상품군별 일괄(digital-print 낱장=매=QTY_UNIT.02). 라이브 현재 NULL,digital-print
