legacy_id,원천,원판정,돈여부,주문여부,기능서술
F-026,runway,미착수,False,False,No26 마이페이지 — 사업자정보(목록) [PARTIAL·2차·S]
F-027,runway,미착수,False,False,No27 마이페이지 — 사업자정보등록(쓰기) [PARTIAL·2차·M]
F-029,runway,미착수,True,False,No29 마이페이지 — 메인(대시보드) [PARTIAL·1차·S]
F-030,runway,미착수,False,False,No30 마이페이지 — 서브메인(랜딩페이지) [PARTIAL·3차·M]
F-031,runway,미착수,False,False,No31 마이페이지 — LIST(검색결과) [PARTIAL·1차·M]
F-032,runway,미착수,False,False,No32 인쇄상품 — A1 상품 기본정보 세팅 [PARTIAL·1차·S]
F-033,runway,미착수,False,False,No33 인쇄상품 — A2 상품별 옵션 목록 불러오기 [CUSTOM·1차·L]
F-034,runway,미착수,False,False,No34 인쇄상품 — B1 규격(사이즈) 선택 [CUSTOM·1차·M]
F-035,runway,미착수,False,False,No35 인쇄상품 — B2 비규격 사용자입력(가로×세로) [CUSTOM·1차·M]
F-036,runway,미착수,True,False,No36 인쇄상품 — B3 수량 선택+직접입력 [CUSTOM·1차·M]
F-037,runway,미착수,False,False,No37 인쇄상품 — B4 종이/소재 선택(+평량) [CUSTOM·1차·M]
F-038,runway,미착수,False,False,No38 인쇄상품 — B5 인쇄 도수(단/양면)+별색·화이트 [CUSTOM·1차·M]
F-039,runway,미착수,False,False,No39 인쇄상품 — B6 코팅 [CUSTOM·2차·S]
F-040,runway,미착수,False,False,No40 인쇄상품 — B7 커팅/조각수/모서리 [CUSTOM·2차·M]
F-041,runway,미착수,False,False,No41 인쇄상품 — B8 접지/오시/미싱 [CUSTOM·2차·M]
F-042,runway,미착수,False,False,No42 인쇄상품 — B9 제본(방향·면지·링·커버) [CUSTOM·1차·L]
F-043,runway,미착수,False,False,No43 인쇄상품 — B10 내지/표지 그룹 분리 [CUSTOM·1차·M]
F-044,runway,미착수,False,False,No44 인쇄상품 — B11 박/형압 [CUSTOM·2차·M]
F-045,runway,미착수,False,False,No45 인쇄상품 — B12 캘린더 가공/장수 [CUSTOM·2차·M]
F-046,runway,미착수,False,False,No46 인쇄상품 — B13 추가상품(봉투 등) [PARTIAL·2차·M]
F-047,runway,미착수,False,False,No47 인쇄상품 — B14 개별포장 [PARTIAL·3차·S]
F-048,runway,미착수,False,False,No48 인쇄상품 — B15 옵션 제약·조건부 노출 [CUSTOM·1차·L]
F-050,runway,미착수,True,False,No50 인쇄상품 — C2 수량별 가격표 보기 [CUSTOM·2차·M]
F-052,runway,미착수,False,True,No52 인쇄상품 — D1 파일 업로드(PDF) [CUSTOM·1차·L]
F-053,runway,미착수,False,False,No53 인쇄상품 — D2 편집상품 미리보기·썸네일 [CUSTOM·1차·M]
F-055,runway,미착수,False,False,No55 인쇄상품 — D4 가변데이터 인쇄(VDP) [CUSTOM·3차·L]
F-059,runway,미착수,False,True,No59 인쇄상품 — E3 주문가능 자재 목록 모달 [CUSTOM·2차·M]
F-061,runway,미착수,False,True,No61 인쇄상품 — F1 주문 전 검증(필수옵션·파일·로그인) [PARTIAL·1차·M]
F-062,runway,미착수,True,True,No62 인쇄상품 — F2 주문 데이터 생성(선택옵션→주문 변환) [CUSTOM·1차·L]
F-063,runway,미착수,True,True,No63 인쇄상품 — F3 우측 플로팅 주문박스(가격·CTA) [PARTIAL·1차·M]
F-064,runway,미착수,True,True,No64 인쇄상품 — F4 장바구니 담기 [PARTIAL·1차·M]
F-075,runway,미착수,False,True,No75 주문 — 파일/편집 정보입력 [CUSTOM·1차·XL]
F-076,runway,미착수,False,True,No76 주문 — 보관함/장바구니 [PARTIAL·1차·M]
F-077,runway,미착수,False,True,No77 주문 — 배송정보입력 [PARTIAL·1차·M]
F-081,runway,미착수,False,True,No81 주문완료+메일 — SOLVED→PARTIAL 재라벨
F-082,runway,미착수,False,True,No82 주문 — 디자인 의뢰하기 [CUSTOM·3차·M]
F-087,runway,미착수,False,False,No87 가이드 — 작업시 유의사항(11개) [PARTIAL·2차·M]
F-089,runway,미착수,False,False,No89 마케팅 — 이용후기 메인 [PARTIAL·3차·M]
F-091,runway,미착수,True,True,No91 상품 — 포장재상품 주문하기 [CUSTOM·2차·L]
F-092,runway,미착수,False,True,No92 상품 — 굿즈상품 주문하기+파우치&백 [CUSTOM·2차·L]
F-093,runway,미착수,False,False,No93 상품 — 수작 상품(메인+상품페이지) [CUSTOM·3차·L]
F-096,runway,미착수,False,False,No96 거래처 — 매장게시판 [PARTIAL·3차·S]
F-100,runway,미착수,False,False,No100 상품관리 — 인쇄/제본 상품등록 [CUSTOM·1차·L]
F-101,runway,미착수,False,False,No101 상품관리 — 사이즈선택 팝업 [CUSTOM·1차·M]
F-102,runway,미착수,False,False,No102 상품관리 — 소재선택 팝업 [CUSTOM·1차·M]
F-103,runway,미착수,False,False,No103 상품관리 — 종이선택 팝업 [CUSTOM·1차·M]
F-104,runway,미착수,True,False,No104 상품관리 — 가격관리 팝업 8종 [CUSTOM·1차·L]
F-105,runway,미착수,False,False,No105 상품관리 — 사이즈관리 [CUSTOM·1차·S]
F-106,runway,미착수,False,False,No106 상품관리 — 소재관리 [CUSTOM·1차·S]
F-107,runway,미착수,False,False,No107 상품관리 — 용지관리 [CUSTOM·1차·S]
F-108,runway,미착수,True,False,No108 상품관리 — 가격관리(출력/코팅/후가공/제본) [CUSTOM·1차·XL]
F-109,runway,미착수,False,False,No109 상품관리 — 굿즈 카테고리관리 [CUSTOM·2차·M]
F-110,runway,미착수,False,False,No110 상품관리 — 굿즈 상품등록 [CUSTOM·2차·L]
F-111,runway,미착수,False,False,No111 상품관리 — 수작 상품등록 [CUSTOM·3차·M]
F-112,runway,미착수,False,False,No112 상품관리 — 포장재 상품등록 [CUSTOM·2차·M]
F-113,runway,미착수,False,False,No113 상품관리 — 디자인 상품등록 [CUSTOM·3차·M]
F-122,runway,미착수,False,False,No122 게시판 — 이용후기관리 [PARTIAL·3차·M]
F-123,runway,미착수,False,True,No123 회원관리(주문/정보) — SOLVED→PARTIAL 재라벨
F-125,runway,미착수,True,False,No125 회원관리 — 프린팅머니 관리 [PARTIAL·2차·M]
F-129,runway,미착수,False,False,No129 통계 — 인쇄/제본 상품통계 [PARTIAL·2차·S]
F-130,runway,미착수,False,False,No130 통계 — 굿즈 상품통계 [PARTIAL·2차·S]
F-131,runway,미착수,False,False,No131 통계 — 패키지 상품통계 [PARTIAL·2차·S]
F-132,runway,미착수,False,False,No132 통계 — 수작 상품통계 [PARTIAL·3차·S]
F-134,runway,미착수,True,False,No134 통계 — 굿즈 발주/정산(Excel) [CUSTOM·2차·M]
F-135,runway,미착수,False,False,No135 통계 — 제작상품 팀별통계 [CUSTOM·3차·M]
F-136,runway,미착수,False,True,No136 주문관리 — 주문관리-인쇄/제본/굿즈 [PARTIAL·1차·XL]
F-137,runway,미착수,False,True,No137 주문관리 — 파일확인처리 [CUSTOM·1차·L]
F-139,runway,미착수,False,True,No139 주문관리 — 주문서출력 [PARTIAL·1차·M]
F-140,runway,미착수,False,True,No140 주문관리 — 주문상태변경 처리(+문자) [PARTIAL·1차·M]
F-143,runway,미착수,False,True,No143 주문관리 — 주문상태변경(일괄) [PARTIAL·2차·S]
F-153,runway,미착수,False,False,No153 상품 — 전시 카테고리 트리 운영툴 [PARTIAL·1차·M]
F-154,runway,미착수,False,False,No154 상품 — 상품 검색·필터 엔진 [PARTIAL·2차·M]
F-157,runway,미착수,True,True,No157 주문관리 — 생산정보 전달(주문→생산BOM 환원) [CUSTOM·1차·L]
F-158,runway,미착수,False,True,No158 상품관리 — MES_ITEM_CD 전상품 채번 [CUSTOM·1차·M]
F-159,runway,미착수,False,True,No159 주문관리 — 생산파일명 일관화(Rename) [CUSTOM·1차·M]
F-160,runway,미착수,False,True,No160 주문관리 — 접수파일 썸네일 자동생성 [CUSTOM·2차·M]
F-161,runway,미착수,False,True,No161 주문 — 주문상태 추적(고객 마이페이지) [PARTIAL·1차·M]
F-162,runway,미착수,False,True,No162 주문 — 주문/주문상세 런타임 그릇 구축 [PARTIAL·1차·XL]
