std_id,대분류,기능,매핑legacy_id,매핑asis_id,상태,근거,사유
STD-MEM-001,회원·인증,회원가입(이메일 식별자),SCOPE-005;IA-005;F-005;SCOPE-006;IA-006,SB-038,done,huni-skin-shopby/src/app/api/auth/signup/route.ts:8-33,L2 SB-038 done. legacy 「정보입력」+「이메일 중복확인」 2행이 표준 1행에 1:N 수렴(§4-2).
STD-MEM-002,회원·인증,약관 동의·전체동의,SCOPE-004;IA-004,SB-038,partial,"[L4b보강] huni-skin-shopby/src/components/auth/signup-form.tsx:24-25,75-76",2-step 약관 UI 는 존재하나 주석이 'shopby 로 전달하지 않는다(joinTermsAgreements 미연동)' 라고 명시. legacy SOLVED 는 낙관. X-SHOPBY-TERMS-01 잔존.
STD-MEM-003,회원·인증,휴대전화 본인인증(SMS/PASS),SCOPE-007;IA-007;F-007;X-AUTH-CONTRACT-01,SB-043,todo,SB-043 absent(인증 SDK·API 호출 지점 0건) · L2 service-dependency D-17 endpoint='(호출 지점 없음)',★호출 지점 부재 서비스. 계약 미체결(X-AUTH-CONTRACT-01) 이 선행 블로커.
STD-MEM-004,회원·인증,14세 미만 가입 제한,SCOPE-004;IA-004,SB-038,partial,[L4b보강] huni-skin-shopby/src/components/auth/signup-form.tsx:28 (age14 필수 약관 게이트),약관동의 행에 age14 항목으로 실재 — 독립 new 아님. 다만 STD-MEM-002 와 같은 사유로 shopby 미전달.
STD-MEM-005,회원·인증,1인 1계정 중복가입 제한,SCOPE-006;IA-006,SB-038,partial,huni-skin-shopby/src/app/api/auth/signup/route.ts:8-33,이메일 중복확인 축은 배선. 본인인증 기반 1인1계정 강제는 STD-MEM-003 미구현에 종속.
STD-MEM-006,회원·인증,가입완료 혜택 자동지급(쿠폰+적립금),SCOPE-008;IA-008;SCOPE-156;F-156;X-SHOPBY-NATIVE-01,,todo,,L2 인벤토리에 가입완료 혜택 지급 행 없음. X-SHOPBY-NATIVE-01 가입완료 메일 native 범위 미확인.
STD-MEM-007,회원·인증,아이디/비밀번호 로그인,SCOPE-001;IA-001,SB-037,done,huni-skin-shopby/src/lib/auth/auth.config.ts:12-22 · src/lib/auth/shopby-auth.ts:1,
STD-MEM-008,회원·인증,아이디 찾기(마스킹),SCOPE-002;IA-002,SB-042,todo,SB-042 stub — huni-skin-shopby/src/components/auth/find-id-form.tsx:50-56 (토스트 '준비 중'),legacy SOLVED 이나 실측은 안내 토스트뿐. §4-5 문서≠코드 교정 존중.
STD-MEM-009,회원·인증,비밀번호 재설정(이메일 링크),SCOPE-003;IA-003;F-003,SB-042,todo,SB-042 stub — find-id-form.tsx:50-56,legacy PARTIAL·2차. SMS 게이트웨이 계약(X-SMS-CONTRACT-01) 종속.
STD-MEM-010,회원·인증,카카오 소셜 로그인,SCOPE-145,SB-041,todo,SB-041 stub — huni-skin-shopby/src/components/auth/sns-buttons.tsx:74-80 (토스트만·signIn 미호출) · D-16 providers 빈 배열,legacy SOLVED(샵바이 native 전제) vs 실측 미배선 — 충돌 보존.
STD-MEM-011,회원·인증,네이버 소셜 로그인,SCOPE-145,SB-041,todo,SB-041 stub — sns-buttons.tsx:74-80 · D-16,동 STD-MEM-010.
STD-MEM-012,회원·인증,구글/애플 소셜 로그인,SCOPE-145,SB-041,todo,SB-041 stub — sns-buttons.tsx:74-80 · D-16,구글은 D-16 env 키만 존재. 애플은 legacy·실측 양쪽 부재.
STD-MEM-013,회원·인증,로그인 세션 유지·자동 갱신,,SB-040,new,SB-040 done — huni-skin-shopby/src/lib/auth/auth.config.ts:18-22 · src/app/api/shop/[...path]/route.ts:20-27,new — legacy 3원 분모가 모두 「화면」 단위라 세션 토큰 회전 같은 비화면 기반기능이 수록된 적 없음. 근거출처 huni-shopby 계약(ia.md 오염 아님). 실측은 이미 done.
STD-MEM-014,회원·인증,비회원 게스트 세션 처리,SCOPE-073;IA-073,SB-023;SB-034;SB-036,done,SB-023 huni-skin-shopby/src/lib/guest-cart.ts:1-31 · SB-034 src/components/checkout/guest-checkout-form.tsx:9-10 · SB-036 src/components/order/guest-order-lookup.tsx:4-9,★status-flip: legacy 미착수(IA-073)인데 게스트 장바구니·결제·주문조회 3경로 모두 배선.
STD-MEM-015,회원·인증,회원정보 수정(비밀번호 재확인),SCOPE-021;IA-021;F-021;SCOPE-022;IA-022,SB-046,done,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,★status-flip: F-021 미착수(PARTIAL·1차) → 실측 done.
STD-MEM-016,회원·인증,비밀번호 변경,SCOPE-023;IA-023,SB-046,done,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,
STD-MEM-017,회원·인증,회원탈퇴,SCOPE-024;IA-024,SB-047,done,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:112 · src/components/mypage/withdraw-section.tsx:4,본인확인 방법은 X-DEC-SELFVERIFY-01 미결 잔존.
STD-MEM-018,회원·인증,회원등급 산정·자동 승급,SCOPE-146;F-146;X-DEC-GRADE-01,SB-046,todo,[L4b보강] huni-skin-shopby/src/lib/api/hooks/use-profile.ts:39 (memberGradeName 표시 필드만),돈 걸림(F-146 돈여부=true). 표시 필드만 있고 산정·자동승급 로직 0건. grade_cd↔memberGrade 매핑 미결.
STD-MEM-019,회원·인증,휴면계정 전환·복구,SCOPE-147,,todo,[L4b보강] huni-skin-shopby/src/lib/auth/shopby-auth.ts:28 (휴면 응답 주석만·전환/복구 화면 0건),legacy SOLVED(native 전제) vs 실측 미배선 — 충돌 보존.
STD-MEM-020,회원·인증,기존 회원 데이터 이관(구 사이트),X-MIG-MEMBER-SCHEMA-01;X-MIG-EXTRAINFO-01;X-MIG-CONSENT-01;X-CHK-MIGDRILL-01;X-OLDDB-ACCESS-01;X-DEC-EXTMEMBER-01,,todo,,돈 걸림. 구 DB 미접근(X-OLDDB-ACCESS-01)이 20개 질문의 공통 선행 블로커. 이관 리허설 미실행.
STD-MYP-001,마이페이지,주문 목록 조회,SCOPE-009;IA-009,SB-045,done,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,
STD-MYP-002,마이페이지,주문 상세 조회(사양·파일·상태),SCOPE-010;IA-010;F-010,SB-045,partial,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84 (목록/상세),상세 조회 배선은 확인. 다만 「사양·파일」 표시 완전성은 L2 가 판정하지 않음 — 낙관 done 회피.
STD-MYP-003,마이페이지,편집상품 미리보기,SCOPE-010;IA-010;F-010,SB-020,todo,SB-020 stub — huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176 (onClick 없음),§4-5 교정 존중. 에디터 연동(STD-SYS-011) 종속.
STD-MYP-004,마이페이지,옵션보관함 저장/불러오기,SCOPE-011;IA-011;F-011;F-065,,todo,[L4b보강] huni-skin-shopby/src/components/cart/cart-page.tsx:6 ('shopby 장바구니에는 보관함(draft) 개념이 없어 단일 목록으로 렌더'),CUSTOM 개발 확정 영역.
STD-MYP-005,마이페이지,보관 기간 정책 적용·만료 처리,,,new,,new — 보관 만료 정책은 화면이 아니라 배치 규칙이라 legacy 화면 분모에 수록된 적 없음. 근거 print-kb/mypage.md(ia.md 오염 아님).
STD-MYP-006,마이페이지,프린팅머니 잔액·내역 조회,SCOPE-014;IA-014;F-014;X-DEC-PRINTMONEY-01,SB-050,done,huni-skin-shopby/src/lib/api/hooks/use-points.ts:22,★status-flip: F-014 미착수(돈) → 조회 경로 done. 단 프린팅머니=샵바이 적립금 재해석 여부는 미결.
STD-MYP-007,마이페이지,프린팅머니 충전(PG 결제→적립 전환),SCOPE-015;IA-015;F-015,SB-051,todo,SB-051 stub — huni-skin-shopby/src/components/mypage/point-section.tsx:11-14 → src/lib/legacy-data/hooks.ts:423-432 (no-op),돈 걸림. 충전은 PG 결제 경로(STD-SYS-004) 종속.
STD-MYP-008,마이페이지,구매확정 적립금 자동 지급,,SB-030,new,SB-030 partial — huni-skin-shopby/src/components/checkout/checkout-form.tsx:52 (조회는 실API·적립/충전은 mock),new — 구매확정 시 자동적립은 서버측 규칙이라 legacy 화면 분모 밖. 근거 huni-shopby 계약(오염 아님).
STD-MYP-009,마이페이지,기존 프린트머니 잔액 이관,X-MIG-MONEY-SCHEMA-01;X-MIG-MONEY-RECON-01;X-MIG-EXPIRY-01;X-MONEY-EXTKEY-01,,todo,,돈 걸림. 컷오버 대사 불일치 시 즉시 NO-GO 게이트.
STD-MYP-010,마이페이지,보유 쿠폰 목록,SCOPE-012;IA-012,SB-049,done,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71,
STD-MYP-011,마이페이지,쿠폰 번호 등록,SCOPE-013;IA-013,SB-049,done,huni-skin-shopby/src/lib/api/hooks/use-coupons.ts:71,
STD-MYP-012,마이페이지,내 리뷰 작성·조회,SCOPE-017;IA-017;SCOPE-018;IA-018;F-018,SB-052,done,huni-skin-shopby/src/lib/api/hooks/use-review-write.ts:38 · use-my-reviews.ts:84,★status-flip: F-018 미착수(3차·돈) → 작성/수정/삭제 done.
STD-MYP-013,마이페이지,내 상품Q&A/1:1문의 조회,SCOPE-016;IA-016;SCOPE-020;IA-020,SB-056,todo,SB-056 absent — huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재,legacy SOLVED 2건 vs 실측 absent — 충돌 보존. 1차 오픈 필수 경로.
STD-MYP-014,마이페이지,증빙서류 발급내역 조회,SCOPE-025;IA-025;F-025;X-TAXDOC-01,SB-053,todo,SB-053 stub — huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (정적 표 UI·API 호출 0) · D-18 endpoint='(호출 지점 없음)',★호출 지점 부재 서비스. 돈 걸림.
STD-MYP-015,마이페이지,현금영수증 정보 관리,SCOPE-028;IA-028;F-028;X-TAXDOC-01,SB-053,todo,SB-053 stub — document-section.tsx:1-6 · D-18 호출 지점 없음,돈 걸림. 팝빌 연동 미결.
STD-MYP-016,마이페이지,배송지 주소록 관리,,SB-048;SB-028,new,SB-048 done — huni-skin-shopby/src/lib/api/hooks/use-shipping-address.ts:65-125 · SB-028 src/components/checkout/address-modal.tsx:1,new & done — legacy 마이페이지 47행에 배송지 주소록 항목이 없다(주소는 주문서 안에만 존재). 근거 huni-shopby 계약(오염 아님). 실측은 CRUD·기본배송지까지 배선.
STD-PRM-001,프로모션,신규회원 쿠폰 자동발행,SCOPE-156;F-156,,todo,,돈 걸림(F-156). 자동발행 트리거 L2 무근거.
