std_id,대분류,중분류,기능,인쇄특수여부,필수도,근거출처
STD-MEM-001,회원·인증,가입,회원가입(이메일 식별자),N,must,print-kb/wiki/policy/membership-auth.md#MEM-01
STD-MEM-002,회원·인증,가입,약관 동의·전체동의,N,must,print-kb/wiki/policy/membership-auth.md#MEM-04
STD-MEM-003,회원·인증,가입,휴대전화 본인인증(SMS/PASS),N,must,print-kb/wiki/policy/membership-auth.md#MEM-04
STD-MEM-004,회원·인증,가입,14세 미만 가입 제한,N,should,print-kb/wiki/policy/membership-auth.md#MEM-04
STD-MEM-005,회원·인증,가입,1인 1계정 중복가입 제한,N,should,print-kb/wiki/policy/membership-auth.md#MEM-04
STD-MEM-006,회원·인증,가입,가입완료 혜택 자동지급(쿠폰+적립금),N,should,print-kb/wiki/policy/membership-auth.md#MEM-07
STD-MEM-007,회원·인증,로그인,아이디/비밀번호 로그인,N,must,print-kb/wiki/policy/membership-auth.md#MEM-01
STD-MEM-008,회원·인증,로그인,아이디 찾기(마스킹),N,must,print-kb/wiki/policy/membership-auth.md#MEM-02
STD-MEM-009,회원·인증,로그인,비밀번호 재설정(이메일 링크),N,must,print-kb/wiki/policy/membership-auth.md#MEM-02
STD-MEM-010,회원·인증,로그인,카카오 소셜 로그인,N,must,print-kb/wiki/policy/membership-auth.md#MEM-03
STD-MEM-011,회원·인증,로그인,네이버 소셜 로그인,N,must,print-kb/wiki/policy/membership-auth.md#MEM-03
STD-MEM-012,회원·인증,로그인,구글/애플 소셜 로그인,N,could,print-kb/wiki/policy/membership-auth.md#MEM-03 2차 EXTERNAL
STD-MEM-013,회원·인증,세션,로그인 세션 유지·자동 갱신,N,must,huni-shopby/01_research/commerce-flow-contract.md §0 인증 헤더 규약
STD-MEM-014,회원·인증,세션,비회원 게스트 세션 처리,N,must,huni-shopby/01_research/commerce-flow-contract.md §2 GuestOrder
STD-MEM-015,회원·인증,회원,회원정보 수정(비밀번호 재확인),N,must,print-quote/04_design/ia.md §2.2 SM-MY-09
