prd_cd,prd_nm,상품군,제약시나리오,앞분류CN,엔진처리방식,제약필요여부,정정여부,근거(pricing.py 사상 적용)
PRD_000129,폼보드,보드(폼보드/포맥스),자재(A3/A2)×사이즈 유효조합만,CN-2,정확매칭(mat_cd__usage_cd×siz_cd),제약신설 필요(등록완료),유지,정확매칭 차원 조합 엇갈림=단가행 부재시 매칭0=0원 노출·엔진 자동차단 없음→진짜 CN-2 GRID-GATE(129 정석). NON_QTY_DIMS 실측
PRD_000130,포맥스보드,보드(폼보드/포맥스),자재×사이즈 유효조합만,CN-2,정확매칭(mat_cd__usage_cd×siz_cd),제약신설 필요(등록완료),유지,동일·정확매칭 조합 엇갈림→GRID-GATE. cpq-health 라이브 실측 정상
PRD_000047,소량전단지,디지털인쇄,코팅 선택시 종이 180g이상,CN-3,PROC on/off + 정확매칭(mat_cd),제약신설 필요(등록완료),유지,코팅=가격공정 on/종이=mat 정확매칭 단가행·조건부 관계→엔진 미처리→제약 정당. 등록완료 .02 금지형
PRD_000048,접지리플렛,디지털인쇄,코팅 선택시 종이 180g이상,CN-3,PROC on/off + 정확매칭(mat_cd),제약신설 필요(BLOCKED-UI §7),유지,047 동형·조건부→엔진 미처리→제약 필요. 옵션그룹 0건이 병목(§7 선적재 후 승격)
PRD_000049,와이드 접지리플렛,디지털인쇄,코팅 선택시 종이 180g이상,CN-3,PROC on/off + 정확매칭(mat_cd),제약신설 필요(BLOCKED-UI §7),유지,047 동형·BLOCKED-UI
PRD_000016,프리미엄엽서,디지털인쇄,오시·미싱 동시 불가,CN-4,PROC on/off(후가공 이중청구 차단),제약신설 필요(등록완료),유지,오시/미싱 각 공정비·동시=이중청구·조건부 배제→엔진 미처리→제약 정당(경계원칙 레퍼런스). R_DEMO_EXC .02
PRD_000016,프리미엄엽서,디지털인쇄,옵션 표시제어(visibility),AMBIG(비가격),표시제어(단가행 미참여),제약불필요(점검만),유지,R_DEMO_VIS .01=가격 미참여 표시데모 잔재·엔진 무관. 재작성 금지·성격만 태깅
PRD_000018,스탠다드엽서,디지털인쇄,오시·미싱 동시 가능?,CN-4 AMBIG,PROC on/off(잠정),제약신설 필요(AMBIG 실무진큐),유지,조건부 배제 후보이나 권위 ★배제표기 부재·designer 미전달. 값 확정 후 재판정
PRD_000041,스탠다드 쿠폰/상품권,디지털인쇄,오시·미싱 동시 가능?,CN-4 AMBIG,PROC on/off(잠정),제약신설 필요(AMBIG 실무진큐),유지,동일 AMBIG
PRD_000042,프리미엄 쿠폰/상품권,디지털인쇄,오시·미싱 동시 가능?,CN-4 AMBIG,PROC on/off(잠정),제약신설 필요(AMBIG 실무진큐),유지,동일 AMBIG(박크기·박최소수량과 별개 축)
