prd_cd,norm,category,old_status,method,required,verdict,evidence,sheet,live_opt,live_priced
PRD_000016,프리미엄엽서,01 엽서,✅정상등록가능,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:프리미엄엽서,41,Y
PRD_000052,반칼자유형스티커,02 스티커,✅정상등록가능,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:반칼 자유형 스티커,7,Y
PRD_000031,프리미엄명함,03 인쇄홍보물,✅정상등록가능,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:프리미엄명함,30,Y
PRD_000118,아트프린트포스터,04 포스터,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:아트프린트포스터,2,Y
PRD_000136,PET배너,05 사인,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:PET배너,4,Y
PRD_000068,중철책자,06 책자,✅정상등록가능,원자합산형(내지+표지+제본+용지),사이즈/내지페이지/제본/도수/수량,QUOTABLE,디지털인쇄비+제본+출력소재 가격표 존재; 합산형 견적성립,책자:중철책자,35,Y
PRD_000108,탁상형캘린더,07 캘린더,🟡신규출시,원자합산형(인쇄+용지+제본/가공),사이즈/인쇄/장수/캘린더가공/수량,QUOTABLE,원자합산형: 디지털인쇄비+출력소재+제본/캘린더가공 가격표 존재,캘린더:탁상형캘린더,0,N
PRD_000175,만년다이어리레더소프트커버,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:만년다이어리(레더소프트커버),0,N
PRD_000146,아크릴키링,09 아크릴,🟡신규출시,고정가형(아크릴 완제품 고정단가),사이즈/수량,QUOTABLE,데이터시트 아크릴 고정가 존재(키링/마그넷 등),아크릴:아크릴키링,0,Y
PRD_000183,틴거울,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:틴거울,0,N
PRD_000230,레더플랫파우치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 플랫 파우치,0,N
PRD_000043,인쇄배경지OPP봉투타입,12 포장,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:인쇄배경지(OPP봉투타입),0,Y
PRD_000017,코팅엽서,01 엽서,✅정상등록가능,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:코팅엽서,8,Y
PRD_000053,반칼자유형투명스티커,02 스티커,✅정상등록가능,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:반칼 자유형 투명스티커,4,Y
PRD_000032,코팅명함,03 인쇄홍보물,✅정상등록가능,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:코팅명함,8,Y
PRD_000119,아트페이퍼포스터,04 포스터,🟡신규출시,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:아트페이퍼포스터,0,Y
PRD_000137,메쉬배너,05 사인,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:메쉬배너,1,Y
PRD_000069,무선책자,06 책자,✅정상등록가능,원자합산형(내지+표지+제본+용지),사이즈/내지페이지/제본/도수/수량,QUOTABLE,디지털인쇄비+제본+출력소재 가격표 존재; 합산형 견적성립,책자:무선책자,32,Y
PRD_000109,미니탁상형캘린더,07 캘린더,🟡신규출시,원자합산형(인쇄+용지+제본/가공),사이즈/인쇄/장수/캘린더가공/수량,QUOTABLE,원자합산형: 디지털인쇄비+출력소재+제본/캘린더가공 가격표 존재,캘린더:미니탁상형캘린더,0,N
PRD_000174,만년다이어리레더하드커버,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:만년다이어리(레더하드커버),0,N
PRD_000147,아크릴마그넷,09 아크릴,🟡신규출시,고정가형(아크릴 완제품 고정단가),사이즈/수량,QUOTABLE,데이터시트 아크릴 고정가 존재(키링/마그넷 등),아크릴:아크릴마그넷,0,N
PRD_000184,컴팩트거울,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:컴팩트거울,0,N
PRD_000231,레더슬림파우치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 슬림 파우치,0,N
PRD_000044,인쇄배경지투명케이스타입,12 포장,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:인쇄배경지(투명케이스타입),0,Y
PRD_000018,스탠다드엽서,01 엽서,✅정상등록가능,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:스탠다드엽서,15,Y
PRD_000054,반칼자유형홀로그램스티커,02 스티커,🟡신규출시,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:반칼 자유형 홀로그램스티커,0,Y
PRD_000033,스탠다드명함,03 인쇄홍보물,✅정상등록가능,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:스탠다드명함,11,Y
PRD_000120,방수포스터,04 포스터,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:방수포스터,2,Y
PRD_000138,일반현수막,05 사인,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:일반현수막,18,Y
PRD_000070,PUR책자,06 책자,🟡신규출시,원자합산형(내지+표지+제본+용지),사이즈/내지페이지/제본/도수/수량,QUOTABLE,디지털인쇄비+제본+출력소재 가격표 존재; 합산형 견적성립,책자:PUR책자,0,Y
PRD_000110,엽서캘린더,07 캘린더,🟡신규출시,원자합산형(인쇄+용지+제본/가공),사이즈/인쇄/장수/캘린더가공/수량,QUOTABLE,원자합산형: 디지털인쇄비+출력소재+제본/캘린더가공 가격표 존재,캘린더:엽서캘린더,0,N
PRD_000172,만년다이어리소프트커버,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:만년다이어리(소프트커버),0,N
PRD_000148,아크릴뱃지,09 아크릴,🟡신규출시,고정가형(아크릴 완제품 고정단가),사이즈/수량,QUOTABLE,데이터시트 아크릴 고정가 존재(키링/마그넷 등),아크릴:아크릴뱃지,0,N
PRD_000185,카드거울,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:카드거울,0,N
PRD_000232,레더삼각파우치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 삼각 파우치,0,N
PRD_000045,인쇄헤더택,12 포장,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:인쇄헤더택,0,Y
PRD_000019,투명엽서,01 엽서,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:투명엽서,0,N
PRD_000064,소량자유형스티커,02 스티커,🟡신규출시,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:소량자유형스티커,0,Y
PRD_000034,펄명함,03 인쇄홍보물,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:펄명함,0,N
PRD_000121,접착방수포스터,04 포스터,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:접착방수포스터,2,Y
PRD_000139,메쉬현수막,05 사인,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:메쉬현수막,3,Y
PRD_000071,트윈링책자,06 책자,✅정상등록가능,원자합산형(내지+표지+제본+용지),사이즈/내지페이지/제본/도수/수량,QUOTABLE,디지털인쇄비+제본+출력소재 가격표 존재; 합산형 견적성립,책자:트윈링책자,60,Y
PRD_000173,만년다이어리하드커버,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:만년다이어리(하드커버),0,N
PRD_000149,아크릴집게,09 아크릴,🟡신규출시,고정가형(아크릴 완제품 고정단가),사이즈/수량,QUOTABLE,데이터시트 아크릴 고정가 존재(키링/마그넷 등),아크릴:아크릴집게,0,N
PRD_000186,사각손거울,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:사각손거울,0,N
PRD_000233,레더볼륨파우치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 볼륨 파우치,0,N
PRD_000020,화이트인쇄엽서,01 엽서,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:화이트인쇄엽서,0,Y
PRD_000055,낱장자유형스티커,02 스티커,✅정상등록가능,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:낱장 자유형 스티커,3,Y
PRD_000039,투명명함,03 인쇄홍보물,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:투명명함,0,N
PRD_000122,접착투명포스터,04 포스터,✅정상등록가능,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:접착투명포스터,1,Y
PRD_000176,먼슬리플래너,08 문구,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(문구) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,문구:먼슬리플래너,0,N
PRD_000150,아크릴스마트톡,09 아크릴,🟡신규출시,고정가형(아크릴 완제품 고정단가),사이즈/수량,QUOTABLE,데이터시트 아크릴 고정가 존재(키링/마그넷 등),아크릴:아크릴스마트톡,0,N
PRD_000187,블랙사각손거울,10 라이프,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:블랙사각손거울,0,N
PRD_000234,레더스트링파우치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 스트링 파우치,0,N
PRD_000021,핑크별색엽서,01 엽서,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:핑크별색엽서,0,Y
PRD_000056,낱장자유형투명스티커,02 스티커,🟡신규출시,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:낱장 자유형 투명스티커,0,Y
PRD_000040,화이트인쇄명함,03 인쇄홍보물,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:화이트인쇄명함,0,N
PRD_000111,벽걸이캘린더,07 캘린더,🟡신규출시,원자합산형(인쇄+용지+제본/가공),사이즈/인쇄/장수/캘린더가공/수량,QUOTABLE,원자합산형: 디지털인쇄비+출력소재+제본/캘린더가공 가격표 존재,캘린더:벽걸이캘린더,0,N
PRD_000151,맥세이프스마트톡,09 아크릴,🟡신규출시,고정가형(아크릴 완제품 고정단가),사이즈/수량,QUOTABLE,데이터시트 아크릴 고정가 존재(키링/마그넷 등),아크릴:맥세이프 스마트톡,0,N
PRD_000235,레더스트링원형파우치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 스트링 원형파우치,0,N
PRD_000001,OPP접착봉투,12 포장,🟡신규출시,고정가형(수량별 고정단가),수량(필수),QUOTABLE,상품마스터 상품악세사리 고정가 전건 존재,상품악세사리:OPP접착봉투,0,N
PRD_000022,금은별색엽서,01 엽서,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:금은별색엽서,0,Y
PRD_000057,대형자유형스티커,02 스티커,🟡신규출시,고정가형(스티커 규격/소재/수량 단가표),규격/소재/수량,QUOTABLE,스티커 가격표(260527) 단가 존재; 고정가형 견적성립,스티커:대형 자유형 스티커,0,Y
PRD_000035,모양명함,03 인쇄홍보물,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:모양명함,0,N
PRD_000140,무광시트커팅,05 사인,🟡신규출시,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:무광시트커팅,0,Y
PRD_000072,하드커버책자,06 책자,🟡신규출시,원자합산형(내지+표지+제본+용지),사이즈/내지페이지/제본/도수/수량,QUOTABLE,디지털인쇄비+제본+출력소재 가격표 존재; 합산형 견적성립,책자:하드커버책자,0,N
PRD_000112,와이드벽걸이캘린더,07 캘린더,🟡신규출시,원자합산형(인쇄+용지+제본/가공),사이즈/인쇄/장수/캘린더가공/수량,QUOTABLE,원자합산형: 디지털인쇄비+출력소재+제본/캘린더가공 가격표 존재,캘린더:와이드벽걸이캘린더,0,N
PRD_000152,아크릴명찰,09 아크릴,🟡신규출시,고정가형(아크릴 완제품 고정단가),사이즈/수량,QUOTABLE,데이터시트 아크릴 고정가 존재(키링/마그넷 등),아크릴:아크릴명찰,0,N
PRD_000236,레더플랫클러치,11 에코백,🟡신규출시,고정가형(고정가+수량구간할인),수량(제작수량 필수),QUOTABLE,데이터시트(굿즈파우치) 고정가 컬럼 존재 + 수량구간할인테이블 정의; 고정가형 견적성립,굿즈파우치:레더 플랫 클러치,0,N
PRD_000002,OPP비접착봉투,12 포장,🟡신규출시,고정가형(수량별 고정단가),수량(필수),QUOTABLE,상품마스터 상품악세사리 고정가 전건 존재,상품악세사리:OPP비접착봉투,0,N
PRD_000023,모양엽서,01 엽서,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:모양엽서,0,Y
PRD_000036,미니모양명함,03 인쇄홍보물,🟡신규출시,원자합산형(인쇄비+코팅+용지+후가공),수량(제작수량 필수),QUOTABLE,디지털인쇄비+코팅+출력소재+인쇄후가공 가격표(260527) 전부 존재; 합산형 견적성립,디지털인쇄:미니모양명함,0,N
PRD_000123,아트패브릭포스터,04 포스터,🟡신규출시,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:아트패브릭포스터,0,Y
PRD_000141,홀로그램시트커팅,05 사인,🟡신규출시,면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형,소재/가로/세로/수량,QUOTABLE,포스터사인 면적매트릭스 또는 고정가형(실사 가격표) 존재,실사:홀로그램 시트커팅,0,Y
PRD_000077,레더하드커버책자,06 책자,🟡신규출시,원자합산형(내지+표지+제본+용지),사이즈/내지페이지/제본/도수/수량,QUOTABLE,디지털인쇄비+제본+출력소재 가격표 존재; 합산형 견적성립,책자:레더 하드커버책자,0,N
