prd_cd,상품명,카테고리(MAP),상품군(sheet),근거(verdict/method)
PRD_000108,탁상형캘린더,07 캘린더,캘린더:탁상형캘린더,QUOTABLE/원자합산형(인쇄+용지+제본/가공)
PRD_000175,만년다이어리(레더소프트커버),08 문구,문구:만년다이어리(레더소프트커버),QUOTABLE/고정가형(고정가+수량구간할인)
PRD_000146,아크릴키링,09 아크릴,아크릴:아크릴키링,QUOTABLE/고정가형(아크릴 완제품 고정단가)
PRD_000183,틴거울,10 라이프,굿즈파우치:틴거울,QUOTABLE/고정가형(고정가+수량구간할인)
PRD_000230,레더 플랫 파우치,11 에코백,굿즈파우치:레더 플랫 파우치,QUOTABLE/고정가형(고정가+수량구간할인)
PRD_000043,인쇄배경지(OPP봉투타입),12 포장,디지털인쇄:인쇄배경지(OPP봉투타입),QUOTABLE/원자합산형(인쇄비+코팅+용지+후가공)
PRD_000119,아트페이퍼포스터,04 포스터,실사:아트페이퍼포스터,QUOTABLE/면적매트릭스형(포스터사인 가로x세로) / 일부 고정가형
PRD_000109,미니탁상형캘린더,07 캘린더,캘린더:미니탁상형캘린더,QUOTABLE/원자합산형(인쇄+용지+제본/가공)
PRD_000174,만년다이어리(레더하드커버),08 문구,문구:만년다이어리(레더하드커버),QUOTABLE/고정가형(고정가+수량구간할인)
PRD_000147,아크릴마그넷,09 아크릴,아크릴:아크릴마그넷,QUOTABLE/고정가형(아크릴 완제품 고정단가)
PRD_000184,컴팩트거울,10 라이프,굿즈파우치:컴팩트거울,QUOTABLE/고정가형(고정가+수량구간할인)
PRD_000231,레더 슬림 파우치,11 에코백,굿즈파우치:레더 슬림 파우치,QUOTABLE/고정가형(고정가+수량구간할인)
PRD_000044,인쇄배경지(투명케이스타입),12 포장,디지털인쇄:인쇄배경지(투명케이스타입),QUOTABLE/원자합산형(인쇄비+코팅+용지+후가공)
PRD_000054,반칼 자유형 홀로그램스티커,02 스티커,스티커:반칼 자유형 홀로그램스티커,QUOTABLE/고정가형(스티커 규격/소재/수량 단가표)
PRD_000070,PUR책자,06 책자,책자:PUR책자,QUOTABLE/원자합산형(내지+표지+제본+용지)
PRD_000110,엽서캘린더,07 캘린더,캘린더:엽서캘린더,QUOTABLE/원자합산형(인쇄+용지+제본/가공)
PRD_000172,만년다이어리(소프트커버),08 문구,문구:만년다이어리(소프트커버),QUOTABLE/고정가형(고정가+수량구간할인)
PRD_000148,아크릴뱃지,09 아크릴,아크릴:아크릴뱃지,QUOTABLE/고정가형(아크릴 완제품 고정단가)
PRD_000185,카드거울,10 라이프,굿즈파우치:카드거울,QUOTABLE/고정가형(고정가+수량구간할인)
