종류,엑셀값,DB값,비고분류,비고
product,,떡메모지-내지(백모조120),typ=PRD_TYPE.02 semi=SEMI_ROLE.01,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 링바인더-면지(그레이면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 링바인더-면지(블랙면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 링바인더-면지(인쇄면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 링바인더-면지(화이트면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 링바인더-표지(레더(화이트)),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 하드커버책자-면지(그레이면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 하드커버책자-면지(블랙면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 하드커버책자-면지(화이트면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,레더 하드커버책자-표지(레더(화이트)),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,엽서북-내지(몽블랑240),typ=PRD_TYPE.02 semi=SEMI_ROLE.01,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,엽서북-표지(스노우300),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,포토북 [디자인명]-내지(몽블랑130),typ=PRD_TYPE.02 semi=SEMI_ROLE.01,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,포토북 [디자인명]-면지(그레이),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,포토북 [디자인명]-표지(레더),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,포토북 [디자인명]-표지(레더하드커버),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,포토북 [디자인명]-표지(소프트커버),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,포토북 [디자인명]-표지(아트250+무광코팅),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,포토북 [디자인명]-표지(하드커버),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버 링책자-면지(그레이면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버 링책자-면지(블랙면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버 링책자-면지(인쇄면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버 링책자-면지(화이트면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버 링책자-표지(전용지),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버책자-면지(그레이면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버책자-면지(블랙면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버책자-면지(화이트면지),typ=PRD_TYPE.02 semi=SEMI_ROLE.03,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,,하드커버책자-표지(전용지),typ=PRD_TYPE.02 semi=SEMI_ROLE.02,"DB-ONLY 반제품 컴포넌트(내지/표지/면지) — 엑셀은 통합상품, 삭제금지 플래그"
product,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,,EXCEL-ONLY: 엑셀 헤더주석 잡음행(상품아님)
product,링바인더 (보류중),,,EXCEL-ONLY: 엑셀-ONLY(보류/품절/신규 미등록 추정) 확인필요
product,버즈케이스★,,,EXCEL-ONLY: 엑셀-ONLY(보류/품절/신규 미등록 추정) 확인필요
product,블랙젤리,,,EXCEL-ONLY: 엑셀-ONLY(보류/품절/신규 미등록 추정) 확인필요
product,슬림하드 폰케이스,,,EXCEL-ONLY: 엑셀-ONLY(보류/품절/신규 미등록 추정) 확인필요
product,에어팟케이스★,,,EXCEL-ONLY: 엑셀-ONLY(보류/품절/신규 미등록 추정) 확인필요
product,임팩트 젤하드,,,EXCEL-ONLY: 엑셀-ONLY(보류/품절/신규 미등록 추정) 확인필요
product,투명포스터★,,,EXCEL-ONLY: 엑셀-ONLY(보류/품절/신규 미등록 추정) 확인필요
size,73 x 98 mm,73x98,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,98 x 98 mm,98x98,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,100 x 150 mm,100x150,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,135 x 135 mm,135x135,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,95 x 210 mm,95x210,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,110 x 170 mm,110x170,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,148 x 210 mm,148x210,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,90 x 90 mm,90x90,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,55 x 86 mm,55x86,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,300 x 100 mm,300x100,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,400 x 145 mm,400x145,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,150 x 100 mm,150x100,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,170 x 110 mm,170x110,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,90 x 50 mm,90x50,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,50 x 90 mm,50x90,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,86 x 52 mm,86x52,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,52 x  86 mm,52x86,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,600 x 150 mm,600x150,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,150 x 600 mm,150x600,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,90 x 55 mm,90x55,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,50 x 50 mm,50x50,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,148 x 68 mm,148x68,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,148 x 75 mm,148x75,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,76 x 100 mm,76x100,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,76 x 120 mm,76x120,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,86 x 120 mm,86x120,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,94 x 94 mm,94x94,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,62 x 180 mm,62x180,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,105 x 160 mm,105x160,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,74 x 74 mm,74x74,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,74 x 109 mm,74x109,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,80 x 80mm,80x80,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,110 x 80mm,110x80,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,140 x 80mm,140x80,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,160 x 80mm,160x80,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,40 x 80 mm,40x80,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,25 x 110 mm,25x110,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A5 (148 x 210mm),A5(148x210mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A4 (210 x 297mm),A4(210x297mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A3 (297 x 420mm),A3(297x420mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A3+ (300 x 440mm),A3+(300x440mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,313 x 400 mm,313x400,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A6 (105 x 148 mm),A6(105x148mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A5 (148 x 210 mm),A5(148x210mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A4 (210 x 297 mm),A4(210x297mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A3 (297 x 420 mm),A3(297x420mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A2 (420 x 594 mm),A2(420x594mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,400 x 600 mm,400x600,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,100 x 140 mm,100x140,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,124 x186 mm,124x186,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,90 x 190 mm,90x190,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,50 x 70 mm,50x70,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,70 x 50 mm,70x50,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,50 x 94 mm,50x94,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,94 x 50 mm,94x50,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,65 x 65 mm,65x65,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,80 x 80 mm,80x80,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,75 x 110 mm,75x110,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 10 x 10mm (8EA),정사각10x10mm(8EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 15 x 15mm (8EA),정사각15x15mm(8EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 20 x 20mm (6EA),정사각20x20mm(6EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 25 x 25mm (3EA),정사각25x25mm(3EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 30 x 30mm (2EA),정사각30x30mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 35 x 35mm (2EA),정사각35x35mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 40 x 40mm (2EA),정사각40x40mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 45 x 45mm (1EA),정사각45x45mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 50 x 50mm (1EA),정사각50x50mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 55 x 55mm (1EA),정사각55x55mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 60 x 60mm (1EA),정사각60x60mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,정사각 90 x 90mm (1EA),정사각90x90mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 35 x 25mm (2EA),직사각35x25mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 40 x 30mm (2EA),직사각40x30mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 42 x 20mm (2EA),직사각42x20mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 50 x 20mm (2EA),직사각50x20mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 50 x 30mm (2EA),직사각50x30mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 55 x 15mm (2EA),직사각55x15mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 55 x 20mm (2EA),직사각55x20mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 55 x 24mm (2EA),직사각55x24mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 55 x 33mm (2EA),직사각55x33mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 90 x 40mm (2EA),직사각90x40mm(2EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 90 x 50mm (1EA),직사각90x50mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 90 x 60mm (1EA),직사각90x60mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 90 x 70mm (1EA),직사각90x70mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,직사각 90 x 80mm (1EA),직사각90x80mm(1EA),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A5 (210 x 148 mm),A5(210x148mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A4 (297 x 210 mm),A4(297x210mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,70 x 120 mm,70x120,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,8 x 8 (200 x 200 mm),8x8(200x200mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,10 x 10 (250 x 250 mm),10x10(250x250mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,220 x 145 mm,220x145,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,130 x 220 mm,130x220,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,90 x 100 mm,90x100,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,148 x 60 mm,148x60,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,145 x 145 mm,145x145,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,220 x 130 mm,220x130,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,130  x 220 mm,130x220,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,145 x 300 mm,145x300,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,210 x 297 mm,210x297,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,210 x 420 mm,210x420,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,300 x 420 mm,300x420,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,300 x 625 mm,300x625,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A1 (594 x 841 mm),A1(594x841mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A3세로 (297 x 420 mm),A3세로(297x420mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A3가로 (420 x 297 mm),A3가로(420x297mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A2세로 (420 x 594 mm),A2세로(420x594mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A2가로 (594 x 420 mm),A2가로(594x420mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A1세로 (594 x 841 mm),A1세로(594x841mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,A1가로 (841 x 594 mm),A1가로(841x594mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,5x5 (127 x 127 mm),5x5(127x127mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,5x7 (127 x 178 mm),5x7(127x178mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,8x8 (203 x 203 mm),8x8(203x203mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,8x10 (203 x 254 mm),8x10(203x254mm),NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,300 x 600mm,300x600,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,900 x 1200mm,900x1200,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,600x1800mm,600x1800,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,5000x900mm,5000x900,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,900 x 900mm,900x900,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,5000 x 900mm,5000x900,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,290 x 90 mm,290x90,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,290 x 190 mm,290x190,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,390 x 290 mm,390x290,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,590 x 390 mm,590x390,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,150 x 300 mm,150x300,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,180 x 420 mm,180x420,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,20 x 30 mm,20x30,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
size,30 x 30 mm,30x30,NOTATION-DIFF,73 x 98 mm↔73x98 판걸이수 브리지로 정합
