sheet,gubun,prd_nm,mes_item_cd,output_paper_value,material_class,note
디지털인쇄,엽서,프리미엄엽서,001-0001,316x467,PAPER_PLATE,
디지털인쇄,엽서,코팅엽서,001-0002,316x467,PAPER_PLATE,
디지털인쇄,엽서,스탠다드엽서,001-0003,316x467,PAPER_PLATE,
디지털인쇄,엽서,투명엽서,001-0004,315x467,PAPER_PLATE,
디지털인쇄,엽서,화이트인쇄엽서,001-0006,316x467,PAPER_PLATE,
디지털인쇄,엽서,핑크별색엽서,,316x467,PAPER_PLATE,
디지털인쇄,엽서,금은별색엽서,,316x467,PAPER_PLATE,
디지털인쇄,엽서,모양엽서,,316x467,PAPER_PLATE,
디지털인쇄,포토카드,포토카드,001-0012,316x467,PAPER_PLATE,
디지털인쇄,포토카드,투명포토카드,001-0013,315x467,PAPER_PLATE,
디지털인쇄,포토카드,종이슬로건,001-0014,316x467,PAPER_PLATE,
디지털인쇄,접지카드,2단접지카드,001-0014,316x467,PAPER_PLATE,
디지털인쇄,접지카드,미니접지카드,,316x467,PAPER_PLATE,
디지털인쇄,접지카드,3단접지카드,001-0009,316x467,PAPER_PLATE,
디지털인쇄,접지카드,지그재그엽서,001-0010,330x660,PAPER_PLATE,
디지털인쇄,명함,프리미엄명함,003-0001,316x467,PAPER_PLATE,
디지털인쇄,명함,코팅명함,003-0002,316x467,PAPER_PLATE,
디지털인쇄,명함,스탠다드명함,003-0003,316x467,PAPER_PLATE,
디지털인쇄,명함,펄명함,003-0004,316x467,PAPER_PLATE,
디지털인쇄,명함,모양명함,003-0007,316x467,PAPER_PLATE,
디지털인쇄,명함,미니모양명함,003-0008,316x467,PAPER_PLATE,
디지털인쇄,명함,오리지널박명함,003-0009,,AREA_NA,출력용지규격 공란(완제/부속/후가공류 추정)
디지털인쇄,명함,형압명함,,316x467,PAPER_PLATE,
디지털인쇄,명함,투명명함,003-0005,315x467,PAPER_PLATE,
디지털인쇄,명함,화이트인쇄명함,003-0006,316x467,PAPER_PLATE,
디지털인쇄,상품권,스탠다드 쿠폰/상품권,003-0013,316x467,PAPER_PLATE,
디지털인쇄,상품권,프리미엄 쿠폰/상품권,003-0014,316x467,PAPER_PLATE,
디지털인쇄,배경지,인쇄배경지(OPP봉투타입),012-0001,316x467,PAPER_PLATE,
디지털인쇄,배경지,인쇄배경지(투명케이스타입),012-0002,316x467,PAPER_PLATE,
디지털인쇄,배경지,인쇄헤더택,012-0003,316x467,PAPER_PLATE,
디지털인쇄,배경지,라벨/택,012-0010,316x467,PAPER_PLATE,
디지털인쇄,인쇄홍보물,소량전단지,003-0010,316x467,PAPER_PLATE,
디지털인쇄,인쇄홍보물,접지리플렛,003-0011,316x467,PAPER_PLATE,
디지털인쇄,인쇄홍보물,와이드 접지리플렛,003-0012,330x660,PAPER_PLATE,
디지털인쇄,인쇄홍보물,봉투제작,003-0015,,AREA_NA,출력용지규격 공란(완제/부속/후가공류 추정)
디지털인쇄,인쇄홍보물,썬캡,003-0016,,AREA_NA,출력용지규격 공란(완제/부속/후가공류 추정)
스티커,,반칼 자유형 스티커,002-0001,330x470,STICKER_PLATE,
스티커,,반칼 자유형 투명스티커,002-0002,330x470,STICKER_PLATE,
스티커,,반칼 자유형 홀로그램스티커,002-0015,330x470,STICKER_PLATE,
스티커,,낱장 자유형 스티커,002-0003,210 x 297 | 297 x 420 | 420 x 594,STICKER_PLATE,상품 내 사이즈별 출력용지규격 다중(verbatim 연결)
스티커,,낱장 자유형 투명스티커,002-0004,210 x 297 | 297 x 420 | 420 x 594,STICKER_PLATE,상품 내 사이즈별 출력용지규격 다중(verbatim 연결)
스티커,,대형 자유형 스티커,002-0005,400 x 600,STICKER_PLATE,
스티커,,반칼원형스티커,002-0008,330x470,STICKER_PLATE,
스티커,,반칼정사각스티커,002-0009,330x470,STICKER_PLATE,
스티커,,반칼직사각스티커,002-0010,330x470,STICKER_PLATE,
스티커,,반칼띠지스티커,002-0011,330x470,STICKER_PLATE,
스티커,,반칼팬시스티커,002-0012,330x470,STICKER_PLATE,
스티커,,반칼팬시투명스티커,,330x470,STICKER_PLATE,
스티커,,소량자유형스티커,002-0006,330x470,STICKER_PLATE,
스티커,,스티커팩,002-0016,330x470,STICKER_PLATE,
스티커,,합판도무송스티커,002-0013,,AMBIGUOUS,출력용지규격 공란(스티커류 판형 미기재)
스티커,,타투스티커,002-0014,210x297,STICKER_PLATE,
책자,책자,중철책자,006-0001,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,책자,무선책자,006-0002,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,책자,PUR책자,006-0003,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,책자,트윈링책자,006-0004,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,하드커버책자,하드커버책자,006-0005,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,하드커버책자,레더 하드커버책자,006-0006,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,하드커버책자,하드커버 링책자,006-0007,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,하드커버책자,링바인더 (보류중),,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,하드커버책자,레더 링바인더,,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,엽서북,엽서북,,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
책자,떡메모지,떡메모지,008-0008,,PAPER_PLATE,해당 시트 출력용지규격 컬럼 부재(책자 내지/표지=종이전지 인쇄물이나 값 미기재)
포토북(가격포함),포토북,포토북 [디자인명],,,AREA_NA,해당 시트 출력용지규격 컬럼 부재(포토북 완제본)
캘린더,탁상형캘린더,탁상형캘린더,007-0001,316x467,PAPER_PLATE,
캘린더,탁상형캘린더,미니탁상형캘린더,007-0002,316x467,PAPER_PLATE,
캘린더,엽서캘린더,엽서캘린더,007-0003,316x467,PAPER_PLATE,
캘린더,벽걸이캘린더,벽걸이캘린더,007-0004,316x467,PAPER_PLATE,
캘린더,벽걸이캘린더,와이드벽걸이캘린더,007-0005,330x660,PAPER_PLATE,
디자인캘린더(가격포함),탁상형캘린더,탁상형캘린더,007-0001,316x467,PAPER_PLATE,
디자인캘린더(가격포함),탁상형캘린더,미니탁상형캘린더,007-0002,316x467,PAPER_PLATE,
디자인캘린더(가격포함),엽서캘린더,엽서캘린더,007-0003,316x467,PAPER_PLATE,
디자인캘린더(가격포함),벽걸이캘린더,벽걸이캘린더,007-0004,316x467,PAPER_PLATE,
디자인캘린더(가격포함),벽걸이캘린더,와이드벽걸이캘린더,007-0005,330x660,PAPER_PLATE,
실사,,아트프린트포스터,004-0001,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,아트페이퍼포스터,004-0002,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,방수포스터,004-0003,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,접착방수포스터,004-0004,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,접착투명포스터,004-0005,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,아트패브릭포스터,004-0006,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,린넨패브릭포스터,004-0007,*후가공에따라 파일크기가 다름,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,캔버스패브릭포스터,004-0008,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,레더아트프린트,004-0009,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,타이벡프린트,004-0010,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,메쉬프린트,004-0011,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,폼보드,004-0012,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,포맥스보드,004-0013,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
실사,,프레임리스우드액자,004-0014,,AREA_NA,"실사=면적형(가로×세로) 모델, 출력용지규격 비적용"
