category,prd_nm,size_option,jeonji_resolved,verdict,source,evidence
스티커,반칼팬시스티커,100 x 140 mm,330x470,RESOLVED,상품마스터260610.스티커,"마스터 스티커 r108 출력용지규격(J)=330x470(병합 top-left). 출력소재(IMPORT) 디지털인쇄 유포/비코팅/무광코팅/유광코팅스티커=330x470 일치. 마스터 추출 CSV cls=STICKER_PLATE"
스티커,반칼팬시스티커,124 x186 mm,330x470,RESOLVED,상품마스터260610.스티커,"동일 상품 병합셀 — 전지값은 상품 단위 단일(r108 top-left 330x470). r109/r110은 병합셀 하위행으로 공란 표기일 뿐 동일 전지"
스티커,반칼팬시스티커,90 x 190 mm,330x470,RESOLVED,상품마스터260610.스티커,"동일 상품 병합셀 하위행(r110). 전지=330x470 상속"
스티커,반칼팬시투명스티커,100 x 140 mm,330x470,RESOLVED,상품마스터260610.스티커,"마스터 스티커 r115 출력용지규격(J)=330x470. 출력소재(IMPORT) 투명스티커=330x480이나 마스터 명시값(330x470·투명 반칼류 통합 전지) 권위 채택. 표기차는 매핑 정규화 확인(P-주의)"
스티커,반칼팬시투명스티커,124 x186 mm,330x470,RESOLVED,상품마스터260610.스티커,"동일 상품 병합셀 하위행(r116). 전지=330x470 상속"
스티커,반칼팬시투명스티커,90 x 190 mm,330x470,RESOLVED,상품마스터260610.스티커,"동일 상품 병합셀 하위행(r117). 전지=330x470 상속"
스티커,소량자유형스티커,50 x 70 mm,330x470,RESOLVED,상품마스터260610.스티커,"마스터 스티커 r120 출력용지규격(J)=330x470(병합 top-left). 반칼 소량 자유형=반칼류 표준 전지 330x470"
스티커,소량자유형스티커,그외 6개 사이즈,330x470,RESOLVED,상품마스터260610.스티커,"r121~r126(70x50/50x94/94x50/65x65/80x80/94x94) 동일 상품 병합셀 하위행. 전지=330x470 상속(상품 단일 전지)"
스티커,스티커팩,75 x 110 mm,330x470,RESOLVED,상품마스터260610.스티커,"마스터 스티커 r128 출력용지규격(J)=330x470. 판걸이수 시트 [스티커팩] 행은 국4/3절 컬럼 공란이나, 스티커 전지는 판걸이수(종이 국4절 체계) 밖이고 마스터 명시값이 권위"
스티커,타투스티커,90 x 190 mm,210x297,RESOLVED,상품마스터260610.스티커,"마스터 스티커 r169 출력용지규격(J)=210x297(공백無 변형). 출력소재(IMPORT) 210x297 1건 존재로 교차 확인. 표기변형(210 x 297 공백有와 정규화) 매핑 확인(P-주의)"
스티커,합판도무송스티커,원형/정사각/직사각 전 사이즈(r131~r167),,RECLASSIFY_AREA_NA,상품마스터260610.스티커+가격표.합판도무송스티커+출력소재(IMPORT).합판인쇄,"마스터 스티커 r131~r167 출력용지규격(J) 전 행 공란. 출력소재(IMPORT) 합판인쇄 스티커류(무광/유광/비코팅/유포/투명데드롱/은데드롱) 종이사이즈(전지) 전부 공란. 가격표 [합판도무송스티커] 시트는 원형/정사각 mm×수량 매트릭스(전지 컬럼 없음·도무송 면적/EA 모델). 종이 전지 개념 비적용 → 판형 N/A 재분류"
캘린더,와이드벽걸이캘린더,304 x 629,330x660,RESOLVED,상품마스터260610.캘린더+가격표.판걸이수,"마스터 캘린더 출력용지규격(c9)=330x660. 판걸이수 [와이드벽걸이캘린더] 3절=330x660 일치. (본래 마스터에 값 보유 — 차단 아니나 사용자 ''있으면 포함'' 지시로 명시)"
디자인캘린더,와이드벽걸이캘린더,304 x 629,330x660,RESOLVED,상품마스터260610.디자인캘린더+가격표.판걸이수,"마스터 디자인캘린더 출력용지규격(c9)=330x660. 판걸이수 3절=330x660 일치"
디지털인쇄,지그재그엽서,154 x 604 / 604 x 154,330x660,RESOLVED,상품마스터260610.디지털인쇄+가격표.판걸이수,"마스터 디지털인쇄 출력용지규격(c10)=330x660. 판걸이수 [지그재그카드] 3절=330x660 일치. (본래 값 보유 — 사용자 지시로 명시)"
책자,중철책자,A5/A4(표지+내지),316x467,RESOLVED,가격표.판걸이수,"내지=판걸이수 [전단지 / 책자내지] 국4절=316x467(r56~r59). 표지=[중철표지] 국4절=316x467(r60~r61). 종이 완제본 전 구성 316x467. (마스터 책자 시트는 출력용지규격 컬럼 부재 → 판걸이수 권위 보강)"
책자,무선책자,A5/A4(표지+내지),316x467,RESOLVED,가격표.판걸이수,"내지=책자내지 316x467. 표지=[무선표지 / PUR표지] 국4절=316x467(r62~r63)"
책자,PUR책자,A5/A4(표지+내지),316x467,RESOLVED,가격표.판걸이수,"내지=책자내지 316x467. 표지=[무선표지 / PUR표지] 국4절=316x467(r62~r63·PUR 공유)"
책자,트윈링책자,A5/A4(내지),316x467,RESOLVED,가격표.판걸이수,"내지=판걸이수 책자내지 국4절=316x467. 표지 전용 판걸이수 행 부재(트윈링 표지는 별도 합지/하드커버 가능성) — 내지 RESOLVED, 표지 전지 명시 부재"
책자,하드커버책자,A5/A4(내지),316x467,RESOLVED,가격표.판걸이수,"내지=책자내지 316x467. 표지=하드커버전용지(출력소재 하드커버전용 전지 공란=합지) → 표지는 종이 전지 비적용. 내지 RESOLVED"
책자,하드커버 링책자,A5/A4(표지+면지),316x467,RESOLVED,가격표.판걸이수,"판걸이수 [하드커버링책자 표지]·[하드커버링책자 면지] 국4절=316x467(r66~r69). 종이 면지/표지 316x467"
