prd_nm,excl_grp_cd,sel_typ_cd,max_sel_cnt,mand_yn,note(trigger),비고
중철책자,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=중철제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
무선책자,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=무선제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
PUR책자,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=PUR제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
트윈링책자,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=트윈링제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
하드커버책자,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=하드커버무선제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
레더 하드커버책자,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=하드커버무선제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
하드커버 링책자,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=하드커버트윈링제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
엽서북,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=떡제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
떡메모지,GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=떡제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
포토북 [디자인명],GRP-BOOK-제본,SEL_TYPE.01,1,Y,trigger=PUR,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
엽서캘린더,GRP-CAL-가공,SEL_TYPE.01,1,Y,trigger=우드거치대,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
벽걸이캘린더,GRP-CAL-가공,SEL_TYPE.01,1,Y,trigger=고리형트윈링제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
와이드벽걸이캘린더,GRP-CAL-가공,SEL_TYPE.01,1,Y,trigger=고리형트윈링제본,"엑셀 직접 원천 부재 → 대조불가, DB 단독 기술. 확인필요"
