IMPORT_컬럼,DB_상품(추정),prd_cd,prd_nm_확정,slot,신뢰도,종이수,매칭근거
소량전단지/접지리플렛,소량전단지·접지리플렛,PRD_000047|PRD_000048,소량전단지|접지리플렛,종이/사양(single),정확,47,"IMPORT 1컬럼이 2상품 공용. ref prd_nm 정확매치 2건(소량전단지=PRD_000047, 접지리플렛=PRD_000048). 와이드접지리플렛(049)은 별도, IMPORT 미포함"
트윈링내지,트윈링책자-내지,PRD_000071,트윈링책자,내지(inner),표기차브리지,16,"ref에 트윈링책자(PRD_000071) 통합상품만 존재. -내지 반제품 prd_nm 부재 → 통합 prd_cd에 내지 slot으로 귀속"
트윈링표지,트윈링책자-표지,PRD_000071,트윈링책자,표지(cover),표기차브리지,28,"ref에 트윈링책자(PRD_000071) 통합상품만 존재. -표지 반제품 부재 → 통합 prd_cd에 표지 slot으로 귀속"
무선내지,무선책자-내지(반제품),PRD_000069,무선책자,내지(inner),표기차브리지,7,"ref에 무선책자(PRD_000069) 통합상품만 존재. -내지(반제품) prd_nm 부재 → 통합 prd_cd에 내지 slot 귀속"
중철내지,중철책자-내지(반제품),PRD_000068,중철책자,내지(inner),표기차브리지,13,"ref에 중철책자(PRD_000068) 통합상품만 존재. -내지(반제품) prd_nm 부재 → 통합 prd_cd에 내지 slot 귀속"
중철표지,중철책자-표지(반제품),PRD_000068,중철책자,표지(cover),표기차브리지,13,"ref에 중철책자(PRD_000068) 통합상품만 존재. -표지(반제품) prd_nm 부재 → 통합 prd_cd에 표지 slot 귀속"
2단접지카드 / 3단접지카드 / 미니접지카드,2/3단·미니접지카드,PRD_000027|PRD_000029|PRD_000028,2단접지카드|3단접지카드|미니접지카드,종이/사양(single),정확,14,"IMPORT 1컬럼이 3상품 공용. ref 정확매치 3건(2단=027, 3단=029, 미니=028). 동일 종이세트 공유"
무선표지,무선책자-표지(반제품),PRD_000069,무선책자,표지(cover),표기차브리지,6,"ref에 무선책자(PRD_000069) 통합상품만 존재. -표지(반제품) prd_nm 부재 → 통합 prd_cd에 표지 slot 귀속"
벽걸이캘린더,벽걸이캘린더,PRD_000111|PRD_000116,벽걸이캘린더,종이/사양(single),중복해소필요,22,"ref에 동명 2건(PRD_000111 editor_yn=N, PRD_000116 editor_yn=Y). IMPORT는 종이세트 1종 → 두 변형 공통귀속. 적재 시 editor_yn 분기"
스탠다드엽서,스탠다드엽서,PRD_000018,스탠다드엽서,종이/사양(single),정확,7,"ref 정확매치 1건(PRD_000018)"
프리미엄엽서,프리미엄엽서,PRD_000016,프리미엄엽서,종이/사양(single),정확,21,"ref 정확매치 1건(PRD_000016)"
미니탁상형캘린더,미니탁상형캘린더,PRD_000109|PRD_000114,미니탁상형캘린더,종이/사양(single),중복해소필요,7,"ref 동명 2건(PRD_000109 editor_yn=N, PRD_000114 editor_yn=Y). 적재 시 editor_yn 분기"
엽서캘린더,엽서캘린더,PRD_000110|PRD_000115,엽서캘린더,종이/사양(single),중복해소필요,10,"ref 동명 2건(PRD_000110 editor_yn=N, PRD_000115 editor_yn=Y). 적재 시 editor_yn 분기"
탁상형캘린더,탁상형캘린더,PRD_000108|PRD_000113,탁상형캘린더,종이/사양(single),중복해소필요,8,"ref 동명 2건(PRD_000108 editor_yn=N, PRD_000113 editor_yn=Y). 적재 시 editor_yn 분기"
프리미엄명함,프리미엄명함,PRD_000031,프리미엄명함,종이/사양(single),정확,16,"ref 정확매치 1건(PRD_000031)"
