prd_nm,분류,엑셀값,DB값,비고
프리미엄엽서,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
코팅엽서,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
스탠다드엽서,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
투명엽서,별색→공정축 이동,화이트인쇄(없음)|화이트인쇄(단면)|화이트인쇄(양면),(공정 PROC_000008~012),"3토큰 별색=공정, 인쇄옵션서 제외"
투명엽서,MATCH,단면,단면,print_side 대조(별색 제외)
화이트인쇄엽서,별색→공정축 이동,화이트인쇄(없음)|화이트인쇄(단면)|화이트인쇄(양면)|클리어인쇄(없음)|클리어인쇄(단면)|클리어인쇄(양면),(공정 PROC_000008~012),"6토큰 별색=공정, 인쇄옵션서 제외"
화이트인쇄엽서,별색전용(MATCH),별색만,(공정축),"일반인쇄면 없음=별색이 인쇄, 공정축 정합"
핑크별색엽서,별색→공정축 이동,핑크인쇄(없음)|핑크인쇄(단면)|핑크인쇄(양면),(공정 PROC_000008~012),"3토큰 별색=공정, 인쇄옵션서 제외"
핑크별색엽서,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
금은별색엽서,별색→공정축 이동,금색인쇄(없음)|금색인쇄(단면)|금색인쇄(양면)|은색인쇄(없음)|은색인쇄(단면)|은색인쇄(양면),(공정 PROC_000008~012),"6토큰 별색=공정, 인쇄옵션서 제외"
금은별색엽서,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
모양엽서,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
포토카드,별색→공정축 이동,화이트인쇄(단면),(공정 PROC_000008~012),"1토큰 별색=공정, 인쇄옵션서 제외"
포토카드,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
투명포토카드,별색→공정축 이동,화이트인쇄(단면),(공정 PROC_000008~012),"1토큰 별색=공정, 인쇄옵션서 제외"
투명포토카드,MATCH,단면,단면,print_side 대조(별색 제외)
종이슬로건,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
2단접지카드,MATCH,양면,양면,print_side 대조(별색 제외)
미니접지카드,MATCH,양면,양면,print_side 대조(별색 제외)
3단접지카드,MATCH,양면,양면,print_side 대조(별색 제외)
지그재그엽서,MATCH,양면,양면,print_side 대조(별색 제외)
프리미엄명함,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
코팅명함,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
스탠다드명함,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
펄명함,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
모양명함,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
미니모양명함,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
형압명함,MATCH,단면|양면,단면|양면,print_side 대조(별색 제외)
투명명함,별색→공정축 이동,화이트인쇄(단면),(공정 PROC_000008~012),"1토큰 별색=공정, 인쇄옵션서 제외"
투명명함,MATCH,단면,단면,print_side 대조(별색 제외)
