sheet_slug,block_seq,block_type,header_text,proc_cd,proc_name,confidence,note
digital-print,0,귀돌이,후가공(옵션)_모서리,PROC_000027|PROC_000028,직각|둥근,HIGH,L1 헤더 row2 '모서리' + 값 [직각|둥근] 직접명시. 자식 leaf 2종 적재(부모 026 미적재)
digital-print,1,줄수,후가공(옵션)_오시,PROC_000029,오시,HIGH,L1 헤더 row2 '오시' 명시 + 값 [없음|1줄|2줄|3줄]. prcs_dtl_opt.줄수 max3 정합
digital-print,2,줄수,후가공(옵션)_미싱,PROC_000030,미싱,HIGH,L1 헤더 row2 '미싱' 명시 + 값 [없음|1줄|2줄|3줄]. 순서아닌 헤더텍스트로 확정
digital-print,3,개수,후가공(옵션)_가변(텍스트),PROC_000031,가변텍스트,HIGH,L1 헤더 row2 '가변(텍스트)' 명시 + 값 [없음|1개|2개|3개]. prcs_dtl_opt.개수 max3 정합
digital-print,4,개수,후가공(옵션)_가변(이미지),PROC_000032,가변이미지,HIGH,L1 헤더 row2 '가변(이미지)' 명시 + 값 [없음|1개|2개|3개]
digital-print,5,별색,별색인쇄(옵션)_화이트,PROC_000008,화이트,HIGH,그룹헤더 '별색인쇄(옵션)' R:V + 값 [화이트인쇄(없음|단면|양면)]. R-PROC-3 공정라우팅(도수아님)
digital-print,6,별색,별색인쇄(옵션)_클리어,PROC_000009,클리어,HIGH,그룹헤더 별색인쇄 + 값 [클리어인쇄(...)]
digital-print,7,별색,별색인쇄(옵션)_핑크,PROC_000010,핑크,HIGH,그룹헤더 별색인쇄. 핑크별색엽서 등에서 사용
digital-print,8,별색,별색인쇄(옵션)_금색,PROC_000011,금색,HIGH,그룹헤더 별색인쇄. 금은별색엽서
digital-print,9,별색,별색인쇄(옵션)_은색,PROC_000012,은색,HIGH,그룹헤더 별색인쇄
digital-print,10,기타,코팅(옵션),PROC_000014|PROC_000015,유광|무광,HIGH,값 [무광코팅(단면|양면)|유광코팅(단면|양면)]. 면 파라미터. R-PROC-5
digital-print,11,기타,박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공,PROC_000033child|PROC_000050,박색상자식|형압,HIGH,값 [박(있음)]+박칼라열=금유광/은유광/동박/홀로그램 등 박색상 자식(034~049). R-PROC-4
digital-print,12,기타,접지(옵션),PROC_000056child,접지자식,CONFIRM,값에 '6단오시접지'(073)·'6단미싱접지'(074) 복합공정 포함. 단순 오시/미싱 아님 — 접지그룹 자식으로 라우팅. 오매핑주의
sticker,0,귀돌이,커팅(옵션),PROC_000053|PROC_000054|PROC_000055,완칼|반칼|스티커완칼,HIGH,값 [반칼(자유형)|완칼(자유형)|원형Nmm(Nea)]. 스티커 커팅=완칼/반칼 공정. 모서리블록 아님
sticker,1,개수,후가공(옵션)_가변(텍스트),PROC_000031,가변텍스트,CONFIRM,헤더 '가변(텍스트)' 존재하나 전 상품 값 공백 → 신호0. 컬럼 존재는 디지털인쇄 템플릿 잔재. R-PROC-2 기대행 미생성
sticker,2,개수,후가공(옵션)_가변(이미지),PROC_000032,가변이미지,CONFIRM,헤더 존재·전상품 공백 → 신호0
booklet,0,기타,표지옵션(옵션)_표지코팅(옵션),PROC_000014|PROC_000015,유광|무광,HIGH,값 [코팅없음|무광코팅(단면)|유광코팅(단면)]. 표지 sub_prd 공정
booklet,1,기타,박(표지) / 형압 (옵션)_박/형압가공,PROC_000033child|PROC_000050,박색상자식|형압,HIGH,값 [박(있음)|형압(음각)|형압(양각)] + 박칼라열 금유광/은유광/동박 등. 박색상자식+형압(051양각/052음각)
booklet,2,기타,제본(필수),PROC_000018~000025,제본자식,HIGH,값 [중철제본|무선제본|PUR제본|트윈링제본|하드커버무선제본|하드커버트윈링제본|떡제본]. 부모017 미적재. R-PROC-6
photobook,0,기타,제본사양_제본,PROC_000019|PROC_000020|PROC_000025,무선|PUR|레이플랫,CONFIRM,값 'PUR'만 노출(표본 협소). 포토북 제본 enum. 부모017 미적재
calendar,0,기타,캘린더가공(필수)_캘린더가공,PROC_000021|PROC_000079,트윈링제본|타공,CONFIRM,값 [가공없음|우드거치대|1구타공+끈|고리형트윈링제본|2구타공+끈]. 타공(079 구수)·제본(021) 혼재. 거치대/끈은 추가상품축 가능 — 분기 필요
design-calendar,0,기타,캘린더사양_캘린더가공,PROC_000021,트윈링제본,CONFIRM,값 [삼각대(그레이|블랙)|고리형트윈링제본]. 삼각대는 옵션/추가축 가능. 제본만 공정
silsa,0,별색,화이트별색(옵션),PROC_000008,화이트,CONFIRM,값 '단면'만(면 표기). 화이트 별색인쇄 공정 신호. 부모007 미적재
silsa,1,기타,코팅(옵션),PROC_000014|PROC_000015,유광|무광,HIGH,값 [코팅없음|무광코팅|유광코팅]
silsa,2,기타,가공(옵션)_가공,PROC_000080|PROC_000082|기타,봉제|족자제작|기타,CONFIRM,값 [오버로크|말아박기|봉미싱|사각족자|원형족자|화이트보드|포맥스]. 봉제(080 유형enum)·족자(082)·보드는 자재축 혼재. 다축 분해 필요
acrylic,0,기타,인쇄사양,PROC_000002child,UV변형,CONFIRM,값 [배면양면|풀빼다|투명테두리|단면인쇄]. UV인쇄(002) 변형 파라미터. 공정 자체보다 인쇄방식 변형
acrylic,1,개수,조각수(옵션),PROC_000055,스티커완칼조각수,CONFIRM,값 [2조각~10조각]. 아크릴 조각수=묶음/조립축 가능. 공정 조각수 파라미터인지 분기필요
acrylic,2,기타,가공(옵션)_가공,기타,고리/자석/집게,CONFIRM,값 [고리없음|은색고리|자석부착|원형핀|맥세이프스마트톡] = 부자재/variant축. 공정마스터 직접대응 약함 — 비공정 가능성
goods-pouch,0,기타,가공(옵션)_가공,PROC_000083|기타,에폭시|라벨부착,CONFIRM,값 [에폭시(083 굿즈전용)|라벨없음|라벨부착|맥세이프추가]. 에폭시만 공정명 일치. 라벨/맥세이프는 추가축
stationery,0,기타,제본옵션(옵션),PROC_000022|기타,떡제본|링,CONFIRM,값 [실버링|50장1권|100장1권]. 링/권단위 — 제본사양 컬럼과 함께 봐야
stationery,1,기타,제본사양,PROC_000018|PROC_000021|PROC_000022,중철|트윈링|떡제본,HIGH,값 [하드커버|트윈링제본(좌철|상철+실버링)|떡제본|중철제본]. 제본 enum 명시
product-accessory,0,기타,(공정컬럼없음),,,HIGH,헤더 17컬럼 = 구분/ID/MES/상품명/사이즈/수량3/가격만. 공정 블록 부재(부자재 상품군). R-PROC-2 대상아님
