system,group,screen_id,screen_name,role,function,work_type,counterpart,direction,owner_side,plan_row_id,status,evidence
shopby,셀러어드민 게시판,SB-BOARD,공지·FAQ·Q&A·1:1·후기 관리,운영자(CS·상품),[구IA#46] 매장게시판,config,,,,STD-B2B-014,미확인,IA No.46 매장게시판 · webadmin 해당 없음 @ 2026-09-16 21:28
shopby,셀러어드민 게시판,SB-BOARD,공지·FAQ·Q&A·1:1·후기 관리,운영자(CS·상품),[구IA#67] 기업인쇄상담 (확인/답변),config,,,,STD-CLM-022,미확인,IA No.67 기업인쇄상담 · webadmin 해당 없음 @ 2026-09-16 21:28
shopby,셀러어드민 게시판,SB-BOARD,공지·FAQ·Q&A·1:1·후기 관리,운영자(CS·상품),[구IA#68] 디자인상담 (확인/답변),config,,,,STD-CLM-023,미확인,IA No.68 디자인상담 · webadmin 해당 없음 @ 2026-09-16 21:28
shopby,셀러어드민 게시판,SB-BOARD,공지·FAQ·Q&A·1:1·후기 관리,운영자(CS·상품),[구IA#69] 상품Q&A (확인/답변),config,,,,STD-CLM-024,미확인,IA No.69 상품Q&A · 샵바이 기본 기능(R1d 미확인)
shopby,셀러어드민 게시판,SB-BOARD,공지·FAQ·Q&A·1:1·후기 관리,운영자(CS·상품),[구IA#70] 1:1문의 (확인/답변),config,,,,STD-CLM-025,미확인,IA No.70 1:1문의 · 샵바이 기본 기능(R1d 미확인)
shopby,셀러어드민 게시판,SB-BOARD,공지·FAQ·Q&A·1:1·후기 관리,운영자(CS·상품),[구IA#64] 공지사항 관리 (등록/수정/html생성),config,,,,STD-INF-009,미확인,IA No.64 공지사항 · webadmin 해당 없음 @ 2026-09-16 21:28 · 샵바이 게시판(R1d 미확인)
shopby,셀러어드민 게시판,SB-BOARD,공지·FAQ·Q&A·1:1·후기 관리,운영자(CS·상품),[구IA#65] 자주묻는질문 관리,config,,,,STD-INF-010,미확인,IA No.65 FAQ · webadmin 해당 없음 @ 2026-09-16 21:28
shopby,셀러어드민 게시판,SB-BOARD,공지·FAQ·Q&A·1:1·후기 관리,운영자(CS·상품),[구IA#72] 이용후기관리 (관리자등록/수정),config,,,,STD-INF-011,미확인,IA No.72 이용후기 · 샵바이 상품후기(R1d 미확인)
shopby,셀러어드민 결제,SB-PAY,결제수단 설정·PG 신청,운영자(CS·상품),프린트머니 구현 M6 — PG 계약 후 카드 충전 활성(코드 변경 없이 availablePayTypes 로 자동),config,,,,STD-MYP-048,미착수,_workspace/huni-shopby/17_prepaid-money/prepaid-money-design-260915.md:294
shopby,셀러어드민 결제,SB-PAY,결제수단 설정·PG 신청,운영자(CS·상품),네이버페이 결제,config,,,,STD-PAY-004,미착수,X-DEC-NAVERPAY-01 NaverPay 별도 mini-OrderSheet 1차 범위 포함 여부 미결
