no,order,new_code,new_name,comp_typ_cd,prc_typ_cd,use_dims_to_pick,inherited_from,plan_prc_typ,prc_typ_conflict,products_in_scope,formula_cnt,authority_loc,note,typ_inherited,prc_inherited
2,1,ACRYLIC_CLEAR15T_PRINT,아크릴_투명1.5T_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"mat_cd,siz_width,siz_height,min_qty",CLR_ACRYL_1.5T,PRICE_TYPE.01,,0,0,아크릴 r26~r35 c1~c11 · 90칸,[권위 인쇄상품 가격표 260902_2 · 아크릴 r26~r35 c1~c11 · 90칸] 대체: CLR_ACRYL_1.5T. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
3,2,ACRYLIC_MIRROR3T_PRINT,아크릴_미러3T_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_ACRYL_MIRROR3T,PRICE_TYPE.01,,0,0,아크릴 r42~r51 c1~c10 · 81칸,[권위 인쇄상품 가격표 260902_2 · 아크릴 r42~r51 c1~c10 · 81칸] 대체: COMP_ACRYL_MIRROR3T. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01
6,3,ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"siz_cd,min_qty",COMP_ACRYL_CARABINER,PRICE_TYPE.02,,1,1,아크릴 r115~r119 c1~c2 · 4칸,[권위 인쇄상품 가격표 260902_2 · 아크릴 r115~r119 c1~c2 · 4칸] 대체: COMP_ACRYL_CARABINER. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.01,PRICE_TYPE.02
7,4,STK_KISSCUT_PRINT,스티커_반칼_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,mat_cd,min_qty",COMP_STK_PRINT,PRICE_TYPE.01,,12,1,스티커 r4~r42 c1~c20 · 648칸,[권위 인쇄상품 가격표 260902_2 · 스티커 r4~r42 c1~c20 · 648칸] 대체: COMP_STK_PRINT. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
8,5,STK_CUT_PRINT,스티커_완칼_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,mat_cd,min_qty",COMP_STK_PRINT,PRICE_TYPE.01,,12,1,스티커 r50~r56 c1~c6 · 30칸,[권위 인쇄상품 가격표 260902_2 · 스티커 r50~r56 c1~c6 · 30칸] 대체: COMP_STK_PRINT. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
9,6,STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,mat_cd,min_qty",COMP_STK_PRINT,PRICE_TYPE.01,,12,1,스티커 r63~r69 c1~c6 · 30칸,[권위 인쇄상품 가격표 260902_2 · 스티커 r63~r69 c1~c6 · 30칸] 대체: COMP_STK_PRINT. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
10,7,STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,mat_cd,min_qty",COMP_STK_PRINT,PRICE_TYPE.01,,12,1,스티커 r76~r82 c1~c2 · 6칸,[권위 인쇄상품 가격표 260902_2 · 스티커 r76~r82 c1~c2 · 6칸] 대체: COMP_STK_PRINT. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
11,8,STK_TATTOO_SETUP,스티커_타투_기본가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.03,min_qty,COMP_STK_TATTOO,PRICE_TYPE.03,★계획 PRICE_TYPE.03 ≠ 라이브 PRICE_TYPE.02,1,1,스티커 r89~r90 c1~c2 · 1칸,[권위 인쇄상품 가격표 260902_2 · 스티커 r89~r90 c1~c2 · 1칸] 대체: COMP_STK_TATTOO. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.02
12,9,STK_TATTOO_PRINT,스티커_타투_제작가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_cd,min_qty",COMP_STK_TATTOO,PRICE_TYPE.01,★계획 PRICE_TYPE.01 ≠ 라이브 PRICE_TYPE.02,1,1,스티커 r89~r91 c5~c6 · 2칸,[권위 인쇄상품 가격표 260902_2 · 스티커 r89~r91 c5~c6 · 2칸] 대체: COMP_STK_TATTOO. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.02
14,10,POSTER_PAPER_PRINT,포스터_매트지_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_ARTPAPER_MATTE,,,1,1,포스터사인 r23~r36 c1~c4 · 39칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r23~r36 c1~c4 · 39칸] 대체: COMP_POSTER_ARTPAPER_MATTE. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
17,11,POSTER_CLEARPVC_PRINT,포스터_투명PVC_출력가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"siz_width,siz_height,min_qty",COMP_POSTER_ADH_CLEAR_PVC,,,1,1,포스터사인 r80~r93 c1~c6 · 52칸,[권위 인쇄상품 가격표 260902_2 · 포스터사인 r80~r93 c1~c6 · 52칸] 대체: COMP_POSTER_ADH_CLEAR_PVC. SPEC-PRICECOMP-001 트랙A M2.,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01
