STD-CAT-001	상품·카탈로그	카테고리	대분류/중분류/소분류 다단 카테고리 트리 노출	N	must	print-quote/04_design/ia.md §2.1 GNB 카테고리 메뉴
STD-CAT-002	상품·카탈로그	카테고리	카테고리별 상품 리스팅(정렬·페이징)	N	must	print-quote/04_design/ia.md §2.1
STD-CAT-003	상품·카탈로그	카테고리	상품군 전용 랜딩(출력/책자/실사/패키지/굿즈)	Y	should	print-kb/wiki/huni/price-engine.md#PE-SOT-1 상품마스터 11시트 상품군 그릇
STD-CAT-004	상품·카탈로그	검색	상품명 통합검색	N	must	print-quote/04_design/ia.md §2.1 통합검색
STD-CAT-005	상품·카탈로그	검색	종이/소재명 기준 검색(아트지·스노우지 등)	Y	should	print-quote/04_design/ia.md §2.1 · print-kb/wiki/base/paper.md#BPP-003
STD-CAT-006	상품·카탈로그	검색	검색어 자동완성·인기검색어	N	could	print-quote/04_design/ia.md §2.1 통합검색 파생
STD-CAT-007	상품·카탈로그	상품상세	상품 상세페이지 본문(이미지·설명 블록)	N	must	print-story/02_capture/order-flow-steps.md §A 상품 진입 캡처
STD-CAT-008	상품·카탈로그	상품상세	동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등)	Y	must	print-story/02_capture/order-flow-steps.md §A-0 레드프린팅 상품 분할 전략
STD-CAT-009	상품·카탈로그	상품상세	후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이)	Y	must	print-story/02_capture/order-flow-steps.md §E-4 3사 용어 불일치
STD-CAT-010	상품·카탈로그	상품상세	재단사이즈 vs 작업사이즈 설명 가이드	Y	must	print-story/02_capture/order-flow-steps.md §E-1 · print-kb/wiki/base/sizes.md#BSZ-001 BSZ-002
STD-CAT-011	상품·카탈로그	상품상세	상품별 제작 소요일/출고 기준 안내	Y	must	print-story/02_capture/order-flow-steps.md §C-6 출고 옵션
STD-CAT-012	상품·카탈로그	상품상세	재작업 불가 사항 고지(폰트 아웃라인 등)	Y	must	print-story/02_capture/order-flow-steps.md §B 재작업 불가 안내
STD-CAT-013	상품·카탈로그	상품상세	상품 Q&A 게시	N	should	print-quote/04_design/ia.md §2.1 고객센터 상품Q&A
