std_id,대분류,기능,매핑legacy_id,매핑asis_id,상태,근거,사유
STD-CAT-001,상품·카탈로그,대분류/중분류/소분류 다단 카테고리 트리 노출,,SB-004;SB-003,new,huni-skin-shopby/src/lib/api/server/catalog.ts:1-20 (MULTI_LEVEL 트리 조회 done),"legacy 3원장 모두 고객용 카테고리 내비게이션 행이 없다(운영툴 SCOPE-153만 존재). ★근거출처=ia.md → §4-1 오염, 독립발견 아님"
STD-CAT-002,상품·카탈로그,카테고리별 상품 리스팅(정렬·페이징),,SB-005;SB-006,new,huni-skin-shopby/src/lib/api/server/catalog.ts:5 · src/components/shop/shop-list.tsx:18-24,legacy에 카테고리 리스팅 행 없음. ★근거출처=ia.md → §4-1 오염
STD-CAT-003,상품·카탈로그,상품군 전용 랜딩(출력/책자/실사/패키지/굿즈),F-088;SCOPE-088;IA-088,,todo,F-088/SCOPE-088/IA-088 랜딩페이지 5종(종이·제본·캘린더·파우치·스티커) 미착수,상품군 전용 랜딩 = legacy 마케팅 랜딩 5종과 동일 대상. L2 근거 없음
STD-CAT-004,상품·카탈로그,상품명 통합검색,F-154;SCOPE-154,SB-008;SB-005,partial,huni-skin-shopby/src/app/(main)/search/page.tsx:1 (검색 페이지 존재) · 인기검색어 src/lib/api/hooks/use-search.ts:13,"검색 자체는 배선, 필터 엔진(SCOPE-154)은 미착수"
STD-CAT-005,상품·카탈로그,종이/소재명 기준 검색(아트지·스노우지 등),F-154;SCOPE-154,,todo,SCOPE-154 상품 검색·필터 엔진 PARTIAL,종이/소재명 축 검색은 L2에 근거 없음
STD-CAT-006,상품·카탈로그,검색어 자동완성·인기검색어,F-154;SCOPE-154,SB-008,partial,huni-skin-shopby/src/app/(main)/search/page.tsx:1 · 인기검색어 src/lib/api/hooks/use-search.ts:13,"자동완성은 근거 없음, 인기검색어만 배선"
STD-CAT-007,상품·카탈로그,상품 상세페이지 본문(이미지·설명 블록),SCOPE-066;IA-066,SB-007;SB-016;SB-017,done,huni-skin-shopby/src/app/(main)/product/[slug]/page.tsx:42-47 · :51-56 · src/components/product/product-sections.tsx:1,상세 조회+Pie Canvas 발행탭+정적 섹션 전부 배선
STD-CAT-008,상품·카탈로그,동일 계열 상품 분기 안내(일반명함/고급지명함/부분UV명함 등),,,new,print-story/02_capture/order-flow-steps.md §A-0 레드프린팅 상품 분할 전략,동일계열 상품 분기 안내는 legacy 3원장 부재. 근거=경쟁사 실측 → 오염 없음
STD-CAT-009,상품·카탈로그,후가공 용어 설명 툴팁(도무송·오시·형압·귀돌이),,,new,print-story/02_capture/order-flow-steps.md §E-4 3사 용어 불일치,후가공 용어 툴팁 legacy 부재. 근거=경쟁사 실측 → 오염 없음
STD-CAT-010,상품·카탈로그,재단사이즈 vs 작업사이즈 설명 가이드,SCOPE-060;IA-060,,todo,SCOPE-060/IA-060 E4 작업/재단/블리드 사이즈 안내 PARTIAL·미착수,L2 근거 없음
STD-CAT-011,상품·카탈로그,상품별 제작 소요일/출고 기준 안내,,,new,print-story/02_capture/order-flow-steps.md §C-6 출고 옵션,제작 소요일/출고 기준 안내 legacy 부재. 근거=경쟁사 실측 → 오염 없음
STD-CAT-012,상품·카탈로그,재작업 불가 사항 고지(폰트 아웃라인 등),F-087;SCOPE-087;IA-087,SB-055,partial,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202 (대부분 '준비중' 스텁)",F-087 작업시 유의사항 11개 = 재작업 불가 고지의 상위 그릇
STD-CAT-013,상품·카탈로그,상품 Q&A 게시,SCOPE-069;IA-069,SB-056,todo,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),상품Q&A 게시 미배선
STD-CAT-014,상품·카탈로그,상품 리뷰 목록·평점 노출,F-089;SCOPE-089;IA-089,SB-018,done,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41,legacy는 '이용후기 메인'(마케팅) 축으로만 존재 — 상품상세 리뷰 노출과 근사 매핑
STD-CAT-015,상품·카탈로그,사진 리뷰 갤러리,F-018;SCOPE-018;IA-018;F-089;SCOPE-089;IA-089,SB-018,partial,huni-skin-shopby/src/lib/api/hooks/use-product-reviews.ts:41 (목록만),사진 리뷰 갤러리 전용 근거 없음 — 리뷰 목록에 흡수된 상태
STD-CAT-016,상품·카탈로그,관련상품/함께 주문한 상품 추천,,,new,print-quote/04_design/ia.md §2.1 리스팅 파생,관련상품 추천 legacy 부재. ★근거출처=ia.md → §4-1 오염
STD-CAT-017,상품·카탈로그,최근 본 상품,,,new,print-quote/04_design/ia.md §2.1 GNB 파생,최근 본 상품 legacy 부재. ★근거출처=ia.md → §4-1 오염
STD-CAT-018,상품·카탈로그,찜/관심상품,,,new,print-kb/wiki/policy/mypage.md 파생,찜/관심상품 legacy 부재. 근거=인쇄 KB → 오염 없음
STD-CAT-019,상품·카탈로그,인쇄 가이드 콘텐츠(11종),F-087;SCOPE-087;IA-087,SB-055,partial,"huni-skin-shopby/src/lib/guide-data.ts:41-50,158-202",가이드 11종 그릇은 있으나 내용 대부분 준비중
STD-CAT-020,상품·카탈로그,템플릿/샘플 다운로드 제공,SCOPE-056;IA-056,WA-042;WA-049,partial,"raw/webadmin/webadmin/config/urls.py:280,283,285,287,288 (가이드파일 조회) · :72-87 (업로드/관리)","운영자측 그릇 done, 고객 상세화면 다운로드 노출은 L2 근거 없음"
STD-CAT-021,상품·카탈로그,메인 기획전/배너 영역,SCOPE-155,SB-001;SB-002,partial,huni-skin-shopby/src/app/(main)/page.tsx:1 · BEST 큐레이션 stub src/lib/legacy-data/hooks.ts:60,메인 섹션 렌더는 되나 데이터원 mock 빈배열 (§4-5 존중)
STD-CAT-022,상품·카탈로그,품절/판매중지 상품 표시 및 대체 안내,,,new,huni-shopby/01_research/order-to-delivery-contract.md §4.2 OUT_OF_STOCK,품절/대체 안내 legacy 부재. 근거=Shopby 계약 → 오염 없음
STD-OPT-001,옵션·견적,상품 상세 내 주문옵션 위젯 마운트(격리 렌더),F-033;SCOPE-033;IA-033,SB-010;WA-026,done,"huni-skin-shopby/src/components/product/huni-widget.tsx:312-313 · raw/webadmin/webadmin/config/urls.py:184,190,192",위젯 임베드+빌더 양쪽 배선
STD-OPT-002,옵션·견적,정규화 옵션 데이터 계약 기반 위젯 구동,F-033;SCOPE-033;IA-033,WA-033;WA-034,done,raw/webadmin/webadmin/config/urls.py:246 (위젯 정의 조회) · :247 (카탈로그 조회),정규화 계약 API 실재
STD-OPT-003,옵션·견적,옵션 컴포넌트 타입 다형 렌더(셀렉트·라디오·체크·수치입력·이미지선택),F-033;SCOPE-033;IA-033,WA-026;SB-010,done,"raw/webadmin/webadmin/config/urls.py:184,190,192 · src/lib/printly/widget.ts:60-90",componentType 다형 렌더는 위젯빌더 폼 정의 경로에 배선
STD-OPT-004,옵션·견적,옵션 선택 캐스케이드(상위 선택이 하위 목록 갱신),F-048;SCOPE-048;IA-048,WA-036;WA-005,partial,raw/webadmin/webadmin/config/urls.py:249 (validate) · :368 (dim-choices),서버측 배선 done이나 X-CR-ENFORCE-CLIENT-01(클라이언트 validate 호출 0건)로 종단 미성립
STD-OPT-005,옵션·견적,토글형 후가공 섹션(켜야 하위 선택지 노출),,,new,print-story/02_capture/order-flow-steps.md §A-7 토글형 후가공,토글 섹션 UI 패턴 legacy 부재. 근거=경쟁사 실측 → 오염 없음
STD-OPT-006,옵션·견적,옵션 그룹 접기/펼치기·진행 스텝 표시,,,new,print-story/02_capture/order-flow-steps.md §C 옵션 테이블 복잡도,그룹 접기/스텝 표시 legacy 부재. 근거=경쟁사 실측 → 오염 없음
STD-OPT-007,옵션·견적,선택 요약 패널(현재 사양 한눈에),F-063;SCOPE-063;IA-063,SB-011;SB-010,partial,huni-skin-shopby/src/components/product/huni-widget.tsx:162-176 (huni:priced 수신),"가격 수신은 배선, 플로팅 요약 패널 자체는 L2 근거 없음"
STD-OPT-008,옵션·견적,용지(자재) 선택,F-037;SCOPE-037;IA-037;P-MATPOLLUTE-26-01;P-MAT-PRICEGAP-01,WA-014;WA-034,done,"raw/webadmin/webadmin/config/urls.py:304,307,310,313 (용지 관리+단가) · :247 (카탈로그 조회)",자재 축 코드경로 배선. 자재 오염·단가 결손은 데이터 부채(P-*)로 별도 계상
STD-OPT-009,옵션·견적,평량(g/㎡) 선택,F-037;SCOPE-037;IA-037,WA-014,done,"raw/webadmin/webadmin/config/urls.py:304,307,310,313 · catalog/paper_views.py:1",평량은 용지 마스터 속성으로 배선
STD-OPT-010,옵션·견적,비종이 소재 선택(아크릴·PVC·패브릭 등),F-037;SCOPE-037;IA-037;P-GOODS-AXIS-NORM-01,WA-013;WA-034,done,"raw/webadmin/webadmin/config/urls.py:344,346 (엔티티 공통 마스터) · :247",비종이 소재도 동일 자재 축. 굿즈 축 오적재는 데이터 부채
STD-OPT-011,옵션·견적,인쇄도수 선택(단면/양면·4도/8도·1도),F-038;SCOPE-038;IA-038;P-DIGITAL-BW-01,WA-005;WA-034,done,raw/webadmin/webadmin/config/urls.py:368 (dim-choices) · :247,도수 축 배선. 흑백1도 상품 미연결은 데이터 부채
STD-OPT-012,옵션·견적,별색(spot color) 선택,F-038;SCOPE-038;IA-038,WA-005;WA-015,done,raw/webadmin/webadmin/config/urls.py:368 · :316 (색상칩 스테이징),별색 축 + 색상칩 서빙 배선
STD-OPT-013,옵션·견적,화이트/UV white 언더베이스 선택,F-038;SCOPE-038;IA-038,WA-005,done,raw/webadmin/webadmin/config/urls.py:368,화이트/UV white도 도수 축 선택지
STD-OPT-014,옵션·견적,규격 사이즈 선택(프리셋),F-034;SCOPE-034;IA-034;P-DELYN-SIZE-01;P-SIZEMAP-214-01,WA-005;WA-034,done,raw/webadmin/webadmin/config/urls.py:368 · :247,규격 프리셋 배선. 사이즈 논리삭제/오매핑은 데이터 부채
STD-OPT-015,옵션·견적,비규격 사이즈 직접입력(재단 가로·세로),F-035;SCOPE-035;IA-035;P-AREA-CUSTOM-01,WA-005,partial,raw/webadmin/webadmin/config/urls.py:368 (dim-choices),P-AREA-CUSTOM-01: 비규격 사용자입력 면적가 미배선(폼보드129·맥세이프151) → 종단 미성립
STD-OPT-016,옵션·견적,작업 사이즈 입력·자동 도출(도련 포함),SCOPE-060;IA-060;P-BLEED-32-01,,partial,P-BLEED-32-01 HOLD_BASIS 32건 — 라이브 완제품 사이즈에 블리드 미적용(자동제외 중),작업사이즈 자동 도출 축이 라이브에서 비활성
STD-OPT-017,옵션·견적,수량 선택(구간 프리셋 + 직접입력),F-036;SCOPE-036;IA-036,WA-035;WA-023,done,"raw/webadmin/webadmin/config/urls.py:248 (price) · :137,177-181 (수량구간 할인표)",수량 축 + 구간 배선
STD-OPT-018,옵션·견적,건수(디자인 종류 수) 입력 및 총량 = 건수×수량 규칙 표시,,,new,print-story/02_capture/order-flow-steps.md §A-4 A-5 건수×수량,건수(디자인 종류 수) 축 legacy 부재. 근거=경쟁사 실측 → 오염 없음
STD-OPT-019,옵션·견적,페이지 수 입력(책자류 필수 축),X-ENGINE-PAGE-01;P-PHOTOBOOK-PAGEFEE-01,WA-035,partial,X-ENGINE-PAGE-01 094 30P 보류(page 전송 코드트랙) · P-PHOTOBOOK-PAGEFEE-01 페이지비 전액 미청구,페이지 축이 가격까지 종단 도달 못 함(돈 크리티컬)
STD-OPT-020,옵션·견적,표지/내지/간지 용지 개별 선택,F-043;SCOPE-043;IA-043,WA-003;WA-005,done,raw/webadmin/webadmin/config/urls.py:356-360 (옵션그룹/옵션/항목 CRUD) · :368,내지/표지 그룹 분리 배선
STD-OPT-021,옵션·견적,표지/내지 인쇄도수 개별 선택,F-043;SCOPE-043;IA-043,WA-003;WA-005,done,raw/webadmin/webadmin/config/urls.py:356-360 · :368,표지/내지 도수 개별 축 배선
STD-OPT-022,옵션·견적,제본 방식 선택(중철·무선·PUR·트윈링·하드커버),F-042;SCOPE-042;IA-042;P-PED-BOOK-W12-01,WA-003;WA-016,done,raw/webadmin/webadmin/config/urls.py:356-360 · :320-330 (책등 계산),제본 방식 축 배선. 제본비 재배선(W1/W2)은 가격 데이터 부채
STD-OPT-023,옵션·견적,제본 방향 선택(좌철/상철 × 세로/가로),F-042;SCOPE-042;IA-042,WA-003,done,raw/webadmin/webadmin/config/urls.py:356-360,제본 방향 축 배선
