legacy_id,원천,기능서술,원판정,돈여부,주문여부,비고
F-003,runway,No3 로그인 — 비밀번호 찾기(휴대폰 임시PW) [PARTIAL·2차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-005,runway,No5 회원가입 — 정보입력 [PARTIAL·1차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-007,runway,No7 회원가입 — 휴대전화 인증 [PARTIAL·2차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-015,runway,No15 마이페이지 — 머니충전 [CUSTOM·2차·M],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-019,runway,No19 마이페이지 — 나의 체험단 활동내역+후기 [CUSTOM·3차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-021,runway,No21 마이페이지 — 회원정보수정 [PARTIAL·1차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-029,runway,No29 마이페이지 — 메인(대시보드) [PARTIAL·1차·S],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-030,runway,No30 마이페이지 — 서브메인(랜딩페이지) [PARTIAL·3차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-031,runway,No31 마이페이지 — LIST(검색결과) [PARTIAL·1차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-032,runway,No32 인쇄상품 — A1 상품 기본정보 세팅 [PARTIAL·1차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-045,runway,No45 인쇄상품 — B12 캘린더 가공/장수 [CUSTOM·2차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-055,runway,No55 인쇄상품 — D4 가변데이터 인쇄(VDP) [CUSTOM·3차·L],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-059,runway,No59 인쇄상품 — E3 주문가능 자재 목록 모달 [CUSTOM·2차·M],미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-062,runway,No62 인쇄상품 — F2 주문 데이터 생성(선택옵션→주문 변환) [CUSTOM·1차·L],미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-074,runway,No74 결제 — 수동카드결제(PC+모바일) [CUSTOM·3차·M],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-090,runway,No90 마케팅 — 체험단 모집 메인 [CUSTOM·3차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-091,runway,No91 상품 — 포장재상품 주문하기 [CUSTOM·2차·L],미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-092,runway,No92 상품 — 굿즈상품 주문하기+파우치&백 [CUSTOM·2차·L],미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-093,runway,No93 상품 — 수작 상품(메인+상품페이지) [CUSTOM·3차·L],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-095,runway,No95 거래처 — 거래처관리 [CUSTOM·2차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-096,runway,No96 거래처 — 매장게시판 [PARTIAL·3차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-097,runway,No97 원장관리 — 계좌관리 [CUSTOM·2차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-099,runway,No99 원장관리 — 업체별 미수금 [CUSTOM·2차·M],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-100,runway,No100 상품관리 — 인쇄/제본 상품등록 [CUSTOM·1차·L],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-101,runway,No101 상품관리 — 사이즈선택 팝업 [CUSTOM·1차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-102,runway,No102 상품관리 — 소재선택 팝업 [CUSTOM·1차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-103,runway,No103 상품관리 — 종이선택 팝업 [CUSTOM·1차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-104,runway,No104 상품관리 — 가격관리 팝업 8종 [CUSTOM·1차·L],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-105,runway,No105 상품관리 — 사이즈관리 [CUSTOM·1차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-106,runway,No106 상품관리 — 소재관리 [CUSTOM·1차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-107,runway,No107 상품관리 — 용지관리 [CUSTOM·1차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-108,runway,No108 상품관리 — 가격관리(출력/코팅/후가공/제본) [CUSTOM·1차·XL],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-109,runway,No109 상품관리 — 굿즈 카테고리관리 [CUSTOM·2차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-110,runway,No110 상품관리 — 굿즈 상품등록 [CUSTOM·2차·L],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-111,runway,No111 상품관리 — 수작 상품등록 [CUSTOM·3차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-112,runway,No112 상품관리 — 포장재 상품등록 [CUSTOM·2차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-113,runway,No113 상품관리 — 디자인 상품등록 [CUSTOM·3차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-121,runway,No121 게시판 — 체험단관리 [CUSTOM·3차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-122,runway,No122 게시판 — 이용후기관리 [PARTIAL·3차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-123,runway,No123 회원관리(주문/정보) — SOLVED→PARTIAL 재라벨,미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-125,runway,No125 회원관리 — 프린팅머니 관리 [PARTIAL·2차·M],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-126,runway,No126 회원관리 — 쿠폰관리(발행/매칭) [PARTIAL·2차·L],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-129,runway,No129 통계 — 인쇄/제본 상품통계 [PARTIAL·2차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-130,runway,No130 통계 — 굿즈 상품통계 [PARTIAL·2차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-131,runway,No131 통계 — 패키지 상품통계 [PARTIAL·2차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-132,runway,No132 통계 — 수작 상품통계 [PARTIAL·3차·S],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-134,runway,No134 통계 — 굿즈 발주/정산(Excel) [CUSTOM·2차·M],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-135,runway,No135 통계 — 제작상품 팀별통계 [CUSTOM·3차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-136,runway,No136 주문관리 — 주문관리-인쇄/제본/굿즈 [PARTIAL·1차·XL],미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-139,runway,No139 주문관리 — 주문서출력 [PARTIAL·1차·M],미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-146,runway,No146 회원 — 회원등급(VIP·B2B 등급가) [PARTIAL·2차·M],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-153,runway,No153 상품 — 전시 카테고리 트리 운영툴 [PARTIAL·1차·M],미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-156,runway,No156 마이페이지 — 첫구매/생일 자동쿠폰 [PARTIAL·3차·S],미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
F-158,runway,No158 상품관리 — MES_ITEM_CD 전상품 채번 [CUSTOM·1차·M],미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-19SHEET-BATCH-01,runway,계층4 전 19시트 전사슬 배치화 미완,검증대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-3JEOL-01,runway,3절 라인 — 썬캡 아이보리 용지단가 국4절 carry(~20% 저평가) + 나머지 3상품 미완성,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-ACRYL-ADDON-6-01,runway,아크릴 부속 미청구 (147~154) — 6상품 본체전용 공식 + 부속 옵션 미노출,미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-ACRYL-RINGCONFIRM-01,runway,아크릴키링 고리 견적 실화면 + 아크릴 3상품 입력경로 규명 (담당자 회신 대기),검증대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-ACRYL-TBD-01,runway,"아크릴 단가 미수신 — *_TBD 6건(단가/구성) · TBD 4상품(165/168/169/170) 단가행 부재 · 163 placeholder 10,000",미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-AUTH-3SHEET-01,runway,권위 3시트 260705 재추출 미완 (엽서북떡메·제본·출력소재IMPORT),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-BOOK-5ITEM-01,runway,068~070 책자 표지/내지 5비목 누락 — 저청구,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-CALENDAR-DESIGNBLOCKED-5-01,runway,캘린더 5건 전부 DESIGN_BLOCKED — 가격공식 설계 자체가 막힘,미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-CAT-INTEGRITY-01,runway,라이브 카테고리 귀속 무결성 — 미귀속 상품(072·077·110 등) · main_cat_yn 결손 · 말단 미매칭 6건,미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-CATCONF-QUEUE-01,runway,카테고리 교정 큐 (전 11시트) — 아크릴20 미바인딩 · GP-2 FORMULA · CPQ MISS · 배치1~3 NO-GO 교정명세,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-CONSTRAINT-DATA-01,runway,OQ-G15 제약규칙(B15) 데이터 정리 미완 (1차 W5-7),미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-CONSTRAINT-OG-048-01,runway,048/049 코팅×종이두께 옵션그룹 미적재 — 제약 UI 등록 BLOCKED,미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-CPQ-OPT-020-01,runway,PRD_000020 화이트인쇄엽서 옵션 미적재(NOOPT) — 종이·인쇄·후가공 선택 UI 부재,미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-D5-17-01,runway,D5 미실측 17건 (UNSCORED·축 미탑재) — 명함 6건 포함,검증대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DBMAP-APPROVAL-01,runway,dbmap 승인 대기 잔여 — 아크릴 다중옵션 부속 3 · 146 볼체인 addon · 맥세이프 바디가격(업체 미정) · 스티커 나머지 CPQ · 책자 070/097,설계완료·구현대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DBMAP-NEXT-01,runway,dbmap 다음 시작점 — 문구·아크릴 잔여 시트 가격/CPQ 확대 (또는 §27 배선 잔여),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DBMAP-OPEN-01,runway,dbmap 최신 미해결 — 폰케이스류·아크릴스탠드 addon(base 상품 없음) · 220 orphan siz · 217 빈 잉크칼라 · 무가격5,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DBMAP-UNDERCHARGE-01,runway,돈크리티컬 저청구 3건 묶음 — 캘린더 장수 공식 약 12배 저청구 · 책자071 트윈링 · 실사 미니배너/미니보드 수량 floor,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DCAL-LOAD-01,runway,디자인캘린더 실 적재 승인 대기 — Q-DCAL 컨펌 5건 선결 (AUTHORITY·ROUTE·FIN·ENVELOPE·DSC),설계완료·구현대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DEADPARENT-500-01,runway,옵션 항목 500건 / 74상품이 죽은 부모에 매달림 — 선택지 손실 (전건 인간 판정),미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DEDUP-AXISMOVE-01,runway,자재 252/254 축이동 대기 (BLOCKED) — 캘린더 삼각대 자재→공정 param 축이동 미결,미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DEDUP-CATBLIND-01,runway,round-24 D-1 정정 필요 — category-blind dedupe 오류로 다중분류 의도 소실 (타 상품군 동형 오류 가능),미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DEDUP-SIZE-BLOCKED-01,runway,사이즈 중복정리 BLOCKED — D-2/D-3(A3 174/315 · A2 197/317) 가격종속 · SIZ_000499 판형 모델링 의도 미확인,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DESIGNED22-01,runway,DESIGNED_NOT_LOADED 22건 — 설계만 되고 라이브 미적재 (돈크리티컬),설계완료·구현대기,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DRIFT-10-01,runway,verify_price_coverage 실측 10 findings — HANDOFF의 '전수 DRIFT 0' 주장과 불일치,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DTLOPT-SWEEP-01,runway,옵션 dtl_opt 누락 전수 점검(저청구 헌팅) 미실행 — 다른 상품도 동일 원인 저청구 가능,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-DUPSIZE-WIRING-01,runway,DUP_SIZE_WIRING 22셀 / 11상품 — 중복 사이즈 배선 (§17 선행 필수),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-EDITORYN-01,runway,editor_yn 교정 미적용 — N→Y 13건 · Y→N 5건 (5건은 PRICE=0 위험),미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-EDX-BOOK5-01,runway,"D-16 책자 5종 배선 단절 — PRD_000072는 총액 796,900원인데 구성원 기여 0",미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-EDX-HIGH40-01,runway,🟠HIGH 40건 — 셋트 합산 제외 7 · size_blind 6 · 가격 무차별(단일고정가) 25,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-EDX-MISSINGCELL-01,runway,missing-cells 38건 — BINDING_FAIL·미적재/오배선 셀,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-EDX-SIZECONF-01,runway,차원 정합 결함 248행 (🔴53 · 🟠40 · 🟡110 · ⚪45) — 🔴53 전수 재검증 필요,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-FOIL-E2E-01,runway,박 분기 활성(2026-07-01) 후 시뮬레이터 e2e 미실행 — 6상품 본체+박 합계 미확인,검증대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-GOLDEN-83-01,runway,"골든 전수대조 미수행 — L3+ 83상품은 계산만 성립, 정답가 미검증",검증대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-GOODS-DISCOUNT-203-01,runway,PRD_000203 할인타입 DSC_ACR_QTY 오귀속 — 굿즈에 아크릴 할인표가 물림 (잠재 오청구),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-GOODS-NOAUTH-5-01,runway,굿즈 NO_AUTHORITY 5상품 — 가격·선택가격 둘 다 비어 권위 자체가 없음 (투명부채·미니CD앨범·극세사타월·타이벡북커버·말랑증사홀더),미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-HDX-BACKLOG-01,runway,hdx 백로그 — 원자합산형 수량정합 · 검토11 권위대조 · 명함 박 저청구 · 레더링바인더A4 적재,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-HYGIENE-670-01,runway,데이터 위생 — WORK_NULL 115 · MULTI_DFLT 86 · 미태깅 421 · 규격-0size 48 · TAG_MISMATCH 55,검증대기,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-L0-7-01,runway,L0 미적재 7상품 — 상품·구성요소가 라이브에 아예 없음(엑셀에만 존재),미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-L2-31-01,runway,L2+ 근접 31상품 — 공식은 붙었으나 골든 미달(WARN),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-MATPOLLUTE-WIDGET-3-01,runway,게이트 Q6 조건 — 자재오염 위젯 누수 3건 제외 강제,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-MISMAP-FP-12-01,runway,오매핑 FP 가드 12건 — 오염이 아닐 수 있어 판정 필요,검증대기,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-MUG-193-01,runway,"머그컵(193) 반투명·투명 7,500 가격축 통째 소실 — 손님이 선택 불가",미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-NAMECARD-MAT-01,runway,명함 034 펄 · 040 화이트 자재 collapse (등록 MAT ≠ 단가행 MAT) + 037 박 CPQ 옵션그룹 선결,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-NEEDSBASICS-97-01,runway,NEEDS_BASICS_FIRST 97건 (굿즈/파우치 87 포함) — 차원·자재부터 필요,미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-OPT-D7-65-01,runway,위젯 착수 가능 83상품 중 D7(옵션) PASS 18뿐 — 65상품 옵션 미비,미착수,False,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PED-BOOK-W34-01,runway,책자 완성가 (W3/W4 표지+내지 부품 합산) — DV-BK2/BK3/BK4 저청구 위험,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PED-CANVAS-01,runway,Q-SB-CH1 — CANVAS_HANGING 차원 정합 (셀 표기 분리),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PED-DSCLINK-4-01,runway,"Q-ST-DSC-LINK (돈크리티컬) — DSC_STAT_QTY 링크 누락 4건, 누락 시 +150,000 과청구",미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PED-NEXT-01,runway,가격엔진 설계 다음 시작점 — 실 적재 승인 큐 소진 · 확정 결함 정립(D-CB-1/2/4) · 인간 결정 큐,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PED-POSTER-WIRE-01,runway,"G-S1 — 후가공 배선 0건 (PRF_POSTER disp_seq 2~), 컨펌큐 해소 후 배선",미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PED-STATIONERY-9-01,runway,문구 본체 9건 product_prices INSERT · 떡메모 PRD_000097 바인딩 미실행,설계완료·구현대기,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PETBANNER-136-01,runway,"RC-2 PET배너(136) HOLD-1 — 거치대 택1 그룹 의미 중복, 실무진 CONFIRM 후 적재",미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PHOTOBOOK-D12-01,runway,D-12 포토북 10x10 × 소프트커버 단가행 부재 → 0원 (런칭 차단),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PHOTOBOOK-DBL-01,runway,"포토북100 셋트 이중합산 의심 (final 2,700,000 vs set_contrib 1,500,000)",미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PHOTOCARD-024-01,runway,포토카드(024) 셋트 옵션 선택 시 묶음수 차원이 화면에 없어 0원,미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-POSTER-OPT-POLLUTION-01,runway,실사 28상품(특히 134/135) 옵션 레이어 오염 — 도수·사이즈·자재·스티커·후가공이 타상품에서 대량 혼입 (면적 적재 1차 차단),미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PRD042-MISWIRE-01,runway,PRD_042 스타드림 '종이' 옵션 ref가 비종이 굿즈 자재로 오배선 → 잘못된 금액 발현 (codex 적발),미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PRINTLY-HUNI-SIZE-01,runway,후니 반칼원형 작은 원형 사이즈 미등록 + dflt_yn 3중복,미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-PRODUCT-IMAGE-01,runway,상품 이미지 전건 미등록 — 라이브 DB에 소스 자체가 없음,미착수,False,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-QUOTE0-NAMECARD-01,runway,명함 계열 견적0 — 프리미엄명함031·펄명함034·047 용지 미배선,미착수,True,True,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-RC1-PRESET-01,runway,"RC-1 프리셋(R-B3-PRICE) 미모델링 — 실사 118/120/121/123 A3/A2/A1 프리셋 과대청구(A3·A2 +5,000 · A1 +8,000)",미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
P-READINESS-FOLLOWUP-3-01,runway,준비도 후속 3건 (§26 배지 반영·의심시트 셀단위·돈크리티컬 교정),미착수,True,False,L4a(고객 주문경로) 도메인 미귀속 — 고아 선언 아님
