prd_cd,siz_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_l1_shape_name,_cut_width_mm,_cut_height_mm,_ea,_block_reason
PRD_000066,(MINT_NEEDED),N,27,2026-06-05 00:00:00,,원형 10mm (8EA),10.00,10.00,8,master t_siz_sizes에 원형10mm(8EA) 부재 — siz_cd 신규 minting 필요(마스터 쓰기=범위밖). 발명 금지
PRD_000066,(MINT_NEEDED),N,28,2026-06-05 00:00:00,,원형 15mm (8EA),15.00,15.00,8,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,29,2026-06-05 00:00:00,,원형 20mm (6EA),20.00,20.00,6,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,30,2026-06-05 00:00:00,,원형 25mm (3EA),25.00,25.00,3,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,31,2026-06-05 00:00:00,,원형 30mm (2EA),30.00,30.00,2,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,32,2026-06-05 00:00:00,,원형 35mm (2EA),35.00,35.00,2,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,33,2026-06-05 00:00:00,,원형 40mm (2EA),40.00,40.00,2,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,34,2026-06-05 00:00:00,,원형 45mm (1EA),45.00,45.00,1,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,35,2026-06-05 00:00:00,,원형 50mm (1EA),50.00,50.00,1,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,36,2026-06-05 00:00:00,,원형 55mm (1EA),55.00,55.00,1,master 부재 — 신규 mint 필요
PRD_000066,(MINT_NEEDED),N,37,2026-06-05 00:00:00,,원형 60mm (1EA),60.00,60.00,1,master 부재 — 신규 mint 필요
