table,kind,prd_cd,proc_cd,tmpl_cd,_block_reason,_unblock,_provenance
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000146,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴키링 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000147,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴마그넷 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000148,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴뱃지 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000149,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴집게 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000150,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴스마트톡 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000151,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 맥세이프 스마트톡 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000152,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴명찰 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000154,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴 머리끈 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000155,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴볼펜 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000157,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴네임택 → 완칼 PROC_000053 (모양 param=사용자입력형)"
t_prd_product_processes,FK-blocked(레이저커팅 신설),PRD_000158,PROC_000084,,K-2: 아크릴 모양컷 도메인공정=레이저커팅. 053(종이/스티커 완칼) 차용 중단 결정. 신규 PROC_000084(레이저커팅) 코드선적재(step00) 등록 후에만 FK 충족. 후니 등록 대기.,후니가 t_proc_processes에 PROC_000084(레이저커팅) 등록,"[acrylic] 도메인(아크릴 die-cut 묵시필수, G-AC-1/C-7): 아크릴 포카키링 → 완칼 PROC_000053 (모양 param=사용자입력형)"
