std_id,대분류,중분류,기능,인쇄특수여부,필수도,근거출처
STD-MFG-001,생산·공정,MES연동,주문 등록 API 수신(자사몰→우리·site_key/order_no/line_no/token),N,must,raw/webadmin/webadmin/config/urls.py:267 POST /api/w/v1/order/register · order-to-mes-process.md §8.0 SF-1
STD-MFG-002,생산·공정,MES연동,주문 등록 멱등 처리(재시도 already:true·같은 자리 다른 사양 409),N,must,order-to-mes-process.md §8.0 SF-1 · §11 0단계
STD-MFG-003,생산·공정,MES연동,결제 사양 전문 보관(t_ord_orders·서명 token 검증 후 전개),Y,must,order-to-mes-process.md §6.5 · raw/webadmin/webadmin/catalog/models.py:1043 TOrdOrders
STD-MFG-004,생산·공정,MES연동,원고 승격 tmp→order 버킷 CopyObject,Y,must,raw/webadmin/webadmin/catalog/artwork_promote.py · order-to-mes-process.md §4-2
STD-MFG-005,생산·공정,MES연동,승격 시 원본 실존·크기 실측 대조(head_object) fail-closed,Y,must,artwork_promote.py:155 _promote_one · order-to-mes-process.md §4 승격 검증
STD-MFG-006,생산·공정,MES연동,승격 실패 시 주문 보류(HOLD)+사유 기록,N,must,artwork_promote.py:51 ORD_HOLD · order-to-mes-process.md §11 1단계
STD-MFG-007,생산·공정,MES연동,담당자용 보류 주문 목록 화면,N,must,order-to-mes-process.md §11 1단계 미체크(남음)
STD-MFG-008,생산·공정,MES연동,원고 키 회차(r{n}) 규약·재업로드 누적 보관,Y,must,raw/webadmin/webadmin/catalog/s3_artwork.py build_order_key() · order-to-mes-process.md §4 키 규약
STD-MFG-009,생산·공정,MES연동,MES 넘길 파일 목록 산출(t_ord_artworks 최신 회차),Y,must,raw/webadmin/webadmin/catalog/models.py:1086 · artwork_promote.py:296 latest_artworks
STD-MFG-010,생산·공정,MES연동,상품↔MES 품목코드(MES_ITEM_CD) 매핑 일괄 적재,Y,must,order-to-mes-process.md §11 2단계 · 라이브 실측 260902 15/269
STD-MFG-011,생산·공정,MES연동,MES 품목코드 중복 검증(부분 유니크·삭제상품 점유 명시),Y,should,raw/webadmin/webadmin/catalog/admin.py:2092 clean_mes_item_cd
STD-MFG-012,생산·공정,MES연동,MES 품목코드 매핑 현황 목록 노출,N,should,order-to-mes-process.md §11 2단계 「목록에는 빠져 있어 현황 파악이 어려움」
STD-MFG-013,생산·공정,MES연동,MES-1 주문 접수 전송(WCF·주문헤더+제작사양 전문+원고 목록+handoff_id),Y,must,order-to-mes-process.md §8.3 MES-1
STD-MFG-014,생산·공정,MES연동,MES 중복 전송 방지 도장,N,must,order-to-mes-process.md §11 2단계
STD-MFG-015,생산·공정,MES연동,MES-2 주문 취소 통보(생산중지 요청),N,must,order-to-mes-process.md §8.3 MES-2
STD-MFG-016,생산·공정,MES연동,MES-3 원고 교체 통보(회차 증가 시 새 키 전달),Y,must,order-to-mes-process.md §8.3 MES-3
STD-MFG-017,생산·공정,MES연동,MES-4 배송지·수령자 변경 통보(출고 전 한정),N,should,order-to-mes-process.md §8.3 MES-4
STD-MFG-018,생산·공정,MES연동,MES-5 주문 조회 재동기화,N,could,order-to-mes-process.md §8.3 MES-5
STD-MFG-019,생산·공정,MES연동,MES→우리 API 인증(VPC 사설 경로+API 키·인터넷 미개방),N,must,order-to-mes-process.md §8.4 인증·경로 · aws-architecture-huni.pdf p.11 §6
STD-MFG-020,생산·공정,MES연동,주문 큐 비동기 처리(SQS 디커플·MES 다운 중에도 접수 지속),N,should,aws-architecture-huni.pdf p.7 §3.2
STD-MFG-021,생산·공정,MES연동,실패 재시도·DLQ·처리 실패 주문 관리자 화면,N,must,order-to-mes-process.md §9.4 · aws-architecture-huni.pdf p.7 §3.2
STD-MFG-022,생산·공정,상태왕복,주문 상태머신(REGISTERED/PROMOTING/PROMOTED/HOLD/PAID/FILE_CHECK/FILE_HOLD/MES_SENT/IN_PRODUCTION/PRODUCED/SHIPPED/DONE/CANCELED),N,must,order-to-mes-process.md §6.2 · artwork_promote.py:49-52
STD-MFG-023,생산·공정,상태왕복,상태 단위=주문상품옵션(orderProductOptionNo)·주문 단위는 롤업,N,must,order-to-mes-process.md §6.3
STD-MFG-024,생산·공정,상태왕복,3시스템 매핑 테이블(handoff_id·orderNo+orderProductOptionNo·MES 작업번호),N,must,order-to-mes-process.md §6.4
STD-MFG-025,생산·공정,상태왕복,FR-1 MES 주문 상태 변경 통보 수신(접수완료/생산대기/생산중/생산완료),Y,must,order-to-mes-process.md §8.4 FR-1
STD-MFG-026,생산·공정,상태왕복,접수완료 시 취소 잠금 원자적 전환(cancelable CAS),N,must,order-to-mes-process.md §7.3
STD-MFG-027,생산·공정,상태왕복,TO-2 샵바이 상품준비중 전환(취소 창구 닫기),N,must,order-to-mes-process.md §8.2 TO-2 PUT /orders/prepare-product
STD-MFG-028,생산·공정,상태왕복,FR-2 MES 송장번호 등록 수신,N,must,order-to-mes-process.md §8.4 FR-2
STD-MFG-029,생산·공정,상태왕복,TO-3 샵바이 배송처리(송장 등록·정정),N,must,order-to-mes-process.md §8.2 TO-3
STD-MFG-030,생산·공정,상태왕복,우리가 올린 상태변경 웹훅 메아리 필터(무한루프 방지),N,must,order-to-mes-process.md §8.1 SB-2 분기표
STD-MFG-031,생산·공정,상태왕복,FR-3 MES 발 주문 취소 요청 수신→샵바이 취소·환불(TO-4),N,must,order-to-mes-process.md §8.4 FR-3 · §7.2 게이트③
