prd_cd,product_group,axis,needed,verdict,live_frm_cd,defect_id,money_impact,note
PRD_000016,엽서,가격엔진,Y,MATCH,PRF_DGP_A,,none,원자합산 사슬 충전(인쇄·용지·코팅). 유광선택분만 V-4
PRD_000017,엽서,가격엔진,Y,MATCH,PRF_DGP_A,,none,코팅엽서 PRF_DGP_A 사슬 충전·종단 가능
PRD_000018,엽서,가격엔진,Y,MATCH,PRF_DGP_A,,none,골든 추적 성공(옵션 4축 단가행 환원)
PRD_000019,엽서,가격엔진,Y,MISSING,,DEF-PE-01,차단,투명엽서 frm_cd 미바인딩=견적0원. 정답 PRF_DGP_A(mat_cd=투명종이)
PRD_000020,엽서,가격엔진,Y,MATCH,PRF_DGP_A,,none,화이트인쇄엽서 바인딩됨
PRD_000021,엽서,가격엔진,Y,MATCH,PRF_DGP_A,,none,핑크별색엽서. 별색=공정 분기 Q-DGP-SPOT 참고
PRD_000022,엽서,가격엔진,Y,MATCH,PRF_DGP_A,,none,금은별색엽서
PRD_000023,엽서,가격엔진,Y,MATCH,PRF_DGP_B,,none,모양엽서 완칼(DIECUT) 36행 충전
PRD_000024,포토카드,가격엔진,Y,MATCH,PRF_PHOTOCARD_FIXED,,none,포토카드 SET 단가행 실재(BULK orphan 미발화)
PRD_000025,포토카드,가격엔진,Y,MATCH,PRF_PHOTOCARD_FIXED,,none,투명포토카드 CLEAR_SET 실재
PRD_000026,엽서,가격엔진,Y,MATCH,PRF_DGP_A,,none,종이슬로건 PRF_DGP_A
PRD_000027,접지카드,가격엔진,Y,MATCH,PRF_DGP_E,,none,2단접지카드 접지+코팅 사슬 충전(유광 V-4)
PRD_000028,접지카드,가격엔진,Y,MATCH,PRF_DGP_E,,none,미니접지카드
PRD_000029,접지카드,가격엔진,Y,MATCH,PRF_DGP_E,,none,3단접지카드
PRD_000030,엽서,가격엔진,Y,MISSING,,DEF-PE-01,차단,지그재그엽서 frm_cd 미바인딩=견적0원
PRD_000031,명함,가격엔진,Y,MISMATCH,PRF_NAMECARD_FIXED,DEF-PE-02,과소,프리미엄명함이 STD공식 바인딩(STD 3500 매겨짐·정답 PREMIUM 4500). +D-B silent 이중합산 DEF-PE-03
PRD_000032,명함,가격엔진,Y,MISMATCH,PRF_NAMECARD_FIXED,DEF-PE-02,과소,코팅명함이 STD공식(STD 3500·정답 COAT 5500=-200000/100매). +D-B 이중합산 DEF-PE-03
PRD_000033,명함,가격엔진,Y,MISMATCH,PRF_NAMECARD_FIXED,DEF-PE-03,과대,스탠다드명함 D-B silent 이중합산(S1+S2 둘다매칭·단면=800000 vs 350000)
PRD_000034,명함,가격엔진,Y,MISSING,,DEF-PE-01,차단,펄명함 미바인딩. PEARL_S1/S2 comp orphan 실재→공식신설+바인딩
PRD_000035,명함,가격엔진,Y,MISSING,,DEF-PE-01,차단,모양명함 미바인딩. SHAPE_S1/S2 orphan 실재
PRD_000036,명함,가격엔진,Y,MISSING,,DEF-PE-01,차단,미니모양명함 미바인딩. MINISHAPE orphan 실재
PRD_000037,명함,가격엔진,Y,MISSING,,DEF-PE-01,차단,오리지널박명함 미바인딩. FOIL_S1/S2+SETUP orphan 실재
PRD_000038,명함,가격엔진,Y,MISSING,,DEF-PE-01,차단,형압명함 미바인딩. comp 미실재=G-4 컨펌큐(FOIL 공유여부)
PRD_000039,명함,가격엔진,Y,MISSING,,DEF-PE-01,차단,투명명함 미바인딩. CLEAR_S1(단면) orphan 실재
PRD_000040,명함,가격엔진,Y,MISSING,,DEF-PE-01,차단,화이트인쇄명함 미바인딩. WHITE_S1W/S2W(코팅분기) orphan 실재
PRD_000041,상품권,가격엔진,Y,MATCH,PRF_DGP_A,,none,스탠다드 쿠폰/상품권 PRF_DGP_A
PRD_000042,상품권,가격엔진,Y,MATCH,PRF_DGP_A,,none,프리미엄 쿠폰/상품권 PRF_DGP_A
PRD_000043,배경지,가격엔진,Y,MATCH,PRF_DGP_C,,none,인쇄배경지(OPP봉투타입) 접지+타공 충전
PRD_000044,배경지,가격엔진,Y,MATCH,PRF_DGP_C,,none,인쇄배경지(투명케이스타입)
PRD_000045,배경지,가격엔진,Y,MATCH,PRF_DGP_C,,none,인쇄헤더택
PRD_000046,배경지,가격엔진,Y,MATCH,PRF_DGP_B,,none,라벨/택 완칼(DIECUT)
