comp_price_id	mat_cd	siz_cd	min_qty	unit_price
1713	MAT_000159	SIZ_000191	1000	96000.00
1715	MAT_000159	SIZ_000192	1000	48000.00
1717	MAT_000159	SIZ_000193	1000	48000.00
1719	MAT_000159	SIZ_000194	1000	134000.00
1721	MAT_000159	SIZ_000191	2000	192000.00
1723	MAT_000159	SIZ_000192	2000	96000.00
1725	MAT_000159	SIZ_000193	2000	96000.00
1727	MAT_000159	SIZ_000194	2000	272000.00
1729	MAT_000159	SIZ_000191	3000	288000.00
1731	MAT_000159	SIZ_000192	3000	144000.00
1733	MAT_000159	SIZ_000193	3000	144000.00
1735	MAT_000159	SIZ_000194	3000	400000.00
1737	MAT_000159	SIZ_000191	4000	384000.00
1739	MAT_000159	SIZ_000192	4000	192000.00
1741	MAT_000159	SIZ_000193	4000	192000.00
1743	MAT_000159	SIZ_000194	4000	536000.00
1745	MAT_000159	SIZ_000191	5000	480000.00
1747	MAT_000159	SIZ_000192	5000	240000.00
1749	MAT_000159	SIZ_000193	5000	240000.00
1751	MAT_000159	SIZ_000194	5000	672000.00
(20 rows)
