dimension,existing_artifact,path,reuse_method,freshness
D1 구성요소 요건,§21 conformance-checklist(자재·공정·사이즈코드·도수·묶음수·페이지룰 축),_workspace/huni-catalog-conformance/01_authority/conformance-checklist.csv,상품×축 needed 플래그를 D1 BOM 요건 분모로 직접 차용(246상품×6축),AGING(2026-06-23·존재 위주 스캐폴드)
D1 구성요소 요건,round-11 상품 BOM 명세,_workspace/huni-dbmap/(round-11 컬럼 도메인+BOM),상품별 필요 자재/공정 요소 도출 근거,REFERENCE(round-11)
D1 구성요소 요건,상품 유형 분류 SOT,_workspace/_foundation/product-type-classification-sot.md,완제품/반제품/기성 분류로 D1 needed 범위 결정,FRESH(2026-06-26·HARD SOT)
D2 가격공식 바인딩,formula-block-map(27공식블록),_workspace/_foundation/formula-block-map-260629.csv,상품→공식블록 귀속으로 D2 바인딩 기대값,FRESH(2026-06-29)
D2 가격공식 바인딩,price-formula-master(완전성 자),_workspace/_foundation/price-formula-master.csv,완제품 가격작동 분류(UNBOUND/DESIGNED_NOT_LOADED/BLOCKED),AGING(2026-06-26~27)
D2 가격공식 바인딩,batch CALC 상태(UNBOUND 분류),_workspace/_foundation/batch/score_batch.py,frm None=UNBOUND 자동 판정으로 D2 FAIL 식별,FRESH(2026-06-29)
D2 가격공식 바인딩,계산공식집초안 디코드,_workspace/_foundation/price-formula-collection-decode-260629.md,전 상품 가격논리 정본(키스톤)으로 D2 기대 구성요소합산,FRESH(2026-06-29)
D3 가격구성요소·단가행,§26 무결성 결함보드(미적재 셀·sparse grid),_workspace/huni-price-table-integrity/02_load/,셀 단위 미적재 적발을 D3 빈칸 판정에 직접 차용,FRESH(아크릴/스티커/명함/포스터 파일럿·전수 아님)
D3 가격구성요소·단가행,§26 권위 격자(정답 셀),_workspace/huni-price-table-integrity/01_authority/,권위 전 셀=D3 분모(있어야 할 단가행),FRESH(파일럿 시트)
D3 가격구성요소·단가행,batch PRICED-0 분류,_workspace/_foundation/batch/README.md,공식 있는데 0원=단가행 0=D3 FAIL 신호,FRESH(2026-06-29)
D4 차원 충전,§26 무결성 차원 누락 검사,_workspace/huni-price-table-integrity/02_load/,권위 가격축이 라이브 use_dims에 없음=D4 FAIL,FRESH(파일럿)
D4 차원 충전,§13 engine-contract(차원 자동매칭·NON_QTY_DIMS/TIER_DIMS),_workspace/huni-price-quote/01_engine/engine-contract.md,use_dims↔단가행 3원 일치 판정 규칙,STABLE(코드 파생·2026-06-18)
D4 차원 충전,price-dimension-layout-method,_workspace/_foundation/price-dimension-layout-method.md,차원 레이아웃 방법(면적/수량구간/사이즈) D4 매칭 기준,FRESH
D5 계산 가능성,batch score_batch.py(CALC/PR 채점 드라이버),_workspace/_foundation/batch/score_batch.py,시뮬레이터 POST 실호출로 PRICE≠0+골든 대조=D5 직접 산출,FRESH(2026-06-29·실측 본체)
D5 계산 가능성,product-scoreboard.csv(상품 점수),_workspace/_foundation/product-scoreboard.csv,PR_calc·PR_authority_match를 D5 PASS/WARN/FAIL로 매핑,STALE-WARN(2026-06-28·일부 상품만)
D5 계산 가능성,batch scoreboard-summary(동형군 채점),_workspace/_foundation/batch/scoreboard-summary.csv,calc_ok/priced/PR_verdict 컬럼=D5 케이스 결과,FRESH(2026-06-29·digital-print 동형군)
D5 계산 가능성,pr_score+golden_fetch(이전사이트 골든),_workspace/_foundation/batch/pr_score.py,예전사이트 공급가 대조로 골든 일치 판정(★동조건 매칭 필수),FRESH(2026-06-29·[[pr-golden-compare-260629]])
D6 기초마스터,§21 checklist(자재·사이즈·도수 축),_workspace/huni-catalog-conformance/01_authority/conformance-checklist.csv,공유 마스터 코드 정합 분모,AGING(2026-06-23)
D6 기초마스터,basedata-dedup 산출(표시↔실제 정합),_workspace/huni-basedata-dedup/,표시명/내부값 불일치=D6 WARN/FAIL 근거,FRESH(공정 파일럿 GO·2026-06-19)
D7 옵션,§21 checklist(옵션그룹·인쇄옵션 축),_workspace/huni-catalog-conformance/01_authority/conformance-checklist.csv,권위 요구 옵션축 needed 플래그,AGING(2026-06-23)
D7 옵션,OC_score(주문 완전성 9축),_workspace/_foundation/SCORING-FRAMEWORK-260628.md,손님 선택 가능 축 충족률=D7 직접 차용(★option_items.ref_key1),FRESH(2026-06-28)
D7 옵션,batch OC 채점(sim-meta enumerate),_workspace/_foundation/batch/score_batch.py,sim-meta로 손님 선택축 실측,FRESH(2026-06-29)
D8 추가상품 템플릿,§21 checklist(추가상품·추가상품 템플릿 축),_workspace/huni-catalog-conformance/01_authority/conformance-checklist.csv,권위 요구 추가상품 묶음 needed,AGING(2026-06-23)
D8 추가상품 템플릿,addon 모델 메모리(템플릿 정식·opt_cd 미작동),_workspace/_foundation/(RTM 아크릴 addon),addon=template 강제·always-add 가드,FRESH([[addon-optcd-model-broken-live]])
D9 제약,§21 checklist(제약규칙 축),_workspace/huni-catalog-conformance/01_authority/conformance-checklist.csv,권위 요구 제약(동시불가·min/max) needed,AGING(2026-06-23)
D9 제약,§13/dbm CPQ constraints 설계,_workspace/huni-dbmap/(dbm-cpq-option-mapping),JSONLogic constraints 정합 기준,REFERENCE
D10 판형,§21 checklist(판형 축),_workspace/huni-catalog-conformance/01_authority/conformance-checklist.csv,종이류 판형 needed 플래그,AGING(2026-06-23)
D10 판형,platesize 메모리(plate=출력용지규격),_workspace/_foundation/(dbmap-platesize),종이류 best-plate 매칭 판정·미매핑=견적0,FRESH([[transparent-postcard-price-fix-260629]])
D11 매핑 정합,batch R1 부자재 오염 채점,_workspace/_foundation/batch/score_batch.py,주자재 밖 자재=silent 오염=D11 FAIL(★PET/정상종이 가드),FRESH(2026-06-29)
D11 매핑 정합,price-component-conformance-oversplit-audit,_workspace/_foundation/price-component-conformance-oversplit-audit.md,구성요소 통합/분리 오염 진단,FRESH(2026-06-30)
D11 매핑 정합,§26 정합 불일치(값/자재/표시 오적재),_workspace/huni-price-table-integrity/02_load/,적재값≠권위·mat 코드 불일치,FRESH(파일럿)
D11 매핑 정합,bandtotal-x-qty 메모리(.01×qty 과대청구),_workspace/_foundation/remediation/,prc_typ 오타이핑 silent 합산=돈크리티컬,FRESH([[bandtotal-x-qty-overcharge-260628]])
전 차원(진척판),price-pipeline-rtm.csv(상품군 종단 진척),_workspace/_foundation/price-pipeline-rtm.csv,상품군별 s1~s5 단계 status를 등급 L0~L4 출발점으로,AGING(2026-06-28·아크릴/스티커 GO)
전 차원(종료척도),SCORING-FRAMEWORK 종료 술어,_workspace/_foundation/SCORING-FRAMEWORK-260628.md,PR=100 AND OC=100 AND 조사신호0 AND C트랙반영=L4 완성 기준,FRESH(2026-06-28)
위젯 클래스,price-model-decision-tree 메모리(5모델),_workspace/_foundation/(master SKILL),고정가/면적/캐스케이드/셋트/addon 클래스 분류,FRESH([[price-model-decision-tree-sim-gate]])
위젯 클래스,batch 그룹 정의(digital/sticker/acrylic/booklet-set),_workspace/_foundation/batch/README.md,동형군=위젯 클래스 매핑 근거,FRESH(2026-06-29)
