prd_cd,sub_prd_cd,sub_prd_qty,min_cnt,max_cnt,cnt_incr,disp_seq,note,del_yn,action,authority_source
PRD_000072,PRD_000073,1,,,,1,표지=전용지,N,UPDATE,set-checklist row2·booklet-l1 row38(표지종이=전용지)
PRD_000072,PRD_000074,1,,,,2,면지=화이트면지,N,UPDATE,set-checklist row3·booklet-l1 row38(면지=화이트·택1)
PRD_000072,PRD_000075,1,,,,3,면지=블랙면지,N,UPDATE,set-checklist row4·booklet-l1 row39(면지=블랙·택1)
PRD_000072,PRD_000076,1,,,,4,면지=그레이면지,N,UPDATE,set-checklist row5·booklet-l1 row40(면지=그레이·택1)
PRD_000077,PRD_000078,1,,,,1,표지=레더(화이트),N,UPDATE,set-checklist row6·booklet-l1 row42(표지=레더화이트)
PRD_000077,PRD_000079,1,,,,2,면지=화이트면지,N,UPDATE,set-checklist row7·booklet-l1 row42(면지=화이트·택1)
PRD_000077,PRD_000080,1,,,,3,면지=블랙면지,N,UPDATE,set-checklist row8·booklet-l1 row43(면지=블랙·택1)
PRD_000077,PRD_000081,1,,,,4,면지=그레이면지,N,UPDATE,set-checklist row9·booklet-l1 row44(면지=그레이·택1)
PRD_000082,PRD_000083,1,,,,1,표지=전용지,N,UPDATE,set-checklist row10·booklet-l1 row46(표지=전용지)
PRD_000082,PRD_000084,1,,,,2,면지=화이트면지,N,UPDATE,set-checklist row11·booklet-l1 row46(면지=화이트·택1)
PRD_000082,PRD_000085,1,,,,3,면지=블랙면지,N,UPDATE,set-checklist row12·booklet-l1 row47(면지=블랙·택1)
PRD_000082,PRD_000086,1,,,,4,면지=그레이면지,N,UPDATE,set-checklist row13·booklet-l1 row48(면지=그레이·택1)
PRD_000082,PRD_000087,1,,,,5,면지=인쇄면지,N,UPDATE,set-checklist row14·booklet-l1 row49(면지=인쇄·택1·링책자전용)
PRD_000088,PRD_000089,1,,,,1,표지=레더(화이트),N,UPDATE,set-checklist row15·booklet-l1 row55(표지=레더화이트)
PRD_000088,PRD_000090,1,,,,2,면지=화이트면지,N,UPDATE,set-checklist row16·booklet-l1 row55(면지=화이트·택1)
PRD_000088,PRD_000091,1,,,,3,면지=블랙면지,N,UPDATE,set-checklist row17·booklet-l1 row56(면지=블랙·택1)
PRD_000088,PRD_000092,1,,,,4,면지=그레이면지,N,UPDATE,set-checklist row18·booklet-l1 row57(면지=그레이·택1)
PRD_000088,PRD_000093,1,,,,5,면지=인쇄면지,N,UPDATE,set-checklist row19·booklet-l1 row58(면지=인쇄·택1)
PRD_000097,PRD_000098,1,,,,1,내지=백모조120,N,UPDATE,set-checklist row22·booklet-l1 row65(내지=백모조120·페이지권위공란)
PRD_000100,PRD_000101,1,,,,1,내지=몽블랑130,N,UPDATE,set-checklist row23·포토북 CONFIRM-3(내지=몽블랑130)
PRD_000100,PRD_000102,1,,,,2,표지=하드커버,N,UPDATE,set-checklist row24·포토북 CONFIRM-3(표지택1)
PRD_000100,PRD_000103,1,,,,3,표지=아트250+무광코팅,N,UPDATE,set-checklist row25·포토북 CONFIRM-3(표지택1)
PRD_000100,PRD_000105,1,,,,4,표지=레더하드커버,N,UPDATE,set-checklist row27·포토북 CONFIRM-3(표지택1)
PRD_000100,PRD_000106,1,,,,5,표지=레더,N,UPDATE,set-checklist row28·포토북 CONFIRM-3(표지택1)
PRD_000100,PRD_000107,1,,,,6,표지=소프트커버,N,UPDATE,set-checklist row29·포토북 CONFIRM-3(표지택1)
PRD_000100,PRD_000104,1,,,,7,면지=그레이,N,UPDATE,set-checklist row26·포토북 CONFIRM-3(면지택1)
