category,sheet,prd_nm,column,value,marker,resolution
ADDON_CONSTRAINT,calendar,탁상형캘린더,추가상품(옵션)_추가상품,캘린더봉투 ★사이즈선택 : 220x145,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,calendar,탁상형캘린더,추가상품(옵션)_추가상품,캘린더봉투 ★사이즈선택 : 130x220,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,design-calendar,탁상형캘린더,추가상품(옵션)_추가상품,캘린더봉투 ★사이즈선택 : 220x145,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,design-calendar,탁상형캘린더,추가상품(옵션)_추가상품,캘린더봉투 ★사이즈선택 : 130x220,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,digital-print,금은별색엽서,추가상품(옵션)_추가상품,엽서봉투 ★사이즈선택 : 100x150,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,digital-print,스탠다드엽서,추가상품(옵션)_추가상품,엽서봉투 ★사이즈선택 : 100x150,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,digital-print,인쇄배경지(OPP봉투타입),추가상품(옵션)_추가상품,봉투 ★사이즈선택 : 76x100,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,digital-print,인쇄배경지(OPP봉투타입),추가상품(옵션)_추가상품,봉투 ★사이즈선택 : 76x120,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,digital-print,인쇄배경지(OPP봉투타입),추가상품(옵션)_추가상품,봉투 ★사이즈선택 : 86x120,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
ADDON_CONSTRAINT,digital-print,인쇄배경지(OPP봉투타입),추가상품(옵션)_추가상품,봉투 ★사이즈선택 : 94x94,★,PRICE_KNOWN+CONSTRAINT — 봉투류 단가=가격표 봉투제작[9] L2·COMP_ENV_MAKING 적재. ★사이즈선택=제약(셀에 값). addon=템플릿 mint·constraint=파싱.
