no,code,name,authority_cells,authority_loc,plan_claimed_rows,live_target,live_exists,live_use_yn,live_price_rows,live_prc_typ,live_use_dims
1,ACRYLIC_CLEAR3T_PRINT,아크릴_투명3T_출력가,196,r4~r18 c1~c15,196,COMP_ACRYL_CLEAR3T,Y,Y,277,PRICE_TYPE.02,"[""mat_cd""  ""siz_width""  ""siz_height""  ""min_qty""]"
2,ACRYLIC_CLEAR15T_PRINT,아크릴_투명1.5T_출력가,90,r26~r35 c1~c11,81,CLR_ACRYL_1.5T,Y,Y,81,PRICE_TYPE.01,"[""mat_cd""  ""siz_width""  ""siz_height""  ""min_qty""]"
3,ACRYLIC_MIRROR3T_PRINT,아크릴_미러3T_출력가,81,r42~r51 c1~c10,81,COMP_ACRYL_MIRROR3T,Y,Y,81,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]"
4,ACRYLIC_TOTAL_FINISHING,아크릴_종합_부자재,25,r69~r94 c1~c4,17,COMP_ACRYL_FINISH,Y,Y,17,PRICE_TYPE.01,"[""opt_cd""  ""min_qty""]"
5,ACRYLIC_CLEAR8T_PRINT,아크릴_투명8T_출력가,36,r101~r107 c1~c7,36,COMP_ACRYL_COROTTO,Y,Y,36,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
6,ACRYLIC_CARABINER_FINAL,아크릴_카라비너_제작가,4,r115~r119 c1~c2,4,COMP_ACRYL_CARABINER,Y,Y,4,PRICE_TYPE.02,"[""siz_cd""  ""min_qty""]"
7,STK_KISSCUT_PRINT,스티커_반칼_제작가,648,r4~r42 c1~c20,,COMP_STK_PRINT(반칼),N,,,,
8,STK_CUT_PRINT,스티커_완칼_제작가,30,r50~r56 c1~c6,,COMP_STK_PRINT(완칼),N,,,,
9,STK_CUT_CLEAR_PRINT,스티커_완칼투명_제작가,30,r63~r69 c1~c6,,COMP_STK_PRINT(완칼투명),N,,,,
10,STK_CUT_LARGE_PRINT,스티커_완칼대형_제작가,6,r76~r82 c1~c2,,COMP_STK_PRINT(대형),N,,,,
11,STK_TATTOO_SETUP,스티커_타투_기본가,1,r89~r90 c1~c2,,COMP_STK_TATTOO,Y,Y,333,PRICE_TYPE.02,"[""siz_cd""  ""mat_cd""  ""min_qty""]"
12,STK_TATTOO_PRINT,스티커_타투_제작가,2,r89~r91 c5~c6,,COMP_STK_TATTOO,Y,Y,333,PRICE_TYPE.02,"[""siz_cd""  ""mat_cd""  ""min_qty""]"
13,POSTER_PHOTOPAPER_PRINT,포스터_인화지_출력가,52,r4~r17 c1~c6,52,COMP_POSTER_ARTPRINT_PHOTO,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
14,POSTER_PAPER_PRINT,포스터_매트지_출력가,39,r23~r36 c1~c4,39,COMP_POSTER_ARTPAPER_MATTE,Y,Y,39,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]"
15,POSTER_PET_PRINT,포스터_PET_출력가,52,r42~r55 c1~c6,,COMP_POSTER_ARTPRINT_PHOTO,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
16,POSTER_PVC_PRINT,포스터_PVC_출력가,52,r61~r74 c1~c6,,COMP_POSTER_ARTPRINT_PHOTO,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
17,POSTER_CLEARPVC_PRINT,포스터_투명PVC_출력가,52,r80~r93 c1~c6,52,COMP_POSTER_ADH_CLEAR_PVC,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]"
18,POSTER_GRAPHIC_PRINT,포스터_그래픽천_출력가,52,r99~r112 c1~c6,,COMP_POSTER_ARTPRINT_PHOTO,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
19,POSTER_LINEN_PRINT,포스터_린넨_출력가,52,r118~r131 c1~c6,52,COMP_POSTER_LINEN_FABRIC,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""]"
20,POSTER_OXFORD_PRINT,포스터_캔버스옥스포드_출력가,52,r137~r150 c1~c6,52,COMP_POSTER_CANVAS_FABRIC,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
21,POSTER_LEATHER_PRINT,포스터_레더_출력가,52,r156~r169 c1~c6,,COMP_POSTER_CANVAS_FABRIC,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
22,POSTER_TYVEK_PRINT,포스터_타이벡_출력가,52,r175~r188 c1~c6,,COMP_POSTER_CANVAS_FABRIC,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
23,POSTER_MESH_PRINT,포스터_메쉬_출력가,52,r194~r207 c1~c6,,COMP_POSTER_CANVAS_FABRIC,Y,Y,52,PRICE_TYPE.01,"[""siz_width""  ""siz_height""  ""min_qty""]"
