layer,path,symbol,role,calls_edicus,evidence
hook,src/hooks/useEdicus.ts,useEdicus,EdicusClient 생명주기 React 통합,window.edicusSDK.init/create_project/open_project/close/destroy/post_to_editor,src/hooks/useEdicus.ts:65
hook,src/hooks/useEdicus.ts,createProject,새 프로젝트 생성,ctx.create_project,src/hooks/useEdicus.ts:130
hook,src/hooks/useEdicus.ts,openProject,기존 프로젝트 열기,ctx.open_project,src/hooks/useEdicus.ts:152
hook,src/hooks/useEdicus.ts,postToEditor,에디터로 postMessage,ctx.post_to_editor,src/hooks/useEdicus.ts:172
hook,src/hooks/useEdicus.ts,closeEditor/destroy,편집기 닫기/정리,ctx.close/ctx.destroy,src/hooks/useEdicus.ts:105
hook,src/hooks/useHuniEditor.ts,useHuniEditor,HuniEditorSDK 생명주기 통합(PC passive),HuniEditorSDK.init/undo/redo/save/close,src/hooks/useHuniEditor.ts:60
hook,src/hooks/useHuniEditor.ts,save,저장 명령,postToEditor('save-doc'),src/lib/edicus/huni-editor-sdk.ts:208
hook,src/hooks/useHuniEditor.ts,undo/redo,실행취소/다시실행,postToEditor('undo'/'redo'),src/lib/edicus/huni-editor-sdk.ts:192
hook,src/hooks/useAuth.ts,useAuth,Firebase 인증+Edicus 토큰+admin 통합,fetch POST /api/edicus/auth {uid},src/hooks/useAuth.ts:39
hook,src/hooks/useAuth.ts,login/register/logout,Firebase 이메일 인증,signInWithEmail/signUpWithEmail/signOutUser,src/hooks/useAuth.ts:102
hook,src/hooks/useAuth.ts,fetchEdicusToken,Edicus 토큰 발급,POST /api/edicus/auth,src/hooks/useAuth.ts:50
hook,src/hooks/useOrder.ts,useOrder,주문 잠정/확정/취소 관리,POST /api/edicus/orders/{tentative|definitive|cancel},src/hooks/useOrder.ts:68
lib,src/lib/edicus/client.ts,EdicusClient,Edicus SDK 브라우저 클라이언트 래퍼,window.edicusSDK.init/create_project/open_project/close/destroy/post_to_editor,src/lib/edicus/client.ts:116
lib,src/lib/edicus/client.ts,_doInit,SDK 스크립트 로드+init,window.edicusSDK.init({base_url}),src/lib/edicus/client.ts:158
lib,src/lib/edicus/client.ts,createProject,프로젝트 생성,ctx.create_project,src/lib/edicus/client.ts:185
lib,src/lib/edicus/client.ts,openProject,프로젝트 열기,ctx.open_project,src/lib/edicus/client.ts:199
lib,src/lib/edicus/client.ts,postToEditor,iframe postMessage,ctx.post_to_editor,src/lib/edicus/client.ts:236
