legacy_id,트랙,성격,기능서술,상품군·결함유형,affected_count,의사결정자,오픈차단여부,돈,주문,원판정,conflict,conflict_note,근거
P-ACRYL-RINGCONFIRM-01,P,상품데이터,아크릴키링 고리 견적 실화면 + 아크릴 3상품 입력경로 규명 (담당자 회신 대기),아크릴키링 고리 견적 실화면 + 아크릴 3상품 입력경로 규명 (담당자 회신 대기),,개발,작업 항목,Y,N,검증대기,N,,_workspace/huni-price-table-integrity/HANDOFF.md:27-28
P-EDITORYN-01,P,상품데이터,editor_yn 교정 미적용 — N→Y 13건 · Y→N 5건 (5건은 PRICE=0 위험),editor_yn 교정 미적용,13,개발,작업 항목,Y,Y,미착수,N,,_workspace/huni-edicus-product-map/HANDOFF.md:13 · _workspace/huni-edicus-product-map/HANDOFF.md:37
P-MISMAP-FP-12-01,P,상품데이터,오매핑 FP 가드 12건 — 오염이 아닐 수 있어 판정 필요,오매핑 FP 가드 12건,12,개발,작업 항목,N,N,검증대기,N,,_workspace/huni-product-readiness/02_readiness/list-other-checks.md:38
P-PED-CANVAS-01,P,상품데이터,Q-SB-CH1 — CANVAS_HANGING 차원 정합 (셀 표기 분리),Q-SB-CH1,,개발,작업 항목,Y,N,미착수,N,,_workspace/huni-price-engine-design/HANDOFF.md:75
P-PED-NEXT-01,P,상품데이터,가격엔진 설계 다음 시작점 — 실 적재 승인 큐 소진 · 확정 결함 정립(D-CB-1/2/4) · 인간 결정 큐,가격엔진 설계 다음 시작점,,개발,작업 항목,Y,N,미착수,N,,_workspace/huni-price-engine-design/HANDOFF.md:34-37
P-PED-POSTER-WIRE-01,P,상품데이터,"G-S1 — 후가공 배선 0건 (PRF_POSTER disp_seq 2~), 컨펌큐 해소 후 배선",G-S1,0,개발,작업 항목,Y,N,미착수,N,,_workspace/huni-price-engine-design/HANDOFF.md:76
P-POSTER-OPT-POLLUTION-01,P,상품데이터,실사 28상품(특히 134/135) 옵션 레이어 오염 — 도수·사이즈·자재·스티커·후가공이 타상품에서 대량 혼입 (면적 적재 1차 차단),실사 28상품(특히 134/135) 옵션 레이어 오염,,개발,작업 항목,Y,Y,미착수,N,,_workspace/huni-dbmap/30_batch/PRF_POSTER_FIXED/_gate/area-load-design-gate.md:15 · _workspace/huni-dbmap/30_batch/PRF_POSTER_FIXED/_gate/area-load-design-gate.md:153 · _workspace/huni-dbmap/30_batch/PRF_POSTER_FIXED/_gate/area-load-design-gate.md:157 · _workspace/huni-dbmap/30_batch/PRF_POSTER_FIXED/_gate/area-load-design-gate.md:211 · _workspace/huni-dbmap/30_batch/PRF_POSTER_FIXED/_gate/area-load-design-gate.md:225
P-REVIEW-25-01,P,상품데이터,REVIEW 잔여 25건 — 대부분 분담 FP·기추적,REVIEW 잔여 25건,25,개발,작업 항목,N,N,검증대기,N,,_workspace/huni-price-table-integrity/HANDOFF.md:107
P-STICKER-INTEGRITY-01,P,상품데이터,스티커 무결성 게이트 NO-GO — 돈크리티컬 실결함 다수 라이브 재현,스티커 무결성 게이트 NO-GO,,개발,작업 항목,Y,N,미착수,N,,"_workspace/huni-price-table-integrity/04_gate/sticker-integrity-verdict.md:6,14"
X-AGED-ADMIN-01,X,인프라·운영,admin-analysis / feature-matrix 출처 AGED (3.5개월) — 라이브 재확인 권장,,,개발,작업 항목,N,N,검증대기,N,,_workspace/huni-launch-scope/05_gate/gate-verdict.md:157 · _workspace/huni-launch-scope/02_gap/open-questions.md:70
X-CHK-CS-01,X,인프라·운영,고객센터 응대 스크립트·FAQ 미확인,,,개발,작업 항목,N,N,미착수,N,,
X-CHK-DNS-01,X,인프라·운영,도메인·SSL·DNS 전환 계획 미확인,,,개발,작업 항목,N,N,미착수,N,,
X-CHK-TRAINING-01,X,인프라·운영,운영자 교육·인수인계 세션 미확인,,,개발,작업 항목,N,N,미착수,N,,
X-DEC-IMMUTABLE-01,X,정책결정,I-BOUND-2 클레임 추적성 — 동적옵션 immutable 정책 유지 전제,,,PM,작업 항목,Y,Y,미착수,N,,_workspace/huni-shopby/01_research/open-questions.md:21
X-DEC-MALLMODE-01,X,정책결정,I-AUTH-1 몰 운영방식 결정 필요 (스킨몰 vs headless),,,PM,작업 항목,N,Y,미착수,N,,_workspace/huni-shopby/05_gate/remediation-spec.md:74
X-DEC-REDCAT-01,X,정책결정,I-RED-1 RED 카테고리(가격소스 0) 브리지 범위 결정 필요,,,PM,작업 항목,Y,Y,미착수,N,,_workspace/huni-shopby/05_gate/remediation-spec.md:77
X-DEC-SELFVERIFY-01,X,정책결정,OQ-G12 비밀번호 변경·탈퇴 본인확인 방법 미결 (1차),,,PM,작업 항목,N,N,미착수,N,,_workspace/huni-launch-scope/02_gap/open-questions.md:56
X-DEC-SUJAK-01,X,정책결정,OQ-G17 수작 브랜드 유지 여부 미결,,,PM,작업 항목,N,N,미착수,N,,_workspace/huni-launch-scope/02_gap/open-questions.md:61
X-DEC-WRITEPOLICY-01,X,정책결정,POLICY-1 server-api 카탈로그 쓰기 허용 범위 미결 (현 단계 쓰기 금지),,,PM,작업 항목,Y,Y,미착수,N,,_workspace/huni-shopby/12_sim-bridge/03_simulator-gap.md:125
X-DOC-ADMINMANUAL-01,X,인프라·운영,라이브 admin 매뉴얼 업데이트 미실행 — round-13~21 적재분의 admin 화면 반영 여부 미대조,,,개발,작업 항목,N,N,미착수,N,,_workspace/huni-admin-manual/HANDOFF.md:3-5
X-EDX-D6-01,X,정책결정,D-6 하트 이미지피켓(use_yn=N) 런칭 범위 포함 여부 미결,,,PM,작업 항목,N,N,미착수,N,,_workspace/huni-edicus-product-map/05_design/decision-points.md:166
X-EDX-D9-01,X,외부계약,"D-9 명함 cateCode=TEST — EDICUS 원장 결함 의심, 콘솔 확인 요청 미회신",,,외부,차단(외부 의존),N,N,미착수,N,,_workspace/huni-edicus-product-map/05_design/decision-points.md:242
X-EDX-F12-01,X,외부계약,[적재 전 필수] F-12 런북 probe_fmz_cnt 채움 — 빠지면 315만원 누락 재통과,,,외부,작업 항목,Y,N,검증대기,N,,_workspace/huni-edicus-product-map/HANDOFF.md:44
X-KB-01,X,코드부채,온톨로지 KB 후속 3건 — live-snapshot 재캡처 · PRICE_GAP_HINTS 필드 마커 강화 · 앨범/포토 INTENT 미등재,,,개발,작업 항목,N,N,미착수,N,,_workspace/huni-ontology-kb/HANDOFF.md:33 · _workspace/huni-ontology-kb/HANDOFF.md:34 · _workspace/huni-ontology-kb/HANDOFF.md:35
X-MIG-CUTOVER-01,X,인프라·운영,MQ-19 컷오버 동결 창 운영 가능 여부 미확정,,,개발,작업 항목,Y,N,미착수,N,,_workspace/huni-launch-scope/03_migration/migration-open-questions.md:46
X-NHN-REPLY-01,X,외부계약,NHN 2차 답신 미작성 — 역질문 2건(내부 견적엔진 정의 · 구매시점 가격변동 기준+실조합 수치) 답변 필요,,,외부,작업 항목,Y,Y,미착수,N,,_workspace/huni-shopby/HANDOFF.md:12 · _workspace/huni-shopby/HANDOFF.md:14 · _workspace/huni-shopby/HANDOFF.md:15
X-NHN-REVIEW-01,X,외부계약,P-B 동적옵션 등록이 상품심사 승인대기를 유발하는가 — 미검증 (D 채택 결정적 관문),,,외부,차단(외부 의존),Y,Y,미착수,N,,_workspace/huni-shopby/HANDOFF.md:100 · _workspace/huni-shopby/10_gate2/remediation-spec.md:34 · _workspace/huni-shopby/05_gate/remediation-spec.md:63 · _workspace/huni-launch-scope/02_gap/open-questions.md:18-20
X-OOS-MBO-01,X,런칭무관,[런칭 무관] 다중브랜드 온톨로지 잔여 6건 — 공급자 라우팅 데이터 0 · 코퍼스 편향 · 승격 대기 · 레드 미착수 · 팀파일 버그 · 구조 게이트 미검증,,,미상,오픈 무관,N,N,미착수,N,,_workspace/huni-multibrand-ontology/HANDOFF.md:34 · _workspace/huni-multibrand-ontology/HANDOFF.md:35 · _workspace/huni-multibrand-ontology/HANDOFF.md:36 · _workspace/huni-multibrand-ontology/HANDOFF.md:37 · _workspace/huni-multibrand-ontology/HANDOFF.md:38 · _workspace/huni-multibrand-ontology/HANDOFF.md:9
X-OOS-PRINTLY-01,X,런칭무관,[런칭 무관] 프린틀리 별도사업 잔여 5건 — catalog 부재·노후·정식 하네스화 미정·지니 입력 대기·수렴 2트랙,,,미상,오픈 무관,N,N,미착수,N,,_workspace/printly/HANDOFF.md:73 · _workspace/printly/HANDOFF.md:74 · _workspace/printly/HANDOFF.md:76 · _workspace/printly/HANDOFF.md:77 · _workspace/printly/HANDOFF.md:9-11
X-OOS-PRINTSTORY-01,X,런칭무관,[런칭 무관] print-story 발표 아티팩트 잔여 2건 — 저작 귀속 · 특허 등록 여부 미확인,,,미상,오픈 무관,N,N,미착수,N,,_workspace/print-story/01_source/open-questions.md:11 · _workspace/print-story/01_source/open-questions.md:55
